profile,scenario,weight
equal,stable_growth,0.1666666667
equal,fiscal_stress,0.1666666667
equal,climate_disruption,0.1666666667
equal,technology_shift,0.1666666667
equal,governance_breakdown,0.1666666667
equal,social_contestation,0.1666666667
precautionary,stable_growth,0.10
precautionary,fiscal_stress,0.18
precautionary,climate_disruption,0.22
precautionary,technology_shift,0.14
precautionary,governance_breakdown,0.18
precautionary,social_contestation,0.18
innovation,stable_growth,0.24
innovation,fiscal_stress,0.12
innovation,climate_disruption,0.12
innovation,technology_shift,0.24
innovation,governance_breakdown,0.14
innovation,social_contestation,0.14
