forecast_id,domain,base_rate,forecast_probability,true_probability,outcome,forecast_horizon_days,forecast_cost,false_positive_cost,false_negative_cost
1,Public Policy,0.46,0.62,0.58,1,90,5.20,18,55
2,Healthcare,0.52,0.74,0.70,1,30,4.10,24,80
3,Financial Risk,0.28,0.41,0.35,0,7,3.80,12,70
4,Infrastructure,0.34,0.57,0.50,1,365,9.40,28,65
5,AI Governance,0.40,0.68,0.61,0,30,6.60,15,85
6,Organizational Strategy,0.58,0.71,0.66,1,180,7.30,22,48
7,Public Policy,0.44,0.49,0.47,0,180,8.50,20,50
8,Healthcare,0.62,0.81,0.76,1,7,2.90,26,90
9,Financial Risk,0.30,0.53,0.45,0,30,4.90,14,75
10,Infrastructure,0.39,0.64,0.57,1,365,11.20,30,68
