claim_id,record_id,claim,evidence_linked,evidence_quality
C1,DR-001,Model accuracy is sufficient for deployment,true,0.78
C2,DR-001,Human oversight process is operational,true,0.70
C3,DR-001,Stakeholder appeal channel is available,false,0.40
C4,DR-002,Demand growth supports investment,true,0.82
C5,DR-002,Climate risk remains within design tolerance,true,0.76
C6,DR-002,Capital cost remains below ceiling,true,0.80
C7,DR-003,Protocol reduces variation in care,true,0.86
C8,DR-003,Patient risk remains within tolerance,false,0.55
C9,DR-004,Market demand will grow quickly,false,0.35
C10,DR-004,Operational capacity can scale,false,0.42
C11,DR-005,Pathway preserves reversibility,true,0.88
C12,DR-005,Monitoring indicators are measurable,true,0.84
