"case","prior","posterior","action_utility","wait_utility","utility_difference","recommended_action"
"Diagnostic Case",0.01,0.0675039246467818,-17.2370486656201,8.58712715855573,-25.8241758241758,"Wait"
"Diagnostic Case",0.02,0.127596439169139,-10.326409495549,2.87833827893175,-13.2047477744807,"Wait"
"Diagnostic Case",0.03,0.181434599156118,-4.13502109704641,-2.23628691983122,-1.89873417721519,"Wait"
"Diagnostic Case",0.04,0.229946524064171,1.44385026737968,-6.84491978609626,8.28877005347593,"Act"
"Diagnostic Case",0.05,0.273885350318471,6.4968152866242,-11.0191082802548,17.515923566879,"Act"
"Diagnostic Case",0.06,0.313868613138686,11.0948905109489,-14.8175182481752,25.9124087591241,"Act"
"Diagnostic Case",0.07,0.350407450523865,15.2968568102445,-18.2887077997672,33.5855646100116,"Act"
"Diagnostic Case",0.08,0.383928571428571,19.1517857142857,-21.4732142857143,40.625,"Act"
"Diagnostic Case",0.09,0.414790996784566,22.7009646302251,-24.4051446945338,47.1061093247588,"Act"
"Diagnostic Case",0.1,0.443298969072165,25.979381443299,-27.1134020618557,53.0927835051546,"Act"
"Diagnostic Case",0.11,0.469712015888779,29.0168818272095,-29.622641509434,58.6395233366435,"Act"
"Diagnostic Case",0.12,0.494252873563218,31.8390804597701,-31.9540229885057,63.7931034482759,"Act"
"Diagnostic Case",0.13,0.517113783533765,34.468085106383,-34.1258094357077,68.5938945420907,"Act"
"Diagnostic Case",0.14,0.538461538461538,36.9230769230769,-36.1538461538461,73.0769230769231,"Act"
"Diagnostic Case",0.15,0.558441558441559,39.2207792207792,-38.0519480519481,77.2727272727273,"Act"
"Diagnostic Case",0.16,0.577181208053691,41.3758389261745,-39.8322147651007,81.2080536912752,"Act"
"Diagnostic Case",0.17,0.594792514239219,43.4011391375102,-41.5052888527258,84.906427990236,"Act"
"Diagnostic Case",0.18,0.611374407582938,45.3080568720379,-43.0805687203792,88.3886255924171,"Act"
"Diagnostic Case",0.19,0.627014581734459,47.1066768994628,-44.5663852647736,91.6730621642364,"Act"
"Diagnostic Case",0.2,0.641791044776119,48.8059701492537,-45.9701492537313,94.7761194029851,"Act"
"Diagnostic Case",0.21,0.655773420479303,50.4139433551198,-47.2984749455338,97.7124183006536,"Act"
"Diagnostic Case",0.22,0.669024045261669,51.9377652050919,-48.5572842998586,100.49504950495,"Act"
"Diagnostic Case",0.23,0.681598897312198,53.3838731909028,-49.7518952446589,103.135768435562,"Act"
"Diagnostic Case",0.24,0.693548387096774,54.758064516129,-50.8870967741936,105.645161290323,"Act"
"Diagnostic Case",0.25,0.704918032786885,56.0655737704918,-51.9672131147541,108.032786885246,"Act"
"Diagnostic Case",0.26,0.715749039692702,57.3111395646607,-52.9961587708067,110.307298335467,"Act"
"Diagnostic Case",0.27,0.726078799249531,58.4990619136961,-53.9774859287054,112.476547842401,"Act"
"Diagnostic Case",0.28,0.735941320293399,59.6332518337409,-54.9144254278729,114.547677261614,"Act"
"Diagnostic Case",0.29,0.745367603108189,60.7172743574417,-55.809922295278,116.52719665272,"Act"
"Diagnostic Case",0.3,0.754385964912281,61.7543859649123,-56.6666666666667,118.421052631579,"Act"
"Diagnostic Case",0.31,0.763022323983973,62.7475672581568,-57.4871207784774,120.234688036634,"Act"
