case,step,true_state,positive_signal,prior_before_update,posterior,posterior_odds,action_utility,wait_utility,utility_difference,recommended_action,review_trigger
Diagnostic Case,1,True,True,0.1,0.443299,0.796296,25.979381,-27.113402,53.092784,Act,False
Diagnostic Case,2,True,True,0.443299,0.850897,5.70679,72.853198,-65.835251,138.688449,Act,True
Diagnostic Case,3,True,True,0.850897,0.976133,40.898663,87.255282,-77.732625,164.987907,Act,True
Diagnostic Case,4,True,True,0.976133,0.9966,293.107082,89.608986,-79.676988,169.285974,Act,True
Diagnostic Case,5,True,True,0.9966,0.999524,2100.600752,89.94528,-79.954796,169.900076,Act,True
Diagnostic Case,6,True,True,0.999524,0.999934,15054.305386,89.992361,-79.99369,169.986051,Act,True
Diagnostic Case,7,True,False,0.999934,0.999583,2395.00313,89.952003,-79.960351,169.912354,Act,True
Diagnostic Case,8,True,True,0.999583,0.999942,17164.189096,89.9933,-79.994466,169.987766,Act,True
Diagnostic Case,9,True,True,0.999942,0.999992,123010.021854,89.999065,-79.999228,169.998293,Act,True
Diagnostic Case,10,True,True,0.999992,0.999999,881571.823344,89.99987,-79.999892,169.999762,Act,True
Diagnostic Case,11,True,True,0.999999,1.0,6317931.402735,89.999982,-79.999985,169.999967,Act,True
Diagnostic Case,12,True,True,1.0,1.0,45278508.555633,89.999997,-79.999998,169.999995,Act,True
Diagnostic Case,13,True,True,1.0,1.0,324495984.148701,90.0,-80.0,169.999999,Act,True
Diagnostic Case,14,True,True,1.0,1.0,2325554182.217443,90.0,-80.0,170.0,Act,True
Diagnostic Case,15,True,True,1.0,1.0,16666480251.574749,90.0,-80.0,170.0,Act,True
Diagnostic Case,16,True,True,1.0,1.0,119443034805.27228,90.0,-80.0,170.0,Act,True
Diagnostic Case,17,True,True,1.0,1.0,856034903509.8337,90.0,-80.0,170.0,Act,True
Diagnostic Case,18,True,True,1.0,1.0,6131517532157.605,90.0,-80.0,170.0,Act,True
Diagnostic Case,19,True,True,1.0,1.0,43937557340198.96,90.0,-80.0,170.0,Act,True
Diagnostic Case,20,True,True,1.0,1.0,310593077749688.4,90.0,-80.0,170.0,Act,True
Diagnostic Case,21,True,True,1.0,1.0,3002399751580329.5,90.0,-80.0,170.0,Act,True
Diagnostic Case,22,True,True,1.0,1.0,inf,90.0,-80.0,170.0,Act,True
Diagnostic Case,23,True,True,1.0,1.0,inf,90.0,-80.0,170.0,Act,True
Diagnostic Case,24,True,True,1.0,1.0,inf,90.0,-80.0,170.0,Act,True
Model Drift Case,1,False,True,0.18,0.516937,1.070122,30.07511,-30.388807,60.463918,Act,False
Model Drift Case,2,False,False,0.516937,0.218915,0.28027,2.359075,-5.951012,8.310087,Act,False
Model Drift Case,3,False,True,0.218915,0.577402,1.366316,35.698409,-35.346984,71.045393,Act,False
Model Drift Case,4,False,False,0.577402,0.263539,0.357845,6.509108,-9.610181,16.119289,Act,False
Model Drift Case,5,False,False,0.263539,0.08569,0.093721,-10.030806,4.973399,-15.004206,Wait,False
Model Drift Case,6,False,False,0.08569,0.023958,0.024546,-15.771909,10.035447,-25.807355,Wait,False
Model Drift Case,7,False,False,0.023958,0.006388,0.006429,-17.405948,11.476212,-28.882159,Wait,False
Model Drift Case,8,False,False,0.006388,0.001681,0.001684,-17.843678,11.862168,-29.705845,Wait,False
Model Drift Case,9,False,True,0.001681,0.008141,0.008208,-17.242861,11.332415,-28.575276,Wait,False
Model Drift Case,10,False,False,0.008141,0.002145,0.00215,-17.800503,11.824099,-29.624602,Wait,False
Model Drift Case,11,False,False,0.002145,0.000563,0.000563,-17.947668,11.953858,-29.901526,Wait,False
Model Drift Case,12,False,False,0.000563,0.000147,0.000147,-17.986288,11.98791,-29.974198,Wait,False
Model Drift Case,13,False,False,0.000147,3.9e-05,3.9e-05,-17.996408,11.996833,-29.993242,Wait,False
Model Drift Case,14,False,False,3.9e-05,1e-05,1e-05,-17.999059,11.999171,-29.99823,Wait,False
Model Drift Case,15,False,False,1e-05,3e-06,3e-06,-17.999754,11.999783,-29.999536,Wait,False
