"probability_bin","n_cases","average_judged_probability","observed_frequency","calibration_gap","absolute_calibration_gap","average_brier_score","weighted_calibration_error"
"[0.9,1]",70,0.961174915999473,0.885714285714286,0.0754606302851877,0.0754606302851877,0.109635124186914,0.00586916013329238
"[0.7,0.8)",107,0.750851229658351,0.803738317757009,-0.0528870880986583,0.0528870880986583,0.160414232431035,0.00628768714061826
"[0.6,0.7)",113,0.647466712986768,0.601769911504425,0.0456968014823435,0.0456968014823435,0.240820531022246,0.00573748729722757
"[0.1,0.2)",58,0.157020392893396,0.189655172413793,-0.0326347795203971,0.0326347795203971,0.152571149346493,0.00210313023575892
"[0.2,0.3)",102,0.253375980347974,0.225490196078431,0.0278857842695431,0.0278857842695431,0.177186031373273,0.00316038888388155
"[0.4,0.5)",116,0.449286839701328,0.422413793103448,0.0268730465978802,0.0268730465978802,0.242393867505634,0.00346363711706011
"[0.3,0.4)",117,0.350631599384078,0.324786324786325,0.025845274597753,0.025845274597753,0.221765433138444,0.00335988569770789
"[0,0.1)",49,0.0442757150377083,0.0204081632653061,0.0238675517724022,0.0238675517724022,0.0208676418638653,0.00129945559649745
"[0.5,0.6)",118,0.549635309570715,0.533898305084746,0.0157370044859693,0.0157370044859693,0.245700944869603,0.00206329614371597
"[0.8,0.9)",50,0.858560295935733,0.86,-0.00143970406426652,0.00143970406426652,0.118906918571376,7.99835591259179e-05
