"case_id","domain","bias_profile","evidence_based_probability","judged_probability","confidence","outcome","brier_score","bias_magnitude","confidence_gap","review_flag"
1,"Public Policy","anchoring",0.671553041809238,0.506407121473458,0.553385586294264,1,0.243633929732118,0.165145920335781,0.0469784648208059,"review"
2,"AI Governance","anchoring",0.355247413355391,0.570566096073599,0.560785945796367,0,0.325545669988667,0.215318682718207,-0.00978015027723145,"review"
3,"Public Policy","overconfidence",0.27087742156582,0.27087742156582,0.179228390192147,1,0.531619734382508,0,-0.0916490313736722,"review"
4,"Public Policy","anchoring",0.379236589442007,0.49682304898859,0.490145763748358,1,0.253187044029139,0.117586459546583,-0.00667728524023198,"review"
10,"Infrastructure","anchoring",0.709567794890609,0.585449598372797,0.601183672812036,1,0.171852035489275,0.124118196517811,0.015734074439239,"review"
13,"Organizational Strategy","representativeness",0.653315675759222,0.708347928384319,0.755658619893274,0,0.501756787646356,0.0550322526250966,0.0473106915089546,"review"
17,"Financial Risk","anchoring",0.367953890259378,0.456799101063516,0.488039419066068,1,0.295067216605404,0.0888452108041384,0.0312403180025516,"review"
19,"Public Policy","anchoring",0.0830662133754231,0.21170841466228,0.222630070241038,0,0.044820452838816,0.128642201286857,0.0109216555787574,"review"
24,"AI Governance","overconfidence",0.788668753777165,0.788668753777165,0.904136255288031,0,0.621998403184426,0,0.115467501510866,"review"
28,"Financial Risk","anchoring",0.222397036873735,0.47072709336062,0.453767253485691,0,0.221583996423738,0.248330056486884,-0.0169598398749284,"review"
29,"Healthcare","anchoring",0.847624024981633,0.58370909452904,0.611279979260252,1,0.173298117977832,0.263914930452593,0.0275708847312114,"review"
30,"Public Policy","representativeness",0.324480199976824,0.253392318246188,0.295410335408594,1,0.557423030453802,0.0710878817306366,0.0420180171624062,"review"
31,"Healthcare","confirmation",0.854928496025968,0.99,0.902239000138657,0,0.9801,0.135071503974032,-0.0877609998613433,"review"
33,"Financial Risk","overconfidence",0.45887434828328,0.45887434828328,0.442424087596592,1,0.292816970945845,0,-0.0164502606866881,"review"
38,"Organizational Strategy","balanced",0.40202589725377,0.40202589725377,0.426340178330002,1,0.357573027555158,0,0.0243142810762319,"review"
39,"Healthcare","availability",0.397747127187904,0.537481343763824,0.546182159259526,0,0.288886194894165,0.13973421657592,0.00870081549570212,"review"
40,"AI Governance","anchoring",0.605605399783235,0.686612529269769,0.707660178196424,0,0.471436765350229,0.0810071294865339,0.0210476489266547,"review"
41,"Infrastructure","anchoring",0.42911005767528,0.530273426431231,0.548752607949282,0,0.281189906779118,0.101163368755952,0.0184791815180509,"review"
43,"Infrastructure","confirmation",0.570509712467901,0.773932028849376,0.788052412952185,1,0.0511067275801592,0.203422316381475,0.0141203841028088,"review"
44,"Healthcare","balanced",0.589050839445554,0.589050839445554,0.573094743256164,0,0.346980891451511,0,-0.0159560961893893,"review"
45,"Healthcare","availability",0.307324771268759,0.359655382970234,0.400597766951844,1,0.410041228558997,0.0523306117014755,0.0409423839816098,"review"
48,"AI Governance","anchoring",0.869646795699373,0.739204965179088,0.643161177881556,1,0.0680140501872409,0.130441830520285,-0.0960437872975314,"review"
49,"Healthcare","overconfidence",0.456755604792852,0.456755604792852,0.439457846709993,1,0.29511447292398,0,-0.0172977580828592,"review"
54,"Infrastructure","anchoring",0.99,0.766112606876297,0.728831500766832,1,0.0547033126622016,0.223887393123703,-0.0372811061094644,"review"
55,"Financial Risk","availability",0.623084569897037,0.638817212314891,0.587136099989323,0,0.408087430749769,0.0157326424178541,-0.0516811123255682,"review"
56,"Organizational Strategy","confirmation",0.561799685552251,0.672879474553047,0.659714455785089,0,0.452766787274784,0.111079789000796,-0.0131650187679575,"review"
58,"Healthcare","anchoring",0.0356673985021189,0.282805093000643,0.294777180774432,0,0.0799787206271023,0.247137694498524,0.0119720877737894,"review"
59,"Organizational Strategy","balanced",0.559446559369098,0.559446559369098,0.541839055896607,0,0.312980452789922,0,-0.0176075034724914,"review"
60,"Healthcare","availability",0.416551514784805,0.560984935028924,0.580862301527132,1,0.192734227271558,0.144433420244118,0.0198773664982084,"review"
64,"Public Policy","overconfidence",0.678511847823393,0.678511847823393,0.74991658695275,0,0.460378327636715,0,0.071404739129357,"review"
66,"AI Governance","availability",0.621464577468578,0.700854156829224,0.716044864581407,0,0.491196549144803,0.0793895793606467,0.0151907077521822,"review"
67,"Healthcare","confirmation",0.505185502197128,0.587072375884745,0.585279731325258,0,0.34465397452696,0.0818868736876175,-0.00179264455948724,"review"
68,"Public Policy","balanced",0.453169837035239,0.453169837035239,0.458611596108937,1,0.299023227128067,0,0.00544175907369809,"review"
70,"Infrastructure","confirmation",0.301801303250249,0.451079231635667,0.418756015734304,0,0.203472473213024,0.149277928385418,-0.0323232159013634,"review"
73,"Financial Risk","overconfidence",0.67023800938623,0.67023800938623,0.738333213140722,0,0.449218989226016,0,0.0680952037544921,"review"
74,"Financial Risk","availability",0.772329766035546,0.99,0.99,1,1e-04,0.217670233964454,0,"review"
76,"AI Governance","anchoring",0.818709229200613,0.628768395099905,0.590163330451925,0,0.395349694676511,0.189940834100707,-0.03860506464798,"review"
81,"Organizational Strategy","availability",0.699099938583095,0.99,0.97150757946963,1,1e-04,0.290900061416905,-0.0184924205303701,"review"
83,"Healthcare","availability",0.801152813562658,0.99,0.96443932320495,1,1e-04,0.188847186437342,-0.0255606767950499,"review"
84,"Public Policy","representativeness",0.304720393870957,0.312580232345499,0.33034593330223,1,0.472545936962168,0.00785983847454186,0.0177657009567306,"review"
85,"Healthcare","overconfidence",0.358943291788455,0.358943291788455,0.302520608503837,1,0.410953703143022,0,-0.056422683284618,"review"
88,"AI Governance","availability",0.881766968022566,0.715704149010776,0.703690440461547,1,0.080824130889687,0.16606281901179,-0.012013708549229,"review"
92,"Healthcare","availability",0.612605725263711,0.754428744181807,0.752665133318556,0,0.569162730047739,0.141823018918096,-0.00176361086325127,"review"
95,"AI Governance","confirmation",0.048355141968932,0.223779010144062,0.246813111054817,0,0.0500770453810564,0.17542386817513,0.0230341009107545,"review"
97,"Organizational Strategy","confirmation",0.01,0.240115801352076,0.199632522929207,0,0.0576555980589497,0.230115801352076,-0.0404832784228688,"review"
100,"Infrastructure","representativeness",0.602048480906524,0.684981652162969,0.72002548764291,0,0.469199863799911,0.0829331712564453,0.0350438354799411,"review"
101,"AI Governance","confirmation",0.501035756221972,0.681578482217155,0.65385975758672,1,0.10139226298713,0.180542725995183,-0.0277187246304358,"review"
103,"Infrastructure","availability",0.282472851360217,0.354957704480775,0.229397979322039,0,0.125994971970261,0.0724848531205586,-0.125559725158737,"review"
105,"Public Policy","anchoring",0.302871863206383,0.487103986160946,0.512942250381068,0,0.237270293333883,0.184232122954563,0.0258382642201223,"review"
109,"Public Policy","representativeness",0.578895819222089,0.558564436587039,0.548730361816377,0,0.311994229819797,0.0203313826350495,-0.009834074770662,"review"
113,"Public Policy","overconfidence",0.476681395806372,0.476681395806372,0.467353954128921,1,0.273862361495167,0,-0.00932744167745114,"review"
114,"AI Governance","anchoring",0.338292709283996,0.539612952949828,0.559520634505698,0,0.291182138991234,0.201320243665832,0.0199076815558695,"review"
116,"AI Governance","confirmation",0.16721327372361,0.399161319734994,0.42837628132879,0,0.159329759172582,0.231948046011385,0.0292149615937954,"review"
117,"Public Policy","balanced",0.286361541796941,0.286361541796941,0.302342294324342,1,0.509279849026439,0,0.0159807525274004,"review"
120,"Healthcare","overconfidence",0.497807310626376,0.497807310626376,0.496930234876927,1,0.252197497260313,0,-0.000877075749449452,"review"
123,"Financial Risk","overconfidence",0.56480286680162,0.56480286680162,0.590724013522267,0,0.319002278347328,0,0.0259211467206478,"review"
129,"Organizational Strategy","balanced",0.539857730525546,0.539857730525546,0.557898648186995,0,0.291446369208193,0,0.0180409176614493,"review"
130,"Organizational Strategy","anchoring",0.99,0.775793838447891,0.771811317147729,1,0.0502684028779303,0.214206161552109,-0.00398252130016219,"review"
133,"Organizational Strategy","balanced",0.69130879107397,0.69130879107397,0.705173071285171,0,0.477907844616155,0,0.0138642802112007,"review"
134,"AI Governance","availability",0.805337602877989,0.98437452083102,0.99,0,0.9689931972613,0.17903691795303,0.00562547916898026,"review"
138,"Healthcare","overconfidence",0.1789268638473,0.1789268638473,0.0504976093862206,0,0.0320148226062304,0,-0.12842925446108,"review"
144,"Organizational Strategy","balanced",0.182446927437559,0.182446927437559,0.119174300570783,1,0.668393026456288,0,-0.063272626866776,"review"
146,"Infrastructure","representativeness",0.622896233655047,0.618244177551242,0.580780368700205,0,0.382225863076011,0.00465205610380515,-0.0374638088510364,"review"
150,"Organizational Strategy","anchoring",0.237621115893126,0.517672842798056,0.586979308049168,0,0.267985172170621,0.280051726904931,0.0693064652511117,"review"
151,"Infrastructure","balanced",0.431113692838699,0.431113692838699,0.34458717009886,1,0.323631630475623,0,-0.0865265227398388,"review"
155,"Healthcare","anchoring",0.250635557016358,0.300754949636757,0.261733852844037,1,0.488943640457494,0.0501193926203997,-0.0390210967927199,"review"
157,"Public Policy","balanced",0.541629748849664,0.541629748849664,0.579941127376694,0,0.29336278483895,0,0.0383113785270301,"review"
161,"Organizational Strategy","overconfidence",0.417900992580689,0.417900992580689,0.385061389612965,1,0.338839254438547,0,-0.0328396029677242,"review"
162,"Organizational Strategy","anchoring",0.505496431456413,0.564758135018055,0.57398541703947,0,0.318951751069072,0.0592617035616422,0.00922728202141432,"review"
169,"Infrastructure","representativeness",0.59636302649742,0.56949719658005,0.495859628767845,0,0.324327056912537,0.0268658299173694,-0.0736375678122058,"review"
174,"Public Policy","representativeness",0.395731142279692,0.466399659903254,0.406839152710173,1,0.284729322951363,0.0706685176235624,-0.0595605071930813,"review"
176,"Financial Risk","confirmation",0.723484990326688,0.770510490621673,0.763980888144899,0,0.593686416158051,0.0470255002949852,-0.00652960247677348,"review"
177,"Organizational Strategy","balanced",0.610649573348928,0.610649573348928,0.631683004732577,0,0.372892901431228,0,0.0210334313836488,"review"
179,"Infrastructure","anchoring",0.974974951089825,0.75698926316516,0.813085544501491,1,0.0590542182170119,0.217985687924665,0.0560962813363313,"review"
180,"Healthcare","anchoring",0.851818769902457,0.721394698450458,0.704344886329936,1,0.0776209140515111,0.130424071451998,-0.0170498121205223,"review"
