"case_id","domain","bias_profile","judged_probability","confidence","confidence_gap","confidence_flag"
707,"Healthcare","overconfidence",0.845875807304401,0.984226130226161,0.13835032292176,"overconfident"
596,"Financial Risk","overconfidence",0.843953412165865,0.981534777032211,0.137581364866346,"overconfident"
373,"Financial Risk","overconfidence",0.853790533053689,0.99,0.136209466946311,"overconfident"
867,"Infrastructure","overconfidence",0.163011528982315,0.0282161405752413,-0.134795388407074,"underconfident"
308,"Financial Risk","overconfidence",0.163689020520542,0.0291646287287585,-0.134524391791783,"underconfident"
490,"Infrastructure","overconfidence",0.833040763996541,0.966257069595158,0.133216305598617,"overconfident"
508,"Healthcare","overconfidence",0.857186499948148,0.99,0.132813500051852,"overconfident"
233,"Public Policy","overconfidence",0.169547634688206,0.0373666885634884,-0.132180946124718,"underconfident"
297,"Financial Risk","overconfidence",0.172456493391655,0.0414390907483175,-0.131017402643338,"underconfident"
182,"AI Governance","overconfidence",0.140726663253736,0.01,-0.130726663253736,"underconfident"
590,"Organizational Strategy","overconfidence",0.139195447403472,0.01,-0.129195447403472,"underconfident"
138,"Healthcare","overconfidence",0.1789268638473,0.0504976093862206,-0.12842925446108,"underconfident"
810,"Organizational Strategy","overconfidence",0.861811572010629,0.99,0.128188427989371,"overconfident"
103,"Infrastructure","availability",0.354957704480775,0.229397979322039,-0.125559725158737,"underconfident"
839,"Public Policy","overconfidence",0.866257761919405,0.99,0.123742238080595,"overconfident"
535,"Organizational Strategy","balanced",0.625163653015625,0.505122662075355,-0.12004099094027,"underconfident"
862,"Healthcare","anchoring",0.622086615191074,0.741642716656321,0.119556101465247,"acceptable"
647,"Financial Risk","overconfidence",0.2087782268296,0.0922895175614394,-0.11648870926816,"acceptable"
24,"AI Governance","overconfidence",0.788668753777165,0.904136255288031,0.115467501510866,"acceptable"
630,"Infrastructure","overconfidence",0.876551875809673,0.99,0.113448124190327,"acceptable"
254,"Public Policy","overconfidence",0.782946738495957,0.89612543389434,0.113178695398383,"acceptable"
315,"Healthcare","overconfidence",0.218558488378767,0.105981883730274,-0.112576604648493,"acceptable"
145,"Infrastructure","balanced",0.300616074085701,0.189256389707312,-0.11135968437839,"acceptable"
872,"Healthcare","overconfidence",0.775651208613999,0.885911692059599,0.1102604834456,"acceptable"
426,"AI Governance","overconfidence",0.225270281161647,0.115378393626306,-0.109891887535341,"acceptable"
299,"Infrastructure","overconfidence",0.880164031428285,0.99,0.109835968571715,"acceptable"
854,"Organizational Strategy","confirmation",0.540710371044697,0.65052127279447,0.109810901749772,"acceptable"
458,"Financial Risk","confirmation",0.748809970988659,0.639371162560865,-0.109438808427794,"acceptable"
219,"Financial Risk","overconfidence",0.772971022257116,0.882159431159962,0.109188408902846,"acceptable"
593,"Public Policy","overconfidence",0.119021307991352,0.01,-0.109021307991352,"acceptable"
748,"Financial Risk","confirmation",0.178275461263256,0.286629275854135,0.108353814590878,"acceptable"
389,"AI Governance","availability",0.0830488080962809,0.191122050512261,0.10807324241598,"acceptable"
318,"Financial Risk","overconfidence",0.231782191223465,0.124495067712851,-0.107287123510614,"acceptable"
124,"Public Policy","overconfidence",0.765559947025031,0.871783925835043,0.106223978810012,"acceptable"
487,"Financial Risk","overconfidence",0.235115803568624,0.129162124996074,-0.10595367857255,"acceptable"
