"case_id","domain","bias_profile","base_rate","evidence_signal","anchor","salience_multiplier","confirming_evidence","disconfirming_evidence","evidence_based_probability","judged_probability","confidence","outcome","brier_score","confidence_gap","bias_magnitude","probability_bin","review_flag"
1,"Public Policy","anchoring",0.560222683730535,0.111330358078703,0.304562107729726,0.955334426090121,0.189350329712033,0.2661279596854,0.671553041809238,0.506407121473458,0.553385586294264,1,0.243633929732118,0.0469784648208059,0.165145920335781,"[0.5,0.6)","review"
2,"AI Governance","anchoring",0.213043484452646,0.142203928902745,0.833733374951407,0.86877140130382,0.0113377000205219,0.243657394847833,0.355247413355391,0.570566096073599,0.560785945796367,0,0.325545669988667,-0.00978015027723145,0.215318682718207,"[0.5,0.6)","review"
3,"Public Policy","overconfidence",0.502134056726936,-0.231256635161117,0.319918595836498,1.40491356276907,0.13797322679311,0.297879046574235,0.27087742156582,0.27087742156582,0.179228390192147,1,0.531619734382508,-0.0916490313736722,0,"[0.2,0.3)","review"
4,"Public Policy","anchoring",0.528605820867233,-0.149369231425226,0.640539832878858,1.11900463653728,0.0264864040771499,0.133258031518199,0.379236589442007,0.49682304898859,0.490145763748358,1,0.253187044029139,-0.00667728524023198,0.117586459546583,"[0.4,0.5)","review"
5,"Healthcare","balanced",0.552684611547738,-0.083947622217238,0.520964569528587,1.28368088554125,0.0493941040243953,0.203702476224862,0.4687369893305,0.4687369893305,0.465372369164653,0,0.219714365166622,-0.00336462016584754,0,"[0.4,0.5)","acceptable"
6,"Infrastructure","overconfidence",0.731017620209604,0.0334824027959257,0.431413532071747,0.732135676336475,0.192118341824971,0.0180074430070817,0.76450002300553,0.76450002300553,0.870300032207742,1,0.0554602391643958,0.105800009202212,0,"[0.7,0.8)","acceptable"
7,"Healthcare","balanced",0.495728863892145,-0.244534392375499,0.492135821538977,0.946810362278484,0.0495668475050479,0.138665116927586,0.251194471516646,0.251194471516646,0.218134540383817,0,0.0630986625205273,-0.0330599311328292,0,"[0.2,0.3)","acceptable"
8,"Healthcare","overconfidence",0.284208950144239,-0.207349014584906,0.66857082513161,1.23722620054614,0.0454982860246673,0.269493413809687,0.0768599355593323,0.0768599355593323,0.01,0,0.00590744969418472,-0.0668599355593324,0,"[0,0.1)","acceptable"
9,"Public Policy","confirmation",0.323894708848093,-0.0185172047931701,0.225780400307849,1.55571585681755,0.0269984659971669,0.0545554687734693,0.305377504054923,0.307881862781942,0.260301988987515,0,0.0947912414300785,-0.0475798737944273,0.00250435872701926,"[0.3,0.4)","acceptable"
10,"Infrastructure","anchoring",0.734610924811568,-0.0250431299209595,0.433749580406584,0.803231067047454,0.038212027028203,0.0321971151977777,0.709567794890609,0.585449598372797,0.601183672812036,1,0.171852035489275,0.015734074439239,0.124118196517811,"[0.5,0.6)","review"
