crisis_type,time,risk,uncertainty,resource_pressure,public_trust,cascading_impact,response_capacity,shock_event,shock_severity,escalation_required
Infrastructure Outage,1,0.513655,0.442937,0.43253,0.629318,0.563008,0.68,False,0.001501,False
Infrastructure Outage,2,0.542263,0.421997,0.436524,0.637747,0.569951,0.68,False,0.001788,False
Infrastructure Outage,3,0.585611,0.416371,0.464664,0.631121,0.559435,0.68,False,0.032696,False
Infrastructure Outage,4,0.61497,0.366379,0.483732,0.634545,0.543068,0.68,False,0.009329,False
Infrastructure Outage,5,0.618326,0.369083,0.45739,0.619879,0.486345,0.68,False,0.036224,False
Infrastructure Outage,6,0.634053,0.379552,0.478422,0.613971,0.458869,0.68,False,0.037111,False
Infrastructure Outage,7,0.640742,0.382501,0.488712,0.618576,0.460065,0.68,False,0.017363,False
Infrastructure Outage,8,0.637612,0.351173,0.486883,0.600624,0.491403,0.68,False,0.01257,False
Infrastructure Outage,9,0.673283,0.367481,0.519489,0.588417,0.521237,0.68,True,0.225825,False
Infrastructure Outage,10,0.717923,0.343504,0.526185,0.577958,0.51812,0.68,False,0.04656,False
Infrastructure Outage,11,0.724215,0.323929,0.49584,0.582878,0.501927,0.74,False,0.056575,True
Infrastructure Outage,12,0.710853,0.296542,0.485564,0.54758,0.486561,0.74,False,0.014798,False
Infrastructure Outage,13,0.698356,0.287832,0.460955,0.573107,0.480804,0.8,False,0.013159,True
Infrastructure Outage,14,0.700761,0.297793,0.482002,0.59276,0.476603,0.8,False,0.02533,False
Infrastructure Outage,15,0.706553,0.327351,0.488922,0.568511,0.458141,0.8,False,0.051647,False
Infrastructure Outage,16,0.682999,0.33669,0.422986,0.596075,0.469956,0.86,True,0.166953,True
Infrastructure Outage,17,0.664766,0.366269,0.402402,0.618657,0.448665,0.86,False,0.010719,False
Infrastructure Outage,18,0.654781,0.345352,0.408162,0.632325,0.414453,0.86,False,0.032363,False
Infrastructure Outage,19,0.681025,0.36116,0.365015,0.65325,0.415958,0.92,True,0.26582,True
Infrastructure Outage,20,0.679357,0.318913,0.404943,0.648164,0.425605,0.92,True,0.177198,False
Infrastructure Outage,21,0.630307,0.30236,0.445912,0.651828,0.401303,0.92,False,0.032988,False
Infrastructure Outage,22,0.617986,0.279569,0.473354,0.630005,0.385223,0.92,False,0.018703,False
Infrastructure Outage,23,0.640886,0.257657,0.500568,0.63765,0.378711,0.92,True,0.124939,False
Infrastructure Outage,24,0.654333,0.262835,0.506323,0.636625,0.360804,0.92,False,0.054325,False
Infrastructure Outage,25,0.630051,0.278963,0.494501,0.640256,0.314168,0.92,False,0.007939,False
Infrastructure Outage,26,0.598128,0.26266,0.481925,0.630772,0.318532,0.92,True,0.16621,False
Infrastructure Outage,27,0.572199,0.2301,0.489291,0.61975,0.310494,0.92,False,0.005905,False
Infrastructure Outage,28,0.557276,0.242414,0.486254,0.585087,0.334696,0.92,False,0.016713,False
Infrastructure Outage,29,0.537559,0.275797,0.481797,0.575809,0.357191,0.92,False,0.003035,False
Infrastructure Outage,30,0.548413,0.250151,0.471954,0.536995,0.343284,0.92,False,0.012825,False
Infrastructure Outage,31,0.497129,0.214337,0.475937,0.520035,0.385315,0.92,False,0.047044,False
Infrastructure Outage,32,0.483152,0.197422,0.504133,0.486952,0.371185,0.92,True,0.139342,False
Infrastructure Outage,33,0.497977,0.149845,0.508921,0.520127,0.390593,0.92,True,0.196836,False
Infrastructure Outage,34,0.462651,0.146419,0.50634,0.530272,0.383246,0.92,False,0.040513,False
Infrastructure Outage,35,0.436819,0.106067,0.514604,0.524734,0.32428,0.92,False,0.037163,False
Infrastructure Outage,36,0.427823,0.131617,0.500569,0.5132,0.292079,0.92,False,0.023747,False
Cyber Incident,1,0.587112,0.640689,0.486453,0.634807,0.711282,0.68,True,0.171657,True
Cyber Incident,2,0.604117,0.666514,0.456799,0.66172,0.710928,0.74,False,0.052756,True
Cyber Incident,3,0.613951,0.633175,0.430592,0.661589,0.70867,0.8,False,0.059234,True
Cyber Incident,4,0.671432,0.554546,0.425886,0.672183,0.7165,0.86,True,0.103086,True
Cyber Incident,5,0.672204,0.506209,0.382308,0.693463,0.6647,0.92,False,0.012216,True
Cyber Incident,6,0.646239,0.46218,0.381747,0.703513,0.651695,0.98,False,0.016601,True
Cyber Incident,7,0.645942,0.425397,0.346512,0.740545,0.670641,1.0,False,0.033101,True
Cyber Incident,8,0.656038,0.374069,0.315997,0.74832,0.663643,1.0,False,0.034951,True
Cyber Incident,9,0.630689,0.355722,0.272348,0.778926,0.650504,1.0,False,0.051642,True
Cyber Incident,10,0.548161,0.271422,0.261374,0.835921,0.670081,1.0,False,0.03724,True
Cyber Incident,11,0.556479,0.302793,0.263318,0.871597,0.634305,1.0,False,0.052885,False
Cyber Incident,12,0.509244,0.243595,0.260417,0.89816,0.608282,1.0,False,0.016008,False
Cyber Incident,13,0.505699,0.21364,0.2603,0.887197,0.595633,1.0,False,0.048995,False
Cyber Incident,14,0.472506,0.207016,0.271887,0.877027,0.576469,1.0,False,0.051861,False
Cyber Incident,15,0.465296,0.207875,0.261941,0.876982,0.569367,1.0,False,0.032173,False
Cyber Incident,16,0.4494,0.203448,0.261256,0.858161,0.54498,1.0,True,0.166913,False
Cyber Incident,17,0.396845,0.191851,0.285968,0.860454,0.567518,1.0,False,0.034595,False
Cyber Incident,18,0.356923,0.172333,0.273294,0.854492,0.553537,1.0,False,0.040238,False
Cyber Incident,19,0.314981,0.159213,0.248671,0.874363,0.527625,1.0,False,0.050881,False
Cyber Incident,20,0.292065,0.171186,0.274385,0.893347,0.505602,1.0,True,0.164089,False
Cyber Incident,21,0.244406,0.181176,0.263701,0.90598,0.462399,1.0,False,0.032876,False
Cyber Incident,22,0.185026,0.145904,0.20816,0.913941,0.444778,1.0,False,0.012822,False
Cyber Incident,23,0.158726,0.132194,0.190371,0.886969,0.443908,1.0,True,0.18309,False
Cyber Incident,24,0.095941,0.103335,0.175163,0.89769,0.437712,1.0,False,0.001466,False
Cyber Incident,25,0.042277,0.106362,0.188844,0.903386,0.398922,1.0,False,0.037786,False
Cyber Incident,26,0.033978,0.094668,0.189173,0.92893,0.384859,1.0,False,0.046203,False
Cyber Incident,27,0.0,0.081954,0.209047,0.944061,0.324688,1.0,False,0.003013,False
Cyber Incident,28,0.0,0.008774,0.213848,0.946112,0.283148,1.0,False,0.057002,False
Cyber Incident,29,0.0,0.031146,0.175958,0.955425,0.241782,1.0,False,0.032872,False
Cyber Incident,30,0.0,0.056065,0.146628,0.975657,0.203761,1.0,False,0.031278,False
Cyber Incident,31,0.0,0.031187,0.125054,1.0,0.178458,1.0,False,0.019183,False
Cyber Incident,32,0.0,0.011822,0.095255,0.974723,0.157023,1.0,False,0.032557,False
Cyber Incident,33,0.0,0.028425,0.051069,0.9852,0.128614,1.0,False,0.041731,False
Cyber Incident,34,0.0,0.053375,0.005522,0.970743,0.117266,1.0,False,0.057206,False
Cyber Incident,35,0.0,0.035647,0.0,1.0,0.074307,1.0,False,0.013165,False
Cyber Incident,36,0.0,0.031552,0.0,0.992771,0.042018,1.0,False,0.007658,False
Public Health Emergency,1,0.571726,0.636492,0.566674,0.592968,0.638802,0.66,True,0.20855,True
Public Health Emergency,2,0.600743,0.621412,0.544409,0.606608,0.594138,0.72,False,0.022748,True
Public Health Emergency,3,0.622921,0.621147,0.52899,0.590241,0.575982,0.78,True,0.187884,True
Public Health Emergency,4,0.681931,0.57395,0.541087,0.600056,0.564499,0.78,False,0.011962,False
Public Health Emergency,5,0.715352,0.547675,0.510894,0.613513,0.565107,0.78,False,0.013078,False
Public Health Emergency,6,0.741291,0.501476,0.4908,0.619218,0.559945,0.84,False,0.057883,True
Public Health Emergency,7,0.747039,0.462713,0.4547,0.61406,0.539919,0.9,False,0.023799,True
Public Health Emergency,8,0.706007,0.452795,0.465554,0.635434,0.564524,0.96,False,0.036025,True
Public Health Emergency,9,0.707726,0.393248,0.429654,0.628525,0.570096,1.0,False,0.022234,True
Public Health Emergency,10,0.654684,0.422394,0.424662,0.618795,0.538671,1.0,False,0.049722,False
Public Health Emergency,11,0.640918,0.384358,0.418478,0.626208,0.497846,1.0,False,0.048492,False
Public Health Emergency,12,0.630643,0.419292,0.425818,0.598494,0.471416,1.0,False,0.0052,False
Public Health Emergency,13,0.589025,0.414817,0.411481,0.626618,0.461238,1.0,False,0.001722,False
Public Health Emergency,14,0.593113,0.445578,0.455746,0.646273,0.446469,1.0,False,0.016576,False
Public Health Emergency,15,0.588903,0.422084,0.426467,0.643232,0.399125,1.0,False,0.04549,False
Public Health Emergency,16,0.559064,0.419321,0.402555,0.621053,0.371696,1.0,False,0.018372,False
Public Health Emergency,17,0.532258,0.401108,0.382516,0.627278,0.353686,1.0,False,0.019847,False
Public Health Emergency,18,0.509464,0.40257,0.384101,0.594777,0.348574,1.0,False,0.045731,False
Public Health Emergency,19,0.480186,0.388719,0.387735,0.603822,0.334915,1.0,False,0.031478,False
Public Health Emergency,20,0.435319,0.379848,0.40579,0.597993,0.311495,1.0,False,0.016459,False
Public Health Emergency,21,0.40015,0.390967,0.379701,0.598762,0.272723,1.0,False,0.029453,False
Public Health Emergency,22,0.370903,0.386699,0.380284,0.618588,0.235856,1.0,False,0.028664,False
Public Health Emergency,23,0.342614,0.361846,0.369599,0.613658,0.229495,1.0,True,0.10984,False
Public Health Emergency,24,0.299603,0.314934,0.337311,0.580065,0.204011,1.0,False,0.013541,False
Public Health Emergency,25,0.239081,0.277555,0.306993,0.537411,0.178065,1.0,False,0.018323,False
Public Health Emergency,26,0.171325,0.28092,0.297174,0.558455,0.159318,1.0,False,0.009423,False
Public Health Emergency,27,0.084758,0.272867,0.31363,0.540483,0.127703,1.0,False,0.017476,False
Public Health Emergency,28,0.016096,0.209459,0.273329,0.522725,0.065955,1.0,False,0.037503,False
Public Health Emergency,29,0.0,0.204276,0.250178,0.538431,0.047372,1.0,False,0.054505,False
Public Health Emergency,30,0.0,0.158428,0.218966,0.563544,0.0,1.0,False,0.007461,False
Public Health Emergency,31,0.0,0.170576,0.204528,0.581185,0.0,1.0,False,0.004827,False
Public Health Emergency,32,0.0,0.194032,0.26164,0.577467,0.0,1.0,False,0.034512,False
Public Health Emergency,33,0.0,0.162854,0.260867,0.569444,0.0,1.0,True,0.231254,False
Public Health Emergency,34,0.0,0.131166,0.230797,0.558003,0.0,1.0,False,0.005475,False
Public Health Emergency,35,0.0,0.106167,0.260111,0.541589,0.0,1.0,False,0.04162,False
Public Health Emergency,36,0.0,0.102908,0.223786,0.572639,0.0,1.0,False,0.058211,False
Severe Weather Disaster,1,0.596031,0.470339,0.595703,0.591284,0.750057,0.7,False,0.024795,True
Severe Weather Disaster,2,0.659914,0.417258,0.544694,0.643782,0.751337,0.76,False,0.05566,True
Severe Weather Disaster,3,0.71332,0.394926,0.539379,0.660462,0.731703,0.82,False,0.014358,True
Severe Weather Disaster,4,0.684185,0.352104,0.522029,0.676589,0.700573,0.88,False,0.007048,True
Severe Weather Disaster,5,0.694445,0.333953,0.489788,0.691195,0.672267,0.94,False,0.050083,True
Severe Weather Disaster,6,0.696664,0.283358,0.450659,0.676892,0.691254,1.0,False,0.051842,True
Severe Weather Disaster,7,0.689936,0.268184,0.467515,0.640435,0.620752,1.0,False,0.049233,False
Severe Weather Disaster,8,0.688971,0.255963,0.442282,0.624812,0.597677,1.0,False,0.020707,False
Severe Weather Disaster,9,0.68178,0.2281,0.435658,0.619164,0.584146,1.0,False,0.04185,False
Severe Weather Disaster,10,0.659193,0.176099,0.414953,0.641696,0.539716,1.0,False,0.023165,False
Severe Weather Disaster,11,0.642175,0.133152,0.400586,0.625947,0.548075,1.0,True,0.180458,False
Severe Weather Disaster,12,0.624343,0.115835,0.391594,0.582543,0.522928,1.0,False,0.024599,False
Severe Weather Disaster,13,0.581458,0.075607,0.358104,0.558127,0.528601,1.0,False,0.041562,False
Severe Weather Disaster,14,0.562196,0.079385,0.359135,0.585138,0.508822,1.0,False,0.045564,False
Severe Weather Disaster,15,0.546586,0.068831,0.335448,0.604041,0.513941,1.0,False,0.059846,False
Severe Weather Disaster,16,0.532923,0.038934,0.366555,0.603663,0.506715,1.0,False,0.054205,False
Severe Weather Disaster,17,0.539215,0.0,0.356775,0.611371,0.502827,1.0,True,0.186233,False
Severe Weather Disaster,18,0.518818,0.0,0.36738,0.61609,0.502016,1.0,False,0.05477,False
Severe Weather Disaster,19,0.504213,0.035074,0.357303,0.631325,0.508779,1.0,True,0.240927,False
Severe Weather Disaster,20,0.486837,0.049763,0.351412,0.642125,0.524321,1.0,False,0.025459,False
Severe Weather Disaster,21,0.472301,0.006688,0.333015,0.648199,0.518995,1.0,False,0.014232,False
Severe Weather Disaster,22,0.433844,0.0,0.313887,0.678274,0.472363,1.0,False,0.033956,False
Severe Weather Disaster,23,0.371693,0.0,0.342885,0.67334,0.440615,1.0,False,0.054249,False
Severe Weather Disaster,24,0.287323,0.0,0.314149,0.652757,0.391058,1.0,False,0.043256,False
Severe Weather Disaster,25,0.217755,0.0,0.31201,0.652129,0.366137,1.0,False,0.018536,False
Severe Weather Disaster,26,0.159548,0.033537,0.252119,0.617969,0.335075,1.0,True,0.106432,False
Severe Weather Disaster,27,0.083712,0.032935,0.216577,0.598305,0.31861,1.0,False,0.015418,False
Severe Weather Disaster,28,0.0,0.029306,0.237971,0.598384,0.282316,1.0,False,0.008445,False
Severe Weather Disaster,29,0.0,0.0,0.247286,0.607754,0.276834,1.0,False,0.048275,False
Severe Weather Disaster,30,0.0,0.0,0.250258,0.625726,0.209802,1.0,False,0.035074,False
Severe Weather Disaster,31,0.0,0.0,0.228946,0.63362,0.197846,1.0,True,0.256847,False
Severe Weather Disaster,32,0.0,0.0,0.241295,0.634838,0.201959,1.0,False,0.024498,False
