"assumption_id","record_id","assumption","confidence","criticality","assumption_risk","monitoring_gap"
"A7","DR-004","Market growth exceeds 8 percent",0.42,0.9,0.522,TRUE
"A8","DR-004","Hiring capacity scales within two quarters",0.38,0.84,0.5208,TRUE
"A1","DR-001","Model performance remains stable after deployment",0.62,0.86,0.3268,FALSE
"A10","DR-005","Funding remains available for staged pathway",0.66,0.76,0.2584,FALSE
"A3","DR-002","Construction cost escalation remains below 15 percent",0.68,0.78,0.2496,FALSE
"A9","DR-005","Climate scenario remains within adaptation envelope",0.72,0.88,0.2464,FALSE
"A2","DR-001","Human review capacity remains available",0.7,0.72,0.216,FALSE
"A6","DR-003","Adverse-event rate remains below safety threshold",0.76,0.82,0.1968,TRUE
"A4","DR-002","Service demand follows medium-growth scenario",0.74,0.7,0.182,FALSE
"A5","DR-003","Clinician adoption exceeds minimum threshold",0.8,0.66,0.132,FALSE
