time,investment,network_dependence,institutional_routine,option_value,switching_cost,lock_in_risk,review_trigger
1,0.217135,0.198047,0.235424,0.82578,0.216132,0.113725,False
2,0.23437,0.207081,0.253156,0.81533,0.230728,0.127672,False
3,0.251068,0.227658,0.270594,0.799052,0.248967,0.145959,False
4,0.273008,0.248527,0.283388,0.79141,0.267798,0.162388,False
5,0.292486,0.278092,0.300377,0.780033,0.289959,0.183503,False
6,0.313677,0.288622,0.315702,0.766178,0.305766,0.197925,False
7,0.336917,0.307991,0.334665,0.753177,0.326407,0.217078,False
8,0.359611,0.321593,0.354722,0.747107,0.345218,0.233922,False
9,0.361891,0.338773,0.367531,0.731397,0.355723,0.246927,False
10,0.383877,0.351998,0.389288,0.723071,0.374661,0.264451,False
11,0.40136,0.371961,0.407579,0.707351,0.39323,0.282936,False
12,0.42319,0.396758,0.428797,0.692864,0.415885,0.3048,False
13,0.437428,0.414298,0.44459,0.678199,0.431712,0.320844,False
14,0.453927,0.453457,0.459028,0.66984,0.455298,0.34346,False
15,0.476538,0.486558,0.480422,0.653614,0.48111,0.368534,False
16,0.503096,0.509446,0.492402,0.642788,0.502047,0.386342,False
17,0.526814,0.523242,0.511802,0.628705,0.521096,0.403943,False
18,0.54292,0.552452,0.53423,0.606214,0.543554,0.427746,False
19,0.56464,0.572655,0.551148,0.596233,0.563318,0.445822,False
20,0.588354,0.593513,0.570731,0.579811,0.584821,0.466151,False
21,0.602013,0.616488,0.58169,0.570651,0.600837,0.481457,False
22,0.616606,0.644647,0.608104,0.557076,0.623589,0.505398,False
23,0.636175,0.671365,0.634241,0.539698,0.647559,0.529866,False
24,0.655817,0.690126,0.659659,0.524215,0.668635,0.551135,False
25,0.681178,0.716134,0.690586,0.511507,0.695886,0.577712,False
26,0.708737,0.743571,0.709441,0.501765,0.720792,0.599914,False
27,0.725831,0.780422,0.735327,0.484597,0.74724,0.627357,False
28,0.729575,0.812342,0.760229,0.472235,0.766912,0.650212,False
29,0.743811,0.839483,0.791249,0.461708,0.790571,0.675315,False
30,0.759244,0.876404,0.811782,0.448295,0.81484,0.699983,False
31,0.777831,0.895383,0.835835,0.438118,0.8352,0.720083,True
32,0.801142,0.923422,0.870487,0.421772,0.863521,0.748922,True
33,0.827336,0.942709,0.893303,0.405119,0.886353,0.770423,True
34,0.855811,0.95978,0.921854,0.387223,0.910973,0.793962,True
35,0.883012,0.994012,0.946055,0.373633,0.939665,0.820994,True
36,0.893523,1.0,0.969096,0.349738,0.952397,0.83638,True
37,0.907857,1.0,0.985251,0.335408,0.962404,0.846539,True
38,0.927423,1.0,1.0,0.319584,0.973872,0.857068,True
39,0.93872,1.0,1.0,0.301618,0.977939,0.860573,True
40,0.952518,1.0,1.0,0.282819,0.982907,0.864539,True
41,0.978163,1.0,1.0,0.258207,0.992139,0.870877,True
42,0.997625,1.0,1.0,0.236276,0.999145,0.876013,True
43,1.0,1.0,1.0,0.222328,1.0,0.877767,True
44,1.0,1.0,1.0,0.20876,1.0,0.879124,True
45,1.0,1.0,1.0,0.190687,1.0,0.880931,True
46,1.0,1.0,1.0,0.174868,1.0,0.882513,True
47,1.0,1.0,1.0,0.161178,1.0,0.883882,True
48,1.0,1.0,1.0,0.143654,1.0,0.885635,True
49,1.0,1.0,1.0,0.124873,1.0,0.887513,True
50,1.0,1.0,1.0,0.108907,1.0,0.889109,True
