"strategy","scenario","composite_score","scenario_probability","scenario_rank"
"Efficiency Strategy","Baseline",0.6488,0.3,5
"Efficiency Strategy","Fiscal Stress",0.705,0.15,4
"Efficiency Strategy","High Volatility",0.5608,0.18,5
"Efficiency Strategy","Climate Stress",0.517,0.14,5
"Efficiency Strategy","Implementation Constraint",0.65,0.13,5
"Efficiency Strategy","Compound Stress",0.549,0.1,5
"Balanced Strategy","Baseline",0.7344,0.3,3
"Balanced Strategy","Fiscal Stress",0.741,0.15,2
"Balanced Strategy","High Volatility",0.7236,0.18,4
"Balanced Strategy","Climate Stress",0.719,0.14,4
"Balanced Strategy","Implementation Constraint",0.738,0.13,3
"Balanced Strategy","Compound Stress",0.723,0.1,4
"Resilience Strategy","Baseline",0.7152,0.3,4
"Resilience Strategy","Fiscal Stress",0.688,0.15,5
"Resilience Strategy","High Volatility",0.7508,0.18,3
"Resilience Strategy","Climate Stress",0.793,0.14,3
"Resilience Strategy","Implementation Constraint",0.715,0.13,4
"Resilience Strategy","Compound Stress",0.765,0.1,3
"Adaptive Strategy","Baseline",0.786,0.3,1
"Adaptive Strategy","Fiscal Stress",0.7705,0.15,1
"Adaptive Strategy","High Volatility",0.819,0.18,1
"Adaptive Strategy","Climate Stress",0.8235,0.14,1
"Adaptive Strategy","Implementation Constraint",0.79,0.13,1
"Adaptive Strategy","Compound Stress",0.8205,0.1,1
"Precautionary Strategy","Baseline",0.7504,0.3,2
"Precautionary Strategy","Fiscal Stress",0.722,0.15,3
"Precautionary Strategy","High Volatility",0.78,0.18,2
"Precautionary Strategy","Climate Stress",0.8135,0.14,2
"Precautionary Strategy","Implementation Constraint",0.7495,0.13,2
"Precautionary Strategy","Compound Stress",0.7895,0.1,2
