trial,strategy,value,regret,winner,downside_breach
1,Efficiency Strategy,57.694346,22.403165,False,False
1,Balanced Strategy,70.83713,9.260382,False,False
1,Resilience Strategy,73.167823,6.929688,False,False
1,Adaptive Strategy,80.097511,0.0,True,False
1,Precautionary Strategy,79.429746,0.667766,False,False
2,Efficiency Strategy,63.152804,7.542431,False,False
2,Balanced Strategy,68.943846,1.751389,False,False
2,Resilience Strategy,70.105502,0.589733,False,False
2,Adaptive Strategy,70.485772,0.209462,False,False
2,Precautionary Strategy,70.695234,0.0,True,False
3,Efficiency Strategy,46.465974,37.159155,False,True
3,Balanced Strategy,67.549921,16.075208,False,False
3,Resilience Strategy,82.106937,1.518192,False,False
3,Adaptive Strategy,73.61515,10.009979,False,False
3,Precautionary Strategy,83.625129,0.0,True,False
4,Efficiency Strategy,74.641988,19.110852,False,False
4,Balanced Strategy,92.97047,0.78237,False,False
4,Resilience Strategy,93.75284,0.0,True,False
4,Adaptive Strategy,89.817453,3.935387,False,False
4,Precautionary Strategy,85.855701,7.897139,False,False
5,Efficiency Strategy,46.783475,29.315721,False,True
5,Balanced Strategy,61.236611,14.862585,False,False
5,Resilience Strategy,72.906392,3.192804,False,False
5,Adaptive Strategy,65.68141,10.417787,False,False
5,Precautionary Strategy,76.099196,0.0,True,False
6,Efficiency Strategy,59.594065,23.740812,False,False
6,Balanced Strategy,73.961525,9.373352,False,False
6,Resilience Strategy,77.000545,6.334331,False,False
6,Adaptive Strategy,75.758145,7.576732,False,False
6,Precautionary Strategy,83.334877,0.0,True,False
7,Efficiency Strategy,63.392395,7.304711,False,False
7,Balanced Strategy,67.619491,3.077615,False,False
7,Resilience Strategy,67.264207,3.432899,False,False
7,Adaptive Strategy,70.697106,0.0,True,False
7,Precautionary Strategy,66.222275,4.474831,False,False
8,Efficiency Strategy,58.939999,28.107074,False,False
8,Balanced Strategy,76.306049,10.741023,False,False
8,Resilience Strategy,71.408015,15.639058,False,False
8,Adaptive Strategy,87.047072,0.0,True,False
8,Precautionary Strategy,77.307016,9.740056,False,False
9,Efficiency Strategy,76.754112,14.531574,False,False
9,Balanced Strategy,85.274132,6.011554,False,False
9,Resilience Strategy,85.50458,5.781106,False,False
9,Adaptive Strategy,91.285686,0.0,True,False
9,Precautionary Strategy,87.828259,3.457426,False,False
10,Efficiency Strategy,62.089764,13.35307,False,False
10,Balanced Strategy,67.155151,8.287683,False,False
10,Resilience Strategy,70.809906,4.632928,False,False
10,Adaptive Strategy,75.442834,0.0,True,False
10,Precautionary Strategy,73.295998,2.146837,False,False
11,Efficiency Strategy,65.887453,14.357638,False,False
11,Balanced Strategy,70.651617,9.593474,False,False
11,Resilience Strategy,54.609944,25.635147,False,True
11,Adaptive Strategy,80.245091,0.0,True,False
11,Precautionary Strategy,66.46479,13.780301,False,False
12,Efficiency Strategy,87.202393,14.325879,False,False
12,Balanced Strategy,101.528272,0.0,True,False
12,Resilience Strategy,85.46473,16.063542,False,False
12,Adaptive Strategy,92.403719,9.124552,False,False
12,Precautionary Strategy,91.664148,9.864124,False,False
13,Efficiency Strategy,80.248663,12.155015,False,False
13,Balanced Strategy,86.88688,5.516797,False,False
13,Resilience Strategy,80.384129,12.019548,False,False
13,Adaptive Strategy,92.403677,0.0,True,False
13,Precautionary Strategy,83.533209,8.870468,False,False
14,Efficiency Strategy,81.514359,22.620827,False,False
14,Balanced Strategy,97.355982,6.779204,False,False
14,Resilience Strategy,89.644638,14.490548,False,False
14,Adaptive Strategy,104.135186,0.0,True,False
14,Precautionary Strategy,89.4128,14.722386,False,False
15,Efficiency Strategy,68.019867,14.546128,False,False
15,Balanced Strategy,82.565995,0.0,True,False
15,Resilience Strategy,70.990313,11.575682,False,False
15,Adaptive Strategy,59.737972,22.828024,False,False
15,Precautionary Strategy,68.852899,13.713097,False,False
16,Efficiency Strategy,81.964771,17.142265,False,False
16,Balanced Strategy,94.426021,4.681015,False,False
16,Resilience Strategy,94.827734,4.279302,False,False
16,Adaptive Strategy,99.107036,0.0,True,False
16,Precautionary Strategy,95.928134,3.178901,False,False
17,Efficiency Strategy,47.953201,21.102483,False,True
