parameter,parameter_value,strategy,score,winning_strategy
demand_shift,-2.0,Efficiency Strategy,56.4,Adaptive Strategy
demand_shift,-2.0,Balanced Strategy,69.6,Adaptive Strategy
demand_shift,-2.0,Resilience Strategy,68.4,Adaptive Strategy
demand_shift,-2.0,Adaptive Strategy,80.9,Adaptive Strategy
demand_shift,-2.0,Precautionary Strategy,72.8,Adaptive Strategy
demand_shift,0.5,Efficiency Strategy,76.9,Adaptive Strategy
demand_shift,0.5,Balanced Strategy,79.1,Adaptive Strategy
demand_shift,0.5,Resilience Strategy,74.65,Adaptive Strategy
demand_shift,0.5,Adaptive Strategy,80.4,Adaptive Strategy
demand_shift,0.5,Precautionary Strategy,73.8,Adaptive Strategy
demand_shift,3.0,Efficiency Strategy,109.4,Adaptive Strategy
demand_shift,3.0,Balanced Strategy,116.6,Adaptive Strategy
demand_shift,3.0,Resilience Strategy,100.9,Adaptive Strategy
demand_shift,3.0,Adaptive Strategy,127.9,Adaptive Strategy
demand_shift,3.0,Precautionary Strategy,98.8,Adaptive Strategy
cost_pressure,0.0,Efficiency Strategy,81.7,Adaptive Strategy
cost_pressure,0.0,Balanced Strategy,82.1,Adaptive Strategy
cost_pressure,0.0,Resilience Strategy,77.05,Adaptive Strategy
cost_pressure,0.0,Adaptive Strategy,83.1,Adaptive Strategy
cost_pressure,0.0,Precautionary Strategy,75.6,Adaptive Strategy
cost_pressure,0.3,Efficiency Strategy,76.9,Adaptive Strategy
cost_pressure,0.3,Balanced Strategy,79.1,Adaptive Strategy
cost_pressure,0.3,Resilience Strategy,74.65,Adaptive Strategy
cost_pressure,0.3,Adaptive Strategy,80.4,Adaptive Strategy
cost_pressure,0.3,Precautionary Strategy,73.8,Adaptive Strategy
cost_pressure,1.5,Efficiency Strategy,57.7,Adaptive Strategy
cost_pressure,1.5,Balanced Strategy,67.1,Adaptive Strategy
cost_pressure,1.5,Resilience Strategy,65.05,Adaptive Strategy
cost_pressure,1.5,Adaptive Strategy,69.6,Adaptive Strategy
cost_pressure,1.5,Precautionary Strategy,66.6,Adaptive Strategy
disruption_pressure,0.0,Efficiency Strategy,79.7,Adaptive Strategy
disruption_pressure,0.0,Balanced Strategy,79.5,Adaptive Strategy
disruption_pressure,0.0,Resilience Strategy,72.85,Adaptive Strategy
disruption_pressure,0.0,Adaptive Strategy,79.8,Adaptive Strategy
disruption_pressure,0.0,Precautionary Strategy,71.2,Adaptive Strategy
disruption_pressure,0.2,Efficiency Strategy,76.9,Adaptive Strategy
disruption_pressure,0.2,Balanced Strategy,79.1,Adaptive Strategy
disruption_pressure,0.2,Resilience Strategy,74.65,Adaptive Strategy
disruption_pressure,0.2,Adaptive Strategy,80.4,Adaptive Strategy
disruption_pressure,0.2,Precautionary Strategy,73.8,Adaptive Strategy
disruption_pressure,1.8,Efficiency Strategy,54.5,Precautionary Strategy
disruption_pressure,1.8,Balanced Strategy,75.9,Precautionary Strategy
disruption_pressure,1.8,Resilience Strategy,89.05,Precautionary Strategy
disruption_pressure,1.8,Adaptive Strategy,85.2,Precautionary Strategy
disruption_pressure,1.8,Precautionary Strategy,94.6,Precautionary Strategy
