scenario,trial,strategy,value,best_trial_value,regret,downside_breach,scenario_probability
Baseline,1,Efficiency Strategy,76.467729,82.505951,6.038222,False,0.3
Baseline,1,Balanced Strategy,78.581289,82.505951,3.924662,False,0.3
Baseline,1,Resilience Strategy,74.316052,82.505951,8.189899,False,0.3
Baseline,1,Adaptive Strategy,82.505951,82.505951,0.0,False,0.3
Baseline,1,Precautionary Strategy,73.417235,82.505951,9.088716,False,0.3
Baseline,2,Efficiency Strategy,72.40794,80.096955,7.689015,False,0.3
Baseline,2,Balanced Strategy,80.096955,80.096955,0.0,False,0.3
Baseline,2,Resilience Strategy,73.847988,80.096955,6.248967,False,0.3
Baseline,2,Adaptive Strategy,79.749124,80.096955,0.347831,False,0.3
Baseline,2,Precautionary Strategy,74.147654,80.096955,5.949301,False,0.3
Baseline,3,Efficiency Strategy,77.596893,82.590676,4.993783,False,0.3
Baseline,3,Balanced Strategy,82.590676,82.590676,0.0,False,0.3
Baseline,3,Resilience Strategy,76.61991,82.590676,5.970767,False,0.3
Baseline,3,Adaptive Strategy,80.731522,82.590676,1.859155,False,0.3
Baseline,3,Precautionary Strategy,71.585035,82.590676,11.005641,False,0.3
Baseline,4,Efficiency Strategy,73.856013,80.524971,6.668958,False,0.3
Baseline,4,Balanced Strategy,79.839027,80.524971,0.685944,False,0.3
Baseline,4,Resilience Strategy,78.583242,80.524971,1.941728,False,0.3
Baseline,4,Adaptive Strategy,80.524971,80.524971,0.0,False,0.3
Baseline,4,Precautionary Strategy,73.48103,80.524971,7.04394,False,0.3
Baseline,5,Efficiency Strategy,78.495329,81.871088,3.375759,False,0.3
Baseline,5,Balanced Strategy,74.739364,81.871088,7.131723,False,0.3
Baseline,5,Resilience Strategy,73.713168,81.871088,8.15792,False,0.3
Baseline,5,Adaptive Strategy,81.871088,81.871088,0.0,False,0.3
Baseline,5,Precautionary Strategy,76.420213,81.871088,5.450874,False,0.3
Baseline,6,Efficiency Strategy,76.178111,82.74698,6.568869,False,0.3
Baseline,6,Balanced Strategy,80.2298,82.74698,2.517181,False,0.3
Baseline,6,Resilience Strategy,75.39464,82.74698,7.35234,False,0.3
Baseline,6,Adaptive Strategy,82.74698,82.74698,0.0,False,0.3
Baseline,6,Precautionary Strategy,70.460333,82.74698,12.286647,False,0.3
Baseline,7,Efficiency Strategy,78.604752,78.604752,0.0,False,0.3
Baseline,7,Balanced Strategy,74.556439,78.604752,4.048313,False,0.3
Baseline,7,Resilience Strategy,66.790164,78.604752,11.814588,False,0.3
Baseline,7,Adaptive Strategy,78.579328,78.604752,0.025424,False,0.3
Baseline,7,Precautionary Strategy,71.05257,78.604752,7.552182,False,0.3
Baseline,8,Efficiency Strategy,79.528037,82.942084,3.414048,False,0.3
Baseline,8,Balanced Strategy,81.092798,82.942084,1.849287,False,0.3
Baseline,8,Resilience Strategy,70.992776,82.942084,11.949308,False,0.3
Baseline,8,Adaptive Strategy,82.942084,82.942084,0.0,False,0.3
Baseline,8,Precautionary Strategy,70.793392,82.942084,12.148693,False,0.3
Baseline,9,Efficiency Strategy,76.641268,82.855909,6.21464,False,0.3
Baseline,9,Balanced Strategy,78.218301,82.855909,4.637608,False,0.3
Baseline,9,Resilience Strategy,74.99326,82.855909,7.862649,False,0.3
Baseline,9,Adaptive Strategy,82.855909,82.855909,0.0,False,0.3
Baseline,9,Precautionary Strategy,75.715241,82.855909,7.140668,False,0.3
Baseline,10,Efficiency Strategy,77.949655,81.049844,3.100189,False,0.3
Baseline,10,Balanced Strategy,81.049844,81.049844,0.0,False,0.3
Baseline,10,Resilience Strategy,76.085476,81.049844,4.964368,False,0.3
Baseline,10,Adaptive Strategy,78.519044,81.049844,2.530801,False,0.3
Baseline,10,Precautionary Strategy,71.647887,81.049844,9.401958,False,0.3
Baseline,11,Efficiency Strategy,75.490095,87.407263,11.917167,False,0.3
Baseline,11,Balanced Strategy,80.597979,87.407263,6.809283,False,0.3
Baseline,11,Resilience Strategy,73.899653,87.407263,13.507609,False,0.3
Baseline,11,Adaptive Strategy,87.407263,87.407263,0.0,False,0.3
Baseline,11,Precautionary Strategy,71.342122,87.407263,16.06514,False,0.3
Baseline,12,Efficiency Strategy,73.603376,81.917078,8.313702,False,0.3
Baseline,12,Balanced Strategy,81.405421,81.917078,0.511658,False,0.3
Baseline,12,Resilience Strategy,78.91555,81.917078,3.001528,False,0.3
Baseline,12,Adaptive Strategy,81.917078,81.917078,0.0,False,0.3
Baseline,12,Precautionary Strategy,76.307452,81.917078,5.609626,False,0.3
Baseline,13,Efficiency Strategy,81.179035,81.179035,0.0,False,0.3
Baseline,13,Balanced Strategy,78.817918,81.179035,2.361117,False,0.3
Baseline,13,Resilience Strategy,70.381123,81.179035,10.797912,False,0.3
Baseline,13,Adaptive Strategy,78.80377,81.179035,2.375265,False,0.3
Baseline,13,Precautionary Strategy,76.658687,81.179035,4.520348,False,0.3
Baseline,14,Efficiency Strategy,72.568965,79.453224,6.884259,False,0.3
Baseline,14,Balanced Strategy,79.200594,79.453224,0.25263,False,0.3
Baseline,14,Resilience Strategy,75.409712,79.453224,4.043511,False,0.3
Baseline,14,Adaptive Strategy,79.453224,79.453224,0.0,False,0.3
Baseline,14,Precautionary Strategy,75.970896,79.453224,3.482328,False,0.3
Baseline,15,Efficiency Strategy,78.642339,86.064226,7.421886,False,0.3
Baseline,15,Balanced Strategy,86.064226,86.064226,0.0,False,0.3
Baseline,15,Resilience Strategy,76.509903,86.064226,9.554322,False,0.3
Baseline,15,Adaptive Strategy,78.57179,86.064226,7.492436,False,0.3
Baseline,15,Precautionary Strategy,72.114607,86.064226,13.949618,False,0.3
Baseline,16,Efficiency Strategy,74.405257,81.956821,7.551564,False,0.3
Baseline,16,Balanced Strategy,81.956821,81.956821,0.0,False,0.3
Baseline,16,Resilience Strategy,72.949501,81.956821,9.007319,False,0.3
Baseline,16,Adaptive Strategy,80.189218,81.956821,1.767603,False,0.3
Baseline,16,Precautionary Strategy,76.047908,81.956821,5.908913,False,0.3
Baseline,17,Efficiency Strategy,74.729611,78.219026,3.489415,False,0.3
Baseline,17,Balanced Strategy,78.219026,78.219026,0.0,False,0.3
Baseline,17,Resilience Strategy,69.126141,78.219026,9.092885,False,0.3
Baseline,17,Adaptive Strategy,77.152564,78.219026,1.066462,False,0.3
Baseline,17,Precautionary Strategy,72.096791,78.219026,6.122235,False,0.3
Baseline,18,Efficiency Strategy,78.147283,82.68048,4.533197,False,0.3
