"resilience_weight","winning_strategy","winning_score"
0.05,"Adaptive Strategy",0.781613059752747
0.06,"Adaptive Strategy",0.78243818543956
0.07,"Adaptive Strategy",0.783263311126374
0.08,"Adaptive Strategy",0.784088436813187
0.09,"Adaptive Strategy",0.7849135625
0.1,"Adaptive Strategy",0.785738688186813
0.11,"Adaptive Strategy",0.786563813873626
0.12,"Adaptive Strategy",0.78738893956044
0.13,"Adaptive Strategy",0.788214065247253
0.14,"Adaptive Strategy",0.789039190934066
0.15,"Adaptive Strategy",0.789864316620879
0.16,"Adaptive Strategy",0.790689442307692
0.17,"Adaptive Strategy",0.791514567994505
0.18,"Adaptive Strategy",0.792339693681319
0.19,"Adaptive Strategy",0.793164819368132
0.2,"Adaptive Strategy",0.793989945054945
0.21,"Adaptive Strategy",0.794815070741758
0.22,"Adaptive Strategy",0.795640196428572
0.23,"Adaptive Strategy",0.796465322115385
0.24,"Adaptive Strategy",0.797290447802198
0.25,"Adaptive Strategy",0.798115573489011
0.26,"Adaptive Strategy",0.798940699175824
0.27,"Adaptive Strategy",0.799765824862637
0.28,"Adaptive Strategy",0.800590950549451
0.29,"Adaptive Strategy",0.801416076236264
0.3,"Adaptive Strategy",0.802241201923077
0.31,"Adaptive Strategy",0.80306632760989
0.32,"Adaptive Strategy",0.803891453296703
0.33,"Adaptive Strategy",0.804716578983517
0.34,"Adaptive Strategy",0.80554170467033
0.35,"Adaptive Strategy",0.806366830357143
0.36,"Adaptive Strategy",0.807191956043956
0.37,"Adaptive Strategy",0.808017081730769
0.38,"Adaptive Strategy",0.808842207417582
0.39,"Adaptive Strategy",0.809667333104396
0.4,"Adaptive Strategy",0.810492458791209
0.41,"Adaptive Strategy",0.811317584478022
0.42,"Adaptive Strategy",0.812142710164835
0.43,"Adaptive Strategy",0.812967835851648
0.44,"Adaptive Strategy",0.813792961538462
0.45,"Adaptive Strategy",0.814618087225275
0.46,"Adaptive Strategy",0.815443212912088
0.47,"Adaptive Strategy",0.816268338598901
0.48,"Adaptive Strategy",0.817093464285714
0.49,"Adaptive Strategy",0.817918589972528
0.5,"Adaptive Strategy",0.818743715659341
0.51,"Adaptive Strategy",0.819568841346154
0.52,"Adaptive Strategy",0.820393967032967
0.53,"Adaptive Strategy",0.82121909271978
0.54,"Adaptive Strategy",0.822044218406593
0.55,"Adaptive Strategy",0.822869344093407
0.56,"Adaptive Strategy",0.82369446978022
0.57,"Adaptive Strategy",0.824519595467033
0.58,"Precautionary Strategy",0.826445907692308
0.59,"Precautionary Strategy",0.828435290842491
0.6,"Precautionary Strategy",0.830424673992674
