"period","aspiration","selected_value","search_length","feedback"
1,0.7,NA,NA,NA
2,0.710504989037317,0.782821373903051,1,0.787541575310977
3,0.711787824972383,0.716771159290306,1,0.721195288496197
4,0.713021109385737,0.766181745230994,3,0.722065195083667
5,0.696471335532377,0.646532934645465,6,0.575106327274403
6,0.725939608865415,0.94,2,0.942040279974359
7,0.730498479388876,0.750739727925552,2,0.763930196560928
8,0.723435543674474,0.707979950071622,2,0.671640681768855
9,0.721951773795307,0.675740068044806,3,0.711070794681421
10,0.731132669069453,0.821198794997411,1,0.798459234413191
11,0.73342959804021,0.713843224920574,1,0.750273743825758
12,0.708013276484237,0.518493693750225,10,0.521626918407104
13,0.732066447212349,0.856679025141645,1,0.908456365885169
14,0.750463100961711,0.884114682371787,3,0.885371895123699
15,0.751335900049448,0.734487539502445,1,0.757736426692852
16,0.747638612973789,0.742026252052552,1,0.72052517441896
17,0.747813966693672,0.693050878646038,3,0.749099893972812
18,0.742287228798332,0.676582109379269,4,0.701757817565837
19,0.727930959530402,0.62270950990596,6,0.622651651565578
20,0.754526859302118,0.94,2,0.949563457628037
21,0.760953245788237,0.791934300864963,3,0.808080080019774
22,0.773053469409939,0.899713296377897,1,0.861788442635754
23,0.777456438525996,0.790053728914641,2,0.809744878710416
24,0.79649235974692,0.925023879607017,1,0.936089115367027
25,0.781455088529498,0.69696599317774,7,0.671181766268406
26,0.776314221499136,0.729709554834061,6,0.738614529943145
27,0.775086835276157,0.774382286612506,4,0.766086002974313
28,0.78354747386054,0.844302662787627,1,0.845592156812685
29,0.789775061288129,0.817317566581203,1,0.835444035757115
30,0.772213726032108,0.605826046836616,8,0.64343060082129
31,0.769185398938244,0.755361165256956,1,0.746977666916572
32,0.768407214483535,0.749886708670273,1,0.762700528482335
33,0.747745493098763,0.58921767116872,9,0.596226202943771
34,0.740751057403897,0.705674417984311,6,0.689458528974876
35,0.748774709177841,0.800035656400284,1,0.807614822186761
36,0.757747679870932,0.821723014620827,1,0.823549464953598
37,0.758663015879272,0.779533719250499,1,0.765375479940432
38,0.751256492717272,0.71929435489465,4,0.696941989529274
39,0.753555752563801,0.690504371551562,5,0.770416991438349
40,0.752756914308297,0.783964174326433,3,0.746898767101272
41,0.758976681194482,0.818778769368948,2,0.8045883050265
42,0.760147411726917,0.84,7,0.768732768964775
43,0.756965958717646,0.766427019053444,8,0.733635303316324
44,0.767156316379217,0.873058865406299,4,0.84188560589741
45,0.77396341595878,0.861759106999775,2,0.823882146208904
46,0.782731667416182,0.810996869226641,3,0.8470321781038
47,0.793209264617293,0.870727977514521,1,0.870044977425439
48,0.79625975718065,0.794928271432778,1,0.818630035978601
49,0.801807064517322,0.812551087236912,1,0.842487318319581
50,0.792124726205153,0.750067728113531,6,0.721120911915915
51,0.800577469754817,0.828179787347965,3,0.862564255785689
52,0.776909587160877,0.601716399278571,10,0.603345114805312
53,0.780183065357135,0.86004772684728,2,0.804188572129699
54,0.76912879081958,0.707669231134401,5,0.688064110877511
55,0.770121551568637,0.806709953786457,1,0.777401797061717
56,0.741381377204289,0.582876385093089,10,0.530620098532404
57,0.744775123209178,0.774424234468475,1,0.769662593911702
58,0.747426044624552,0.80084116079885,2,0.766866135003957
59,0.74249103955036,0.7355745559959,1,0.706301002339616
60,0.755419998880535,0.820148747672765,1,0.850232367301822
61,0.756406996693487,0.800377408229086,5,0.763644980655134
62,0.776621646167445,0.94,2,0.924862408976475
63,0.781083701765124,0.766891126619541,1,0.813805442814771
64,0.786299573254049,0.810559221905333,2,0.824549297506158
65,0.773619924454226,0.704313506037904,7,0.680635833255526
66,0.759429994650331,0.633139546418008,9,0.655370509421766
67,0.754721882418596,0.760472549003287,2,0.720195726052539
68,0.759938621394942,0.831191898157806,3,0.798194707221479
69,0.757189062940153,0.738647729557118,6,0.737025634271701
70,0.760143831952142,0.747636626546723,3,0.781812138040063
71,0.75109449676546,0.740914619363373,6,0.684732705396457
72,0.749034732828142,0.747155678027274,1,0.733929797287809
73,0.770408191991394,0.92,3,0.927146892521913
74,0.772643447508057,0.780167543753923,2,0.789035321296915
75,0.775062098101645,0.726515361610775,3,0.792798869121295
76,0.776117111253467,0.796929543243874,8,0.783853874366828
77,0.782329746735255,0.851989778887387,2,0.827889073601701
78,0.780805073091026,0.752839825045802,6,0.769624133033341
79,0.777983877364177,0.741151017245714,4,0.757295108700624
80,0.76181841064099,0.652352873125242,8,0.643271654670954
