"cycle","domain","aspiration","search_cost_per_option","optimizing_option","optimizing_adjusted_utility","optimizing_net_value","satisficing_option","satisficing_adjusted_utility","satisficing_net_value","satisficing_found","search_length","opportunity_loss","net_value_advantage","review_flag"
1,"Public Policy",0.803010361590423,0.0135841860435903,7,0.895353842098309,0.732343609575226,7,0.895353842098309,0.800264539793177,TRUE,7,0,0.0679209302179515,"acceptable"
2,"Financial Risk",0.667658327943645,0.00612293098587543,3,0.858846132271376,0.785370960440871,2,0.724062316853435,0.711816454881684,TRUE,2,0.134783815417941,-0.0735545055591866,"acceptable"
3,"Infrastructure",0.592634406208526,0.0157708491757512,6,0.739977311857211,0.550727121748197,1,0.627340044726211,0.61156919555046,TRUE,1,0.112637267131,0.0608420738022631,"acceptable"
4,"Financial Risk",0.660871483972296,0.0222042769682594,2,0.798974481046209,0.532523157427097,2,0.798974481046209,0.75456592710969,TRUE,2,0,0.222042769682594,"acceptable"
5,"Public Policy",0.698633402779233,0.0230529870628379,7,0.780458304692915,0.50382245993886,7,0.780458304692915,0.619087395253049,TRUE,7,0,0.11526493531419,"acceptable"
6,"Healthcare",0.780021365948487,0.0182838880480267,8,0.823809745196227,0.604403088619906,8,0.823809745196227,0.677538640812013,TRUE,8,0,0.0731355521921069,"acceptable"
7,"Financial Risk",0.569094911452849,0.0113417581655085,10,0.764897175772872,0.62879607778677,3,0.697295114450841,0.663269839954315,TRUE,3,0.0676020613220316,0.034473762167545,"acceptable"
8,"Organizational Strategy",0.600586312131491,0.034479782411363,11,0.662822476739668,0.249065087803313,4,0.64087537837047,0.502956248725018,TRUE,4,0.0219470983691985,0.253891160921705,"acceptable"
9,"AI Governance",0.625547808012925,0.0219446666771546,3,0.790994350415399,0.527658350289544,3,0.790994350415399,0.725160350383935,TRUE,3,0,0.197502000094391,"acceptable"
10,"Financial Risk",0.814575049164705,0.0243159232405014,4,0.685594685158572,0.393803606272555,4,0.685594685158572,0.588330992196566,FALSE,4,0,0.194527385924011,"review"
11,"AI Governance",0.787401805196423,0.00823961219051853,9,0.628682866763936,0.529807520477714,9,0.628682866763936,0.554526357049269,FALSE,9,0,0.0247188365715556,"review"
12,"Financial Risk",0.631244660913944,0.0189698727545328,1,0.790027763782863,0.562389290728468,1,0.790027763782863,0.77105789102833,TRUE,1,0,0.208668600299861,"acceptable"
13,"Public Policy",0.791890621185303,0.0185041202348657,10,0.621038841184944,0.398989398366556,10,0.621038841184944,0.435997638836287,FALSE,10,0,0.0370082404697314,"review"
