"period","aspiration","selected_value","search_length","feedback","aspiration_change"
1,0.7,NA,NA,NA,NA
2,0.710504989037317,0.782821373903051,1,0.787541575310977,0.010504989037317
3,0.711787824972383,0.716771159290306,1,0.721195288496197,0.00128283593506606
4,0.713021109385737,0.766181745230994,3,0.722065195083667,0.00123328441335402
5,0.696471335532377,0.646532934645465,6,0.575106327274403,-0.0165497738533601
6,0.725939608865415,0.94,2,0.942040279974359,0.029468273333038
7,0.730498479388876,0.750739727925552,2,0.763930196560928,0.00455887052346104
8,0.723435543674474,0.707979950071622,2,0.671640681768855,-0.00706293571440197
9,0.721951773795307,0.675740068044806,3,0.711070794681421,-0.0014837698791671
10,0.731132669069453,0.821198794997411,1,0.798459234413191,0.00918089527414601
11,0.73342959804021,0.713843224920574,1,0.750273743825758,0.00229692897075706
12,0.708013276484237,0.518493693750225,10,0.521626918407104,-0.0254163215559731
13,0.732066447212349,0.856679025141645,1,0.908456365885169,0.0240531707281121
14,0.750463100961711,0.884114682371787,3,0.885371895123699,0.0183966537493619
15,0.751335900049448,0.734487539502445,1,0.757736426692852,0.000872799087736964
16,0.747638612973789,0.742026252052552,1,0.72052517441896,-0.00369728707565897
17,0.747813966693672,0.693050878646038,3,0.749099893972812,0.000175353719882976
18,0.742287228798332,0.676582109379269,4,0.701757817565837,-0.00552673789533997
19,0.727930959530402,0.62270950990596,6,0.622651651565578,-0.01435626926793
20,0.754526859302118,0.94,2,0.949563457628037,0.0265958997717161
21,0.760953245788237,0.791934300864963,3,0.808080080019774,0.00642638648611893
22,0.773053469409939,0.899713296377897,1,0.861788442635754,0.012100223621702
23,0.777456438525996,0.790053728914641,2,0.809744878710416,0.00440296911605698
24,0.79649235974692,0.925023879607017,1,0.936089115367027,0.019035921220924
25,0.781455088529498,0.69696599317774,7,0.671181766268406,-0.015037271217422
26,0.776314221499136,0.729709554834061,6,0.738614529943145,-0.00514086703036198
27,0.775086835276157,0.774382286612506,4,0.766086002974313,-0.00122738622297902
28,0.78354747386054,0.844302662787627,1,0.845592156812685,0.00846063858438306
