"cycle","domain","aspiration","satisficing_option","optimizing_option","search_length","opportunity_loss","review_flag"
192,"Financial Risk",0.550724873293657,1,4,1,0.334369293304466,"review"
362,"Financial Risk",0.590992376101203,1,7,1,0.325120458066289,"review"
456,"Financial Risk",0.6186892731837,2,3,2,0.30837724117634,"review"
285,"AI Governance",0.605965754261706,1,9,1,0.26771583528824,"review"
66,"Organizational Strategy",0.560044673124794,1,11,1,0.260727716670582,"review"
413,"Public Policy",0.587348590230104,4,8,4,0.256430856464846,"review"
217,"Healthcare",0.579681798808742,1,4,1,0.253773356259544,"review"
54,"AI Governance",0.561104929896537,1,12,1,0.252693297361779,"review"
227,"Public Policy",0.551193871328142,2,3,2,0.251348727402784,"review"
33,"AI Governance",0.573698568211403,1,5,1,0.251259969199812,"review"
408,"Public Policy",0.673845373003278,4,8,4,0.246520880510462,"review"
167,"Organizational Strategy",0.580569076295942,6,9,6,0.230127370491679,"review"
163,"Organizational Strategy",0.631766738335136,1,7,1,0.226990117292791,"review"
453,"Healthcare",0.598675499786623,1,6,1,0.225537761158614,"review"
36,"Organizational Strategy",0.620894851582125,2,7,2,0.220411250842165,"review"
304,"Organizational Strategy",0.578423278930131,1,4,1,0.217569933550459,"review"
29,"Financial Risk",0.565756915577222,1,6,1,0.215147863034061,"review"
294,"Infrastructure",0.595342483075801,2,4,2,0.210174646308914,"review"
354,"Organizational Strategy",0.559731230535545,4,6,4,0.208456583899842,"review"
329,"Healthcare",0.714205039425287,1,7,1,0.207500621483749,"review"
194,"Public Policy",0.672756086201407,1,2,1,0.204707602085817,"review"
321,"Organizational Strategy",0.694135669996031,3,5,3,0.203714088473129,"review"
121,"Organizational Strategy",0.654905553811695,2,4,2,0.203668856333151,"review"
174,"Infrastructure",0.597647536769509,1,7,1,0.201917964442359,"review"
355,"AI Governance",0.6580929346825,4,6,4,0.198879021211948,"acceptable"
53,"Healthcare",0.613340673209168,6,8,6,0.198857264420659,"acceptable"
452,"Public Policy",0.593257304534782,6,10,6,0.19647932689876,"acceptable"
236,"AI Governance",0.600104558307212,2,3,2,0.196453630527782,"acceptable"
221,"Infrastructure",0.681503341360949,6,10,6,0.195743121885786,"acceptable"
377,"Organizational Strategy",0.552256460427307,1,8,1,0.194640523213579,"acceptable"
333,"Organizational Strategy",0.695903964883182,5,10,5,0.193280372204062,"acceptable"
223,"Organizational Strategy",0.648184060459025,1,12,1,0.189766685977684,"acceptable"
97,"Public Policy",0.556913667048793,1,4,1,0.182399806414903,"acceptable"
315,"Public Policy",0.6997486493201,3,12,3,0.178332849357055,"acceptable"
436,"Public Policy",0.636522781236563,1,11,1,0.174054342801833,"acceptable"
184,"Healthcare",0.587277238587849,2,9,2,0.167489380218586,"acceptable"
475,"Organizational Strategy",0.686189174612518,1,7,1,0.167472457504622,"acceptable"
386,"Public Policy",0.594138421448879,2,10,2,0.164772965410032,"acceptable"
149,"Financial Risk",0.584815730866976,1,7,1,0.16134764177871,"acceptable"
193,"Healthcare",0.558860114573035,5,11,5,0.157588500625341,"acceptable"
231,"AI Governance",0.602350141580682,1,9,1,0.157052155867238,"acceptable"
439,"Organizational Strategy",0.559454522747546,3,8,3,0.153768041811719,"acceptable"
338,"Healthcare",0.764097310674842,8,12,8,0.152069378413379,"acceptable"
282,"AI Governance",0.578929423966911,2,8,2,0.151701500877116,"acceptable"
130,"Financial Risk",0.552459237251896,1,12,1,0.150263495315027,"acceptable"
60,"AI Governance",0.650748175813351,2,10,2,0.148718381198245,"acceptable"
47,"Infrastructure",0.65852801674977,1,3,1,0.148109665743073,"acceptable"
56,"Financial Risk",0.619917851374485,4,11,4,0.14809570131758,"acceptable"
446,"Financial Risk",0.598468340504915,5,6,5,0.146505556911991,"acceptable"
363,"AI Governance",0.66173353408929,1,7,1,0.140538301845722,"acceptable"
491,"AI Governance",0.588307415999006,1,6,1,0.140472059248719,"acceptable"
133,"Organizational Strategy",0.552694602035917,1,8,1,0.139167328226076,"acceptable"
88,"Healthcare",0.70285412671743,5,9,5,0.136932171886526,"acceptable"
342,"Organizational Strategy",0.562931706474628,4,10,4,0.136908395669066,"acceptable"
258,"Organizational Strategy",0.682390283404384,2,6,2,0.136717920272579,"acceptable"
2,"Financial Risk",0.667658327943645,2,3,2,0.134783815417941,"acceptable"
327,"Public Policy",0.591219887314364,7,11,7,0.134467654575426,"acceptable"
297,"Financial Risk",0.688230254179798,5,12,5,0.134459329608608,"acceptable"
220,"Financial Risk",0.556284773608204,2,10,2,0.134390707334436,"acceptable"
61,"Organizational Strategy",0.732467608782463,5,7,5,0.133704714022893,"acceptable"
118,"AI Governance",0.685246469003614,4,8,4,0.133320250869339,"acceptable"
447,"Organizational Strategy",0.613963196298573,1,11,1,0.130708108082856,"acceptable"
270,"AI Governance",0.672401354985777,4,5,4,0.130584709809864,"acceptable"
