"cycle","domain","search_length","search_cost_per_option","search_cost_total","satisficing_net_value"
468,"Organizational Strategy",12,0.0342865160992369,0.411438193190843,0.266988539494744
104,"Public Policy",11,0.0329399031726643,0.362338934899307,0.342728316091251
375,"AI Governance",12,0.0290479009016417,0.3485748108197,0.336078859326419
32,"AI Governance",12,0.0275535724591464,0.330642869509757,0.374789742527127
181,"AI Governance",10,0.0329877554508857,0.329877554508857,0.466535909382926
122,"Organizational Strategy",10,0.0327786932745948,0.327786932745948,0.396252996324903
347,"Organizational Strategy",10,0.0305459786462598,0.305459786462598,0.436782637054361
165,"Infrastructure",12,0.0248408488044515,0.298090185653418,0.501219481378794
482,"Infrastructure",11,0.0270583508163691,0.29764185898006,0.468062409046323
434,"Healthcare",11,0.0266281609027646,0.292909769930411,0.452546039019284
313,"Healthcare",11,0.0265479577193037,0.292027534912341,0.473807349961877
120,"Organizational Strategy",10,0.0291779253212735,0.291779253212735,0.269690564313549
492,"Healthcare",10,0.0286302585992962,0.286302585992962,0.596286835996434
264,"Infrastructure",9,0.0313906101766042,0.282515491589438,0.50507305656469
164,"AI Governance",10,0.027546803841833,0.27546803841833,0.392100110615745
138,"AI Governance",11,0.0247704489482567,0.272474938430824,0.436637832935722
334,"Infrastructure",11,0.0238703823112883,0.262574205424171,0.379620893562539
101,"Healthcare",8,0.032489446180407,0.259915569443256,0.3253713569508
399,"Public Policy",9,0.0285333232372068,0.256799909134861,0.471278100520865
401,"Organizational Strategy",10,0.0255033255624585,0.255033255624585,0.390325934796954
371,"AI Governance",11,0.0227514446526766,0.250265891179443,0.439991690276981
357,"Financial Risk",8,0.0305904256994836,0.244723405595869,0.519114437729757
292,"AI Governance",12,0.0203684857301414,0.244421828761697,0.454530159198091
300,"Infrastructure",10,0.0244145288015716,0.244145288015716,0.561408244955316
225,"AI Governance",10,0.0243458516499959,0.243458516499959,0.690928420037962
199,"Public Policy",7,0.0346365615865216,0.242455931105651,0.455542471359627
345,"Infrastructure",7,0.0345279900892638,0.241695930624847,0.499220858243263
350,"AI Governance",11,0.0219585611205548,0.241544172326103,0.417898845327568
252,"Organizational Strategy",10,0.0239332778565586,0.239332778565586,0.405443609471902
213,"AI Governance",7,0.0338326451927424,0.236828516349197,0.527293603340976
31,"AI Governance",7,0.0332329812436365,0.232630868705456,0.514387326191645
86,"AI Governance",8,0.0289223329373635,0.231378663498908,0.466015055484144
228,"AI Governance",11,0.0209655398130417,0.230620937943459,0.45848220052717
191,"Public Policy",12,0.0190130132017657,0.228156158421188,0.539456339436254
352,"Financial Risk",8,0.0284804591606371,0.227843673285097,0.508594394814729
398,"AI Governance",7,0.0325113151385449,0.227579205969814,0.433117097041985
370,"Organizational Strategy",11,0.0206644078646787,0.227308486511466,0.371769196801532
483,"Organizational Strategy",9,0.0251090463553555,0.2259814171982,0.46934071819743
208,"Organizational Strategy",9,0.0248006266006269,0.223205639405642,0.595479616545134
