"cycle","domain","aspiration","search_cost_per_option","optimizing_option","optimizing_adjusted_utility","optimizing_net_value","satisficing_option","satisficing_adjusted_utility","satisficing_net_value","satisficing_found","search_length","opportunity_loss","net_value_advantage","review_flag"
10,"Financial Risk",0.814575049164705,0.0243159232405014,4,0.685594685158572,0.393803606272555,4,0.685594685158572,0.588330992196566,FALSE,4,0,0.194527385924011,"review"
11,"AI Governance",0.787401805196423,0.00823961219051853,9,0.628682866763936,0.529807520477714,9,0.628682866763936,0.554526357049269,FALSE,9,0,0.0247188365715556,"review"
13,"Public Policy",0.791890621185303,0.0185041202348657,10,0.621038841184944,0.398989398366556,10,0.621038841184944,0.435997638836287,FALSE,10,0,0.0370082404697314,"review"
16,"Infrastructure",0.679046708764508,0.0280655667372048,4,0.663384182914447,0.32659738206799,4,0.663384182914447,0.551121915965628,FALSE,4,0,0.224524533897638,"review"
20,"AI Governance",0.797727938271128,0.0172526364261284,5,0.796641604638785,0.589609967525243,5,0.796641604638785,0.710378422508142,FALSE,5,0,0.120768454982899,"review"
25,"Organizational Strategy",0.759770896993577,0.0110940051102079,7,0.750154110069311,0.617026048746816,7,0.750154110069311,0.672496074297856,FALSE,7,0,0.0554700255510397,"review"
27,"Public Policy",0.819832338718697,0.00534314748132601,3,0.735028966562077,0.670911196786164,3,0.735028966562077,0.718999524118099,FALSE,3,0,0.0480883273319341,"review"
28,"Financial Risk",0.738003474827856,0.006357725081034,10,0.599977911460637,0.523685210488229,10,0.599977911460637,0.536400660650297,FALSE,10,0,0.012715450162068,"review"
29,"Financial Risk",0.565756915577222,0.0187433127895929,6,0.796546053774711,0.571626300299596,1,0.581398190740649,0.562654877951057,TRUE,1,0.215147863034061,-0.00897142234853954,"review"
32,"AI Governance",0.748698499484453,0.0275535724591464,12,0.705432612036884,0.374789742527127,12,0.705432612036884,0.374789742527127,FALSE,12,0,0,"review"
33,"AI Governance",0.573698568211403,0.013108625872992,5,0.890974642736837,0.733671132260934,1,0.639714673537025,0.626606047664033,TRUE,1,0.251259969199812,-0.1070650845969,"review"
36,"Organizational Strategy",0.620894851582125,0.015487980179023,7,0.852386102471501,0.666530340323225,2,0.631974851629335,0.600998891271289,TRUE,2,0.220411250842165,-0.0655314490519352,"review"
37,"Healthcare",0.799079027553089,0.022063363736961,2,0.743090495587108,0.478330130743575,2,0.743090495587108,0.698963768113186,FALSE,2,0,0.22063363736961,"review"
38,"Organizational Strategy",0.600940156457946,0.0139122416079044,11,0.671181458473088,0.504234559178235,11,0.671181458473088,0.518146800786139,TRUE,11,0,0.0139122416079045,"review"
40,"Financial Risk",0.618723641333636,0.00860318610444665,1,0.588088113023082,0.484849879769722,1,0.588088113023082,0.579484926918636,FALSE,1,0,0.0946350471489131,"review"
43,"Healthcare",0.792182972056325,0.00819046346936375,11,0.68644774556113,0.588162183928765,11,0.68644774556113,0.596352647398129,FALSE,11,0,0.00819046346936381,"review"
45,"Public Policy",0.704999341268558,0.00989844351541251,6,0.603785068458878,0.485003746273928,6,0.603785068458878,0.544394407366403,FALSE,6,0,0.059390661092475,"review"
54,"AI Governance",0.561104929896537,0.0264008261146955,12,0.854225594159216,0.537415680782869,1,0.601532296797436,0.575131470682741,TRUE,1,0.252693297361779,0.0377157898998716,"review"
57,"Infrastructure",0.692985720804427,0.0105301173171028,5,0.683935171834407,0.557573764029173,5,0.683935171834407,0.631284585248893,FALSE,5,0,0.07371082121972,"review"
62,"Organizational Strategy",0.727607308123261,0.0261119751282968,7,0.706117804994153,0.392774103454592,7,0.706117804994153,0.523333979096076,FALSE,7,0,0.130559875641484,"review"
66,"Organizational Strategy",0.560044673124794,0.0338590759108774,11,0.86587163280406,0.459562721873531,1,0.605143916133478,0.5712848402226,TRUE,1,0.260727716670582,0.111722118349069,"review"
69,"Organizational Strategy",0.686676255366765,0.0219529455737211,5,0.670575469314341,0.407140122429688,5,0.670575469314341,0.560810741445736,FALSE,5,0,0.153670619016048,"review"
74,"Financial Risk",0.651166915558279,0.0131987985898741,4,0.640594393875233,0.482208810796744,4,0.640594393875233,0.587799199515736,FALSE,4,0,0.105590388718993,"review"
76,"Organizational Strategy",0.802367994575761,0.0128153722779825,11,0.841240692340106,0.687456225004315,11,0.841240692340106,0.700271597282298,TRUE,11,0,0.0128153722779826,"review"
79,"Public Policy",0.777267836199608,0.0293754699942656,1,0.646762283889489,0.294256643958302,1,0.646762283889489,0.617386813895223,FALSE,1,0,0.323130169936922,"review"
80,"AI Governance",0.66648871876765,0.014977291256655,6,0.604477104559654,0.424749609479793,6,0.604477104559654,0.514613357019723,FALSE,6,0,0.08986374753993,"review"
86,"AI Governance",0.795202624946833,0.0289223329373635,8,0.697393718983052,0.35032572373469,8,0.697393718983052,0.466015055484144,FALSE,8,0,0.115689331749454,"review"
87,"Infrastructure",0.812010140651837,0.0156307594384998,3,0.69274496775174,0.505175854489742,3,0.69274496775174,0.64585268943624,FALSE,3,0,0.140676834946498,"review"
99,"Infrastructure",0.722657867621165,0.0060902800085023,10,0.703419602367727,0.630336242265699,10,0.703419602367727,0.642516802282704,FALSE,10,0,0.0121805600170046,"review"
101,"Healthcare",0.796142443011049,0.032489446180407,8,0.585286926394056,0.195413572229172,8,0.585286926394056,0.3253713569508,FALSE,8,0,0.129957784721628,"review"
104,"Public Policy",0.713708326229826,0.0329399031726643,11,0.705067250990559,0.309788412918587,11,0.705067250990559,0.342728316091251,FALSE,11,0,0.0329399031726644,"review"
105,"Public Policy",0.75431783803273,0.00611785139190033,4,0.738022791436797,0.664608574733993,4,0.738022791436797,0.713551385869196,FALSE,4,0,0.0489428111352027,"review"
120,"Organizational Strategy",0.609221307036933,0.0291779253212735,10,0.561469817526284,0.211334713671002,10,0.561469817526284,0.269690564313549,FALSE,10,0,0.0583558506425471,"review"
121,"Organizational Strategy",0.654905553811695,0.00666797292884439,4,0.893009006443394,0.812993331297262,2,0.689340150110243,0.676004204252554,TRUE,2,0.203668856333151,-0.136989127044708,"review"
126,"Public Policy",0.814768566270359,0.0284186622034758,3,0.70277113680392,0.36174719036221,3,0.70277113680392,0.617515150193493,FALSE,3,0,0.255767959831282,"review"
128,"Financial Risk",0.753456403671298,0.0212579878862016,5,0.752333891534764,0.497238036900345,5,0.752333891534764,0.646043952103756,FALSE,5,0,0.148805915203411,"review"
136,"Infrastructure",0.790575632026885,0.0214278059708886,1,0.687612122490767,0.430478450840104,1,0.687612122490767,0.666184316519879,FALSE,1,0,0.235705865679774,"review"
138,"AI Governance",0.770961521142162,0.0247704489482567,11,0.709112771366546,0.411867383987466,11,0.709112771366546,0.436637832935722,FALSE,11,0,0.0247704489482567,"review"
139,"AI Governance",0.806022174803074,0.0225045581045561,8,0.687948017185922,0.417893319931249,8,0.687948017185922,0.507911552349473,FALSE,8,0,0.0900182324182243,"review"
142,"Healthcare",0.779751780808438,0.0196803595242091,6,0.765669480769927,0.529505166479418,6,0.765669480769927,0.647587323624672,FALSE,6,0,0.118082157145254,"review"
