cycle,domain,aspiration,search_cost_per_option,optimizing_option,optimizing_adjusted_utility,optimizing_net_value,satisficing_option,satisficing_adjusted_utility,satisficing_net_value,satisficing_found,search_length,opportunity_loss,net_value_advantage,review_flag
1,Organizational Strategy,0.580059,0.027247,12,0.816534,0.489576,2,0.601381,0.546888,True,2,0.215154,0.057311,review
2,Financial Risk,0.778823,0.023112,10,0.73728,0.459938,10,0.73728,0.506162,False,10,0.0,0.046224,review
15,Healthcare,0.601797,0.024948,11,0.889997,0.590622,3,0.667466,0.592622,True,3,0.222531,0.002,review
17,AI Governance,0.710772,0.033501,10,0.609343,0.207329,10,0.609343,0.274331,False,10,0.0,0.067002,review
23,Infrastructure,0.764092,0.007792,11,0.774571,0.681072,11,0.774571,0.688864,True,11,0.0,0.007792,review
25,Public Policy,0.818358,0.008554,10,0.690486,0.587843,10,0.690486,0.60495,False,10,0.0,0.017107,review
28,Organizational Strategy,0.805202,0.029407,12,0.848358,0.495475,12,0.848358,0.495475,True,12,0.0,0.0,review
32,Financial Risk,0.819305,0.027403,9,0.731129,0.402293,9,0.731129,0.484502,False,9,0.0,0.082209,review
39,Healthcare,0.805262,0.006301,3,0.685351,0.60974,3,0.685351,0.666448,False,3,0.0,0.056709,review
41,Organizational Strategy,0.804105,0.017688,6,0.695328,0.483071,6,0.695328,0.589199,False,6,0.0,0.106129,review
42,Financial Risk,0.798815,0.015531,1,0.778927,0.592558,1,0.778927,0.763396,False,1,0.0,0.170838,review
44,Public Policy,0.78277,0.022273,4,0.69215,0.424877,4,0.69215,0.603059,False,4,0.0,0.178182,review
45,Organizational Strategy,0.80872,0.024363,1,0.719454,0.427094,1,0.719454,0.695091,False,1,0.0,0.267996,review
47,Infrastructure,0.817566,0.020722,6,0.737745,0.489081,6,0.737745,0.613413,False,6,0.0,0.124332,review
55,Financial Risk,0.71601,0.018048,5,0.663677,0.447098,5,0.663677,0.573436,False,5,0.0,0.126338,review
59,Healthcare,0.727858,0.026619,3,0.708627,0.3892,3,0.708627,0.62877,False,3,0.0,0.239571,review
65,Financial Risk,0.758217,0.026147,5,0.666979,0.353215,5,0.666979,0.536244,False,5,0.0,0.183029,review
68,Financial Risk,0.744022,0.005423,2,0.732232,0.667162,2,0.732232,0.721387,False,2,0.0,0.054225,review
70,Public Policy,0.797656,0.008366,11,0.697229,0.596834,11,0.697229,0.6052,False,11,0.0,0.008366,review
77,AI Governance,0.817387,0.033717,9,0.727549,0.322943,9,0.727549,0.424095,False,9,0.0,0.101151,review
81,Public Policy,0.758485,0.013861,4,0.75668,0.590344,4,0.75668,0.701235,False,4,0.0,0.110891,review
82,Public Policy,0.745708,0.021786,2,0.736393,0.474959,2,0.736393,0.69282,False,2,0.0,0.217861,review
87,Organizational Strategy,0.715809,0.01092,6,0.694881,0.563844,6,0.694881,0.629363,False,6,0.0,0.065518,review
88,AI Governance,0.709345,0.025163,2,0.696318,0.394358,2,0.696318,0.645991,False,2,0.0,0.251633,review
91,AI Governance,0.816082,0.025379,1,0.727662,0.423115,1,0.727662,0.702283,False,1,0.0,0.279169,review
94,Financial Risk,0.770619,0.034645,7,0.751864,0.336128,7,0.751864,0.509351,False,7,0.0,0.173223,review
96,Public Policy,0.692637,0.034331,12,0.631515,0.219544,12,0.631515,0.219544,False,12,0.0,0.0,review
102,Healthcare,0.760583,0.022541,3,0.699073,0.428578,3,0.699073,0.631449,False,3,0.0,0.202871,review
105,Organizational Strategy,0.64696,0.021336,7,0.921199,0.665172,1,0.704678,0.683342,True,1,0.216521,0.01817,review
108,AI Governance,0.769903,0.016352,11,0.74028,0.544062,11,0.74028,0.560414,False,11,0.0,0.016352,review
110,Infrastructure,0.593444,0.00725,8,0.59265,0.505649,8,0.59265,0.53465,False,8,0.0,0.029,review
112,Financial Risk,0.768209,0.01742,7,0.693995,0.484959,7,0.693995,0.572057,False,7,0.0,0.087098,review
113,Public Policy,0.664311,0.034648,3,0.894553,0.478772,1,0.674995,0.640347,True,1,0.219558,0.161575,review
114,Public Policy,0.762151,0.031024,10,0.638727,0.266435,10,0.638727,0.328484,False,10,0.0,0.062049,review
116,Financial Risk,0.740251,0.013219,2,0.601602,0.44297,2,0.601602,0.575163,False,2,0.0,0.132193,review
117,Public Policy,0.78345,0.034014,11,0.774959,0.366789,11,0.774959,0.400804,False,11,0.0,0.034014,review
119,Healthcare,0.642655,0.026401,12,0.648017,0.331204,12,0.648017,0.331204,True,12,0.0,0.0,review
