"forecast_id","domain","base_rate","evidence_strength","confidence_profile","outcome","true_probability","forecast_probability","brier_component","log_loss_component","probability_bin"
1,"Strategic Forecast",0.549033818440512,0.222328378935345,"well calibrated",0,0.771362197375856,0.771362197375856,0.59499963954051,1.47561617548294,"[0.7,0.8)"
2,"Model Governance Forecast",0.592253735545091,-0.0180957044940442,"overconfident",0,0.574158031051047,0.600113341918914,0.360136023149087,0.916574126823995,"[0.6,0.7)"
3,"Strategic Forecast",0.679498826700728,0.103371353121474,"underconfident",0,0.782870179822203,0.683865616884432,0.467672181956724,1.15158789276997,"[0.6,0.7)"
4,"Strategic Forecast",0.660124418116175,0.168076057801954,"well calibrated",1,0.828200475918129,0.828200475918129,0.0295150764747574,0.188500033229288,"[0.8,0.9)"
5,"Risk Forecast",0.731204477977008,-0.22561290091835,"overconfident",1,0.505591577058658,0.507548629029188,0.242508352771032,0.67816275190954,"[0.5,0.6)"
6,"Policy Forecast",0.720585733326152,-0.0481552465353161,"well calibrated",1,0.672430486790836,0.672430486790836,0.107301785984089,0.396856538215497,"[0.6,0.7)"
7,"Risk Forecast",0.45164421168156,0.0203306506155059,"well calibrated",1,0.471974862297066,0.471974862297066,0.278810546046203,0.750829552660031,"[0.4,0.5)"
8,"Risk Forecast",0.229005838534795,0.116483125835657,"overconfident",0,0.345488964370452,0.29141010190011,0.0849198474894325,0.344478342791406,"[0.2,0.3)"
9,"Strategic Forecast",0.837220361945219,-0.177057450637221,"well calibrated",1,0.660162911307998,0.660162911307998,0.115489246850656,0.415268639105342,"[0.6,0.7)"
10,"Policy Forecast",0.401466713193804,-0.0674003229942173,"overconfident",0,0.334066390199587,0.275989626769442,0.0761702740843359,0.322949559032544,"[0.2,0.3)"
11,"Strategic Forecast",0.674621158360969,-0.240006485953927,"well calibrated",0,0.434614672407042,0.434614672407042,0.188889913471481,0.57024778454936,"[0.4,0.5)"
12,"Model Governance Forecast",0.169012731022667,-0.24537212238647,"overconfident",0,0.02,0.01,1e-04,0.0100503358535015,"[0,0.1)"
13,"Policy Forecast",0.771554920205381,0.148000523331575,"well calibrated",1,0.919555443536956,0.919555443536956,0.0064713266645359,0.0838649392711271,"[0.9,1]"
14,"Risk Forecast",0.70065896413289,0.0908374689752236,"overconfident",1,0.791496433108114,0.893520184695954,0.0113379510671839,0.112586354043578,"[0.8,0.9)"
15,"Risk Forecast",0.57200322774006,-0.236951917875558,"overconfident",0,0.335051309864502,0.277319268317078,0.0769059765799196,0.324787742619235,"[0.2,0.3)"
16,"Operational Forecast",0.576974517747294,-0.0977462878217921,"well calibrated",1,0.479228229925502,0.479228229925502,0.271203236506526,0.735578323387044,"[0.4,0.5)"
17,"Strategic Forecast",0.776365399034694,0.224170249071904,"overconfident",1,0.98,0.99,1e-04,0.0100503358535015,"[0.9,1]"
18,"Strategic Forecast",0.714684396423399,-0.108440744690597,"well calibrated",1,0.606243651732802,0.606243651732802,0.155044061800719,0.500473308153843,"[0.6,0.7)"
19,"Operational Forecast",0.474200771737378,-0.0706485080299899,"well calibrated",1,0.403552263707388,0.403552263707388,0.355749902128581,0.907449273743192,"[0.4,0.5)"
20,"Policy Forecast",0.646372975048143,0.000757430563680828,"well calibrated",0,0.647130405611824,0.647130405611824,0.418777761867324,1.04165671129826,"[0.6,0.7)"
21,"Model Governance Forecast",0.685716872243211,-0.117346800630912,"overconfident",1,0.568370071612298,0.592299596676603,0.166219618870061,0.523742696643898,"[0.5,0.6)"
22,"Model Governance Forecast",0.303807738609612,0.205145643092692,"well calibrated",0,0.508953381702304,0.508953381702304,0.259033544746211,0.711216210078177,"[0.5,0.6)"
23,"Model Governance Forecast",0.635935708554462,-0.159712116234004,"underconfident",0,0.476223592320457,0.484545335008297,0.234784181678303,0.662705923152435,"[0.4,0.5)"
24,"Policy Forecast",0.528467119229026,0.0580896646715701,"well calibrated",1,0.586556783900596,0.586556783900596,0.170935292938618,0.533485797330355,"[0.5,0.6)"
25,"Risk Forecast",0.768622529192362,-0.226044872426428,"overconfident",1,0.542577656765934,0.557479836634011,0.195824094985462,0.584328943774548,"[0.5,0.6)"
26,"Policy Forecast",0.121126870880835,0.150023192749359,"well calibrated",0,0.271150063630193,0.271150063630193,0.073522357006658,0.316287416764299,"[0.2,0.3)"
27,"Operational Forecast",0.609248424030375,0.0807958717923611,"underconfident",1,0.690044295822736,0.623528792284778,0.141730570238558,0.472360336444232,"[0.6,0.7)"
28,"Risk Forecast",0.619374230701942,0.117673259228468,"well calibrated",1,0.73704748993041,0.73704748993041,0.0691440225518979,0.305102952056809,"[0.7,0.8)"
29,"Strategic Forecast",0.528280096617527,-0.228246151818894,"overconfident",0,0.300033944798633,0.230045825478155,0.0529210818199258,0.261424279513406,"[0.2,0.3)"
30,"Risk Forecast",0.725276684644632,0.0202311361208558,"well calibrated",1,0.745507820765488,0.745507820765488,0.0647662692915311,0.293689654201267,"[0.7,0.8)"
31,"Operational Forecast",0.321106455661356,0.0627910598414019,"overconfident",0,0.383897515502758,0.343261645928724,0.117828557565696,0.420469583240213,"[0.3,0.4)"
32,"Risk Forecast",0.242939859360922,0.124464118620381,"underconfident",1,0.367403977981303,0.413812585687847,0.343615684697968,0.882342099227837,"[0.4,0.5)"
33,"Policy Forecast",0.226821639249101,-0.175232130102813,"well calibrated",0,0.051589509146288,0.051589509146288,0.00266147745395494,0.0529678632180382,"[0,0.1)"
34,"Policy Forecast",0.112254031957127,-0.0275024062721059,"underconfident",0,0.0847516256850213,0.230088556695264,0.0529407439221096,0.261479779443562,"[0.2,0.3)"
35,"Risk Forecast",0.185997783287894,0.0996458816807717,"overconfident",0,0.285643664968666,0.210618947707699,0.0443603411334983,0.23650611871146,"[0.2,0.3)"
36,"Model Governance Forecast",0.147925693739671,-0.197112280642614,"well calibrated",0,0.02,0.02,4e-04,0.0202027073175195,"[0,0.1)"
37,"Policy Forecast",0.704083368147258,0.135953232063912,"overconfident",1,0.84003660021117,0.959049410285079,0.00167695079799981,0.041812682709495,"[0.9,1]"
38,"Model Governance Forecast",0.199621627072338,0.0679714662255719,"well calibrated",0,0.26759309329791,0.26759309329791,0.0716060635807439,0.311419035994009,"[0.2,0.3)"
39,"Policy Forecast",0.167672056960873,0.0461515417555347,"well calibrated",0,0.213823598716408,0.213823598716408,0.0457205313680355,0.240574082619392,"[0.2,0.3)"
40,"Risk Forecast",0.769520612747874,-0.244315579533577,"well calibrated",0,0.525205033214297,0.525205033214297,0.275840326913631,0.744872217006892,"[0.5,0.6)"
41,"Risk Forecast",0.650383988476824,-0.240001669269986,"underconfident",1,0.410382319206838,0.441748507484444,0.311644728895845,0.817014546431062,"[0.4,0.5)"
42,"Operational Forecast",0.476041818875819,-0.168992378981784,"well calibrated",0,0.307049439894035,0.307049439894035,0.0942793585392409,0.366796624175619,"[0.3,0.4)"
43,"Strategic Forecast",0.307456301432103,-0.215840733260848,"well calibrated",0,0.0916155681712553,0.0916155681712553,0.00839341233134192,0.096087606910862,"[0,0.1)"
44,"Model Governance Forecast",0.180922085850034,-0.0118697679135948,"underconfident",1,0.169052317936439,0.284884006658685,0.511390883932535,1.25567317573815,"[0.2,0.3)"
45,"Risk Forecast",0.735269711841829,0.241609826451167,"well calibrated",1,0.976879538292997,0.976879538292997,0.000534555749545012,0.023391932091791,"[0.9,1]"
46,"Risk Forecast",0.633093788835686,-0.0319292930653319,"overconfident",1,0.601164495770354,0.636572069289978,0.132079860820169,0.45165763991606,"[0.6,0.7)"
47,"Risk Forecast",0.703938695450779,0.224023338872939,"overconfident",1,0.927962034323718,0.99,1e-04,0.0100503358535015,"[0.9,1]"
48,"Policy Forecast",0.110884305695072,-0.0814446551958099,"well calibrated",0,0.0294396504992619,0.0294396504992619,0.000866693021518693,0.0298816943798403,"[0,0.1)"
49,"Operational Forecast",0.290219651674852,-0.00383836741093546,"overconfident",1,0.286381284263916,0.211614733756287,0.62155132803017,1.55298795119387,"[0.2,0.3)"
50,"Model Governance Forecast",0.40183348589344,0.169284179690294,"overconfident",1,0.571117665583733,0.59600884853804,0.16320885045956,0.51749976548666,"[0.5,0.6)"
51,"Risk Forecast",0.34870406917762,0.163023556116968,"well calibrated",0,0.511727625294588,0.511727625294588,0.261865162489639,0.716881883945775,"[0.5,0.6)"
52,"Risk Forecast",0.750336297869217,-0.178801702451892,"underconfident",0,0.571534595417324,0.546497487021261,0.298659503320553,0.790754468144087,"[0.5,0.6)"
53,"Risk Forecast",0.231235801090952,-0.192273732624017,"well calibrated",0,0.0389620684669353,0.0389620684669353,0.00151804277922215,0.0397413998927097,"[0,0.1)"
54,"Model Governance Forecast",0.374723810725845,-0.24776044045575,"overconfident",0,0.126963370270096,0.01,1e-04,0.0100503358535015,"[0,0.1)"
