"probability_bin","n_forecasts","average_forecast_probability","observed_frequency","calibration_gap","absolute_calibration_gap","average_brier_score","average_log_loss","weighted_calibration_error"
"[0.5,0.6)",147,0.550440700423146,0.659863945578231,-0.109423245155085,0.109423245155085,0.233741511821031,0.660407243515483,0.013404347531498
"[0.9,1]",92,0.962737148855781,0.880434782608696,0.0823023662470855,0.0823023662470855,0.111378158984263,0.441874985383262,0.00630984807894322
"[0.3,0.4)",143,0.353794999019201,0.286713286713287,0.0670817123059146,0.0670817123059146,0.207554204497775,0.606041731103638,0.00799390404978816
"[0.1,0.2)",81,0.155867983849291,0.222222222222222,-0.0663542383729314,0.0663542383729314,0.180885748417488,0.561634686773714,0.00447891109017287
"[0.4,0.5)",155,0.448647055355967,0.483870967741935,-0.0352239123859683,0.0352239123859683,0.25216510160392,0.697594223583677,0.00454975534985424
"[0.6,0.7)",145,0.644597544033602,0.675862068965517,-0.0312645249319151,0.0312645249319151,0.219171783683337,0.62997508121628,0.00377779676260641
"[0.7,0.8)",117,0.746706758650024,0.777777777777778,-0.0310710191277541,0.0310710191277541,0.173472422360023,0.531194133131611,0.00302942436495603
"[0,0.1)",103,0.0340075252898144,0.058252427184466,-0.0242449018946517,0.0242449018946517,0.0548257150652014,0.227294456212483,0.0020810207459576
"[0.2,0.3)",134,0.256133904149104,0.238805970149254,0.0173279339998505,0.0173279339998505,0.175949754916836,0.534256923637555,0.00193495262998331
"[0.8,0.9)",83,0.846525196282527,0.831325301204819,0.0151998950777076,0.0151998950777076,0.140198997514157,0.453394044877177,0.00105132607620811
