"case_id","domain","bias_source","hygiene_practice","true_value","evidence_quality","decision_stakes","pre_hygiene_judgment","post_hygiene_judgment","outcome","pre_error","post_error","pre_absolute_error","post_absolute_error","error_reduction","pre_brier_score","post_brier_score","brier_improvement","post_probability_bin","review_flag"
1,"Public Policy","model_overtrust","model_validation",0.250705238245428,"high","low",0.314631142767906,0.265539038773184,0,0.0639259045224781,0.0148338005277562,0.0639259045224781,0.0148338005277562,0.0490921039947219,0.0989927559994383,0.0705109811125864,0.0284817748868519,"[0.2,0.3)","acceptable"
2,"AI Governance","confirmation","structured_dissent",0.258632558956742,"low","low",0.275424581212495,0.381353846468889,0,0.0167920222557524,0.122721287512147,0.0167920222557524,0.122721287512147,-0.105929265256394,0.0758586999360781,0.145430756216617,-0.069572056280539,"[0.3,0.4)","review"
3,"Public Policy","availability","structured_dissent",0.213395577855408,"medium","high",0.234506870017975,0.233496664452309,0,0.0211112921625664,0.0201010865969004,0.0211112921625664,0.0201010865969004,0.00101020556566594,0.0549934720856272,0.054520692310354,0.000472779775273213,"[0.2,0.3)","acceptable"
4,"Public Policy","availability","independent_estimates",0.656358681432903,"medium","high",0.815794635421305,0.6697502608477,1,0.159435953988402,0.0133915794147966,0.159435953988402,0.0133915794147966,0.146044374573606,0.0339316163395698,0.109064890210163,-0.0751332738705927,"[0.6,0.7)","acceptable"
5,"Healthcare","groupthink","calibration_review",0.358740461431444,"low","medium",0.258390650184492,0.584624057156887,0,-0.100349811246951,0.225883595725444,0.100349811246951,0.225883595725444,-0.125533784478492,0.0667657281027646,0.34178528820658,-0.275019560103815,"[0.5,0.6)","review"
6,"Infrastructure","availability","premortem",0.404527856223285,"low","medium",0.432324331521234,0.318167503992972,0,0.0277964752979484,-0.0863603522303132,0.0277964752979484,0.0863603522303132,-0.0585638769323648,0.186904327625282,0.101230560597118,0.0856737670281637,"[0.3,0.4)","review"
7,"Healthcare","model_overtrust","decision_record",0.69774530287832,"low","high",0.926493875534752,0.822313850829958,1,0.228748572656432,0.124568547951638,0.228748572656432,0.124568547951638,0.104180024704794,0.00540315033390056,0.0315723676068784,-0.0261692172729779,"[0.8,0.9)","review"
8,"Healthcare","availability","decision_record",0.324951113387942,"high","low",0.401329091134615,0.323634121972511,0,0.0763779777466722,-0.00131699141543146,0.0763779777466722,0.00131699141543146,0.0750609863312407,0.161065039390936,0.104739044904918,0.0563259944860177,"[0.3,0.4)","acceptable"
9,"Public Policy","overconfidence","decision_record",0.709470612928271,"low","low",0.706178552971893,0.660544862691372,0,-0.00329205995637849,-0.0489257502368996,0.00329205995637849,0.0489257502368996,-0.0456336902805211,0.498688148677476,0.436319515627963,0.0623686330495133,"[0.6,0.7)","review"
10,"Infrastructure","anchoring","premortem",0.158419308252633,"high","low",0.352632886378063,0.247248125955337,0,0.194213578125431,0.0888288177027044,0.194213578125431,0.0888288177027044,0.105384760422726,0.124349952555324,0.0611316357884262,0.0632183167668979,"[0.2,0.3)","acceptable"
11,"Public Policy","anchoring","calibration_review",0.636880460381508,"medium","medium",0.882251887867184,0.762566590742805,1,0.245371427485676,0.125686130361297,0.245371427485676,0.125686130361297,0.119685297124378,0.0138646179108423,0.0563746238314946,-0.0425100059206523,"[0.7,0.8)","acceptable"
12,"AI Governance","availability","structured_dissent",0.835350093618035,"high","high",0.788694152940046,0.824982199207306,1,-0.0466559406779896,-0.0103678944107298,0.0466559406779896,0.0103678944107298,0.0362880462672598,0.0446501610017248,0.0306312305943113,0.0140189304074135,"[0.8,0.9)","acceptable"
13,"Organizational Strategy","model_overtrust","model_validation",0.720999477803707,"medium","high",0.843916048443712,0.673206103955166,0,0.122916570640005,-0.0477933738485411,0.122916570640005,0.0477933738485411,0.0751231967914638,0.71219429682085,0.453206458402494,0.258987838418356,"[0.6,0.7)","review"
14,"Infrastructure","model_overtrust","base_rate_check",0.692378788068891,"high","low",0.853046788458494,0.767317123529871,1,0.160668000389603,0.0749383354609804,0.160668000389603,0.0749383354609804,0.0857296649286228,0.0215952463823627,0.0541413210024133,-0.0325460746200506,"[0.7,0.8)","acceptable"
15,"Healthcare","confirmation","base_rate_check",0.355662833340466,"medium","medium",0.377230577874735,0.402756773854449,0,0.0215677445342685,0.0470939405139825,0.0215677445342685,0.0470939405139825,-0.025526195979714,0.142302908883706,0.162213018885643,-0.0199101100019372,"[0.4,0.5)","review"
16,"Healthcare","confirmation","independent_estimates",0.607570591941476,"low","high",0.599523617599105,0.737239105124691,1,-0.00804697434237134,0.129668513183215,0.00804697434237134,0.129668513183215,-0.121621538840844,0.160381332860908,0.0690432878756732,0.0913380449852351,"[0.7,0.8)","review"
17,"Financial Risk","availability","model_validation",0.445151759311557,"medium","high",0.358233716244982,0.414612727652865,0,-0.0869180430665752,-0.0305390316586919,0.0869180430665752,0.0305390316586919,0.0563790114078833,0.12833139545469,0.171903713931749,-0.0435723184770588,"[0.4,0.5)","acceptable"
18,"Public Policy","anchoring","decision_record",0.366061100177467,"medium","medium",0.318369753322923,0.568685702333956,0,-0.0476913468545436,0.202624602156489,0.0476913468545436,0.202624602156489,-0.154933255301945,0.101359299830899,0.323403428039065,-0.222044128208165,"[0.5,0.6)","review"
19,"Public Policy","groupthink","structured_dissent",0.701917042955756,"medium","medium",0.617628660865945,0.643142352190839,1,-0.0842883820898109,-0.0587746907649175,0.0842883820898109,0.0587746907649175,0.0255136913248935,0.14620784099117,0.127347380799887,0.0188604601912829,"[0.6,0.7)","acceptable"
20,"Financial Risk","confirmation","structured_dissent",0.116655081883073,"medium","medium",0.240010965907725,0.205271985869122,0,0.123355884024652,0.0886169039860496,0.123355884024652,0.0886169039860496,0.0347389800386022,0.057605263755959,0.0421365881826532,0.0154686755733058,"[0.2,0.3)","acceptable"
21,"Infrastructure","confirmation","independent_estimates",0.411307052522898,"medium","medium",0.522917542943517,0.62983020984116,1,0.111610490420619,0.218523157318262,0.111610490420619,0.218523157318262,-0.106912666897642,0.227607670831051,0.13702567354624,0.0905819972848109,"[0.6,0.7)","review"
22,"AI Governance","availability","premortem",0.34222813565284,"medium","medium",0.230625665055449,0.318524522767523,0,-0.111602470597391,-0.0237036128853176,0.111602470597391,0.0237036128853176,0.0878988577120731,0.0531881973822683,0.101457871604278,-0.0482696742220097,"[0.3,0.4)","acceptable"
23,"AI Governance","framing","independent_estimates",0.234495687484741,"medium","medium",0.346311287781931,0.310177463787014,0,0.111815600297189,0.075681776302273,0.111815600297189,0.075681776302273,0.0361338239949163,0.119931508045179,0.0962100590413446,0.0237214490038346,"[0.3,0.4)","acceptable"
24,"AI Governance","groupthink","base_rate_check",0.592244067043066,"medium","medium",0.500780128385993,0.597372135315541,1,-0.0914639386570734,0.00512806827247536,0.0914639386570734,0.00512806827247536,0.086335870384598,0.249220480214306,0.162109197420367,0.0871112827939392,"[0.5,0.6)","acceptable"
25,"Infrastructure","anchoring","independent_estimates",0.167324534989893,"medium","low",0.0776149528040831,0.175346389248158,0,-0.0897095821858103,0.00802185425826449,0.0897095821858103,0.00802185425826449,0.0816877279275459,0.00602408089878005,0.0307463562223665,-0.0247222753235865,"[0.1,0.2)","acceptable"
26,"Healthcare","confirmation","decision_record",0.27308663316071,"high","high",0.33451649254308,0.421043167870179,0,0.0614298593823697,0.147956534709468,0.0614298593823697,0.147956534709468,-0.0865266753270986,0.111901283783325,0.177277349210155,-0.0653760654268309,"[0.4,0.5)","review"
