"case_id","domain","bias_source","hygiene_practice","evidence_quality","decision_stakes","review_flag"
7,"Healthcare","model_overtrust","decision_record","low","high","review"
16,"Healthcare","confirmation","independent_estimates","low","high","review"
33,"Financial Risk","anchoring","model_validation","low","high","review"
39,"Healthcare","anchoring","base_rate_check","low","high","review"
43,"Infrastructure","anchoring","independent_estimates","low","high","review"
53,"Healthcare","availability","base_rate_check","low","high","review"
55,"Financial Risk","confirmation","decision_record","low","high","review"
74,"Financial Risk","model_overtrust","base_rate_check","low","high","review"
87,"Organizational Strategy","availability","model_validation","low","high","review"
111,"AI Governance","confirmation","structured_dissent","low","high","review"
116,"AI Governance","overconfidence","base_rate_check","low","high","review"
134,"AI Governance","anchoring","independent_estimates","low","high","review"
164,"Infrastructure","availability","independent_estimates","low","high","review"
168,"Public Policy","model_overtrust","independent_estimates","low","high","review"
185,"Healthcare","overconfidence","model_validation","low","high","review"
198,"Public Policy","model_overtrust","structured_dissent","low","high","review"
209,"Public Policy","framing","calibration_review","low","high","review"
225,"Public Policy","availability","premortem","low","high","review"
227,"Financial Risk","confirmation","calibration_review","low","high","review"
230,"Infrastructure","framing","independent_estimates","low","high","review"
237,"Public Policy","model_overtrust","base_rate_check","low","high","review"
239,"Organizational Strategy","groupthink","premortem","low","high","review"
247,"Organizational Strategy","model_overtrust","decision_record","low","high","review"
249,"AI Governance","confirmation","model_validation","low","high","review"
269,"Financial Risk","framing","base_rate_check","low","high","review"
283,"Financial Risk","groupthink","model_validation","low","high","review"
308,"Financial Risk","availability","premortem","low","high","review"
330,"Infrastructure","availability","model_validation","low","high","review"
338,"AI Governance","anchoring","decision_record","low","high","review"
359,"Public Policy","model_overtrust","calibration_review","low","high","review"
366,"Organizational Strategy","availability","model_validation","low","high","review"
399,"Public Policy","anchoring","calibration_review","low","high","review"
400,"Organizational Strategy","anchoring","decision_record","low","high","review"
411,"Healthcare","framing","base_rate_check","low","high","review"
475,"Financial Risk","confirmation","structured_dissent","low","high","review"
499,"AI Governance","overconfidence","independent_estimates","low","high","review"
509,"Financial Risk","anchoring","decision_record","low","high","review"
514,"Financial Risk","model_overtrust","calibration_review","low","high","review"
515,"Healthcare","confirmation","independent_estimates","low","high","review"
552,"AI Governance","confirmation","calibration_review","low","high","review"
560,"Public Policy","confirmation","model_validation","low","high","review"
577,"Infrastructure","confirmation","base_rate_check","low","high","review"
588,"Infrastructure","confirmation","structured_dissent","low","high","review"
592,"Healthcare","confirmation","model_validation","low","high","review"
595,"Financial Risk","overconfidence","calibration_review","low","high","review"
598,"AI Governance","confirmation","model_validation","low","high","review"
603,"Healthcare","confirmation","premortem","low","high","review"
609,"Public Policy","groupthink","premortem","low","high","review"
620,"Infrastructure","model_overtrust","structured_dissent","low","high","review"
647,"Financial Risk","framing","premortem","low","high","review"
672,"Public Policy","groupthink","base_rate_check","low","high","review"
677,"Healthcare","model_overtrust","structured_dissent","low","high","review"
678,"Financial Risk","model_overtrust","premortem","low","high","review"
693,"Financial Risk","groupthink","structured_dissent","low","high","review"
703,"Organizational Strategy","model_overtrust","independent_estimates","low","high","review"
704,"Financial Risk","confirmation","base_rate_check","low","high","review"
706,"AI Governance","anchoring","decision_record","low","high","review"
712,"Financial Risk","confirmation","independent_estimates","low","high","review"
714,"Infrastructure","model_overtrust","independent_estimates","low","high","review"
771,"AI Governance","confirmation","independent_estimates","low","high","review"
772,"AI Governance","groupthink","independent_estimates","low","high","review"
775,"Financial Risk","framing","decision_record","low","high","review"
790,"Organizational Strategy","groupthink","calibration_review","low","high","review"
821,"Public Policy","confirmation","calibration_review","low","high","review"
838,"AI Governance","framing","decision_record","low","high","review"
864,"AI Governance","model_overtrust","calibration_review","low","high","review"
871,"AI Governance","availability","decision_record","low","high","review"
886,"Public Policy","overconfidence","model_validation","low","high","review"
