time,uptake,feedback_quality,implementation_drift,implementation_capacity,public_trust,policy_effectiveness
1,20.450319,13.060839,5.544342,22.550397,55.055344,21.669554
2,21.749024,14.366112,4.96784,22.942031,55.235347,22.576586
3,24.689051,16.033349,4.806335,23.430267,55.165543,23.953931
4,26.580183,17.375286,4.912269,23.932972,55.356743,24.936497
5,29.915315,18.064645,4.156212,24.543428,55.91345,26.46328
6,32.631792,19.542964,3.647511,25.237739,55.818867,27.842809
7,36.158938,20.313516,1.646495,25.686555,55.843292,29.573325
8,40.094431,22.029845,0.313821,26.4778,55.932931,31.586516
9,43.300973,23.438078,0.0,27.315699,56.68442,33.22563
10,46.987081,25.277381,0.0,27.891873,57.002102,34.913697
11,50.015247,27.10482,0.0,29.088185,57.320897,36.538379
12,52.55687,29.094126,0.0,29.945895,58.25553,38.07675
13,57.469457,30.781001,0.0,30.625892,59.270926,40.233702
14,59.886805,32.581626,0.0,31.374489,60.239817,41.674757
15,64.217568,35.336547,0.0,32.091332,60.79482,43.826575
16,67.398503,37.601459,0.0,32.957328,61.863807,45.640693
17,70.788721,39.417128,0.0,33.654854,62.517129,47.315193
18,75.289933,41.875509,0.0,34.648384,63.46426,49.576518
19,80.510506,44.278718,0.0,35.424328,64.717955,52.042695
20,85.218956,46.883087,0.0,36.829129,65.577923,54.474842
21,91.139592,49.117906,0.0,37.656686,66.562724,57.082324
22,97.016552,51.708986,0.0,38.26828,67.89392,59.762991
23,102.243057,53.824546,0.0,39.393452,69.631806,62.321966
24,106.139084,56.063724,0.0,40.461591,70.680809,64.386224
25,111.183248,58.037831,0.0,41.410623,72.211903,66.787539
26,116.251862,61.491248,0.0,42.904328,73.016517,69.525228
27,121.361917,64.241112,0.0,43.840514,74.693059,72.137422
28,127.257641,67.54496,0.0,45.164545,75.895304,75.116632
29,131.653984,70.398996,0.0,46.931773,77.132344,77.650139
30,137.600944,72.626571,0.0,48.389987,78.92871,80.532519
31,144.687872,75.552721,0.0,49.920956,80.662187,83.91652
32,151.065717,78.317904,0.0,51.421826,82.51818,87.065364
33,158.295463,81.700706,0.0,53.377153,84.269834,90.688941
34,164.28252,84.995991,0.0,54.976406,86.185631,93.868384
35,171.782231,88.133201,0.0,56.661231,88.065958,97.479997
36,177.821669,91.932682,0.0,58.13423,90.109998,100.778821
37,184.424681,94.880373,0.0,59.854178,91.787803,104.055054
38,191.826303,98.716941,0.0,61.707454,94.140683,107.903767
39,198.316395,102.621709,0.0,63.99141,95.563216,111.439919
40,206.258283,106.362203,0.0,66.261053,97.712649,115.488625
41,215.783873,110.173148,0.0,68.108317,99.698153,119.908789
42,223.540997,114.180124,0.0,69.689909,100.0,123.513706
43,231.257905,119.106495,0.0,71.811118,100.0,127.379246
44,238.539408,122.857176,0.0,74.042213,100.0,130.879688
45,247.915025,127.22061,0.0,76.148064,100.0,135.115616
46,256.722946,131.039946,0.0,78.686007,100.0,139.156593
47,265.770062,135.904616,0.0,80.832958,100.0,143.413285
48,274.959125,141.01105,0.0,82.991138,100.0,147.768219
49,282.85829,146.277827,0.0,85.389649,100.0,151.824332
50,293.379214,151.442723,0.0,87.854015,100.0,156.659047
51,302.129969,157.34453,0.0,90.573136,100.0,161.180877
52,311.694643,163.025432,0.0,93.238926,100.0,165.886552
53,322.871605,168.047365,0.0,96.119975,100.0,170.978296
54,331.679897,172.896256,0.0,98.976463,100.0,175.315967
55,342.206445,178.484714,0.0,101.515298,100.0,180.261936
56,352.978882,184.934282,0.0,104.504426,100.0,185.57018
57,363.553523,190.889825,0.0,107.511478,100.0,190.714344
58,374.62981,197.375544,0.0,110.582057,100.0,196.139615
59,387.370015,203.948785,0.0,113.774401,100.0,202.110105
60,397.689677,210.647869,0.0,117.552568,100.0,207.510999
