"scenario","strategy","payoff","best_payoff","regret"
"Stable Growth","Aggressive",128,128,0
"Moderate Shock","Aggressive",50,70,20
"Severe Disruption","Aggressive",-90,44,134
"Institutional Constraint","Aggressive",-20,72,92
"Stable Growth","Balanced",92,128,36
"Moderate Shock","Balanced",68,70,2
"Severe Disruption","Balanced",18,44,26
"Institutional Constraint","Balanced",42,72,30
"Stable Growth","Defensive",62,128,66
"Moderate Shock","Defensive",58,70,12
"Severe Disruption","Defensive",44,44,0
"Institutional Constraint","Defensive",54,72,18
"Stable Growth","Adaptive",88,128,40
"Moderate Shock","Adaptive",70,70,0
"Severe Disruption","Adaptive",36,44,8
"Institutional Constraint","Adaptive",72,72,0
