system,scenario,service_continuity
Centralized Platform System,baseline,0.78
Centralized Platform System,local_disruption,0.54
Centralized Platform System,common_mode_shock,0.32
Centralized Platform System,demand_surge,0.44
Centralized Platform System,delayed_response,0.38
Modular Resilient System,baseline,0.82
Modular Resilient System,local_disruption,0.78
Modular Resilient System,common_mode_shock,0.72
Modular Resilient System,demand_surge,0.76
Modular Resilient System,delayed_response,0.74
Lean Supply System,baseline,0.76
Lean Supply System,local_disruption,0.48
Lean Supply System,common_mode_shock,0.26
Lean Supply System,demand_surge,0.34
Lean Supply System,delayed_response,0.30
Diversified Buffered System,baseline,0.84
Diversified Buffered System,local_disruption,0.80
Diversified Buffered System,common_mode_shock,0.76
Diversified Buffered System,demand_surge,0.78
Diversified Buffered System,delayed_response,0.79
Fragmented Governance System,baseline,0.74
Fragmented Governance System,local_disruption,0.50
Fragmented Governance System,common_mode_shock,0.42
Fragmented Governance System,demand_surge,0.46
Fragmented Governance System,delayed_response,0.36
Adaptive Monitoring System,baseline,0.82
Adaptive Monitoring System,local_disruption,0.76
Adaptive Monitoring System,common_mode_shock,0.70
Adaptive Monitoring System,demand_surge,0.74
Adaptive Monitoring System,delayed_response,0.80
