group_id,domain,true_value,authority_concentration,consensus_pressure,shared_information,unique_information,members_per_group
1,Public Policy,0.62,0.30,0.45,8,5,7
2,Healthcare,0.78,0.22,0.25,10,4,7
3,Financial Risk,0.44,0.55,0.65,6,8,7
4,Infrastructure,0.56,0.42,0.58,7,7,7
5,AI Governance,0.69,0.48,0.70,5,9,7
6,Organizational Strategy,0.58,0.38,0.52,9,3,7
7,Public Policy,0.35,0.25,0.35,12,2,7
8,Healthcare,0.82,0.18,0.20,11,5,7
9,Financial Risk,0.61,0.60,0.62,4,10,7
10,Infrastructure,0.48,0.50,0.55,6,6,7
