"scenario","alternative","scenario_score","regret","rank"
"efficiency","Efficiency-First Option",0.6488,0.1628,6
"efficiency","Balanced Option",0.7512,0.0604000000000001,2
"efficiency","Equity-Priority Option",0.6694,0.1422,5
"efficiency","Resilience-Priority Option",0.7114,0.1002,3
"efficiency","Low-Cost Minimum Option",0.6712,0.1404,4
"efficiency","Adaptive Portfolio Option",0.8116,0,1
"equity","Efficiency-First Option",0.508,0.3322,6
"equity","Balanced Option",0.747,0.0932,3
"equity","Equity-Priority Option",0.778,0.0621999999999998,2
"equity","Resilience-Priority Option",0.7254,0.1148,4
"equity","Low-Cost Minimum Option",0.5268,0.3134,5
"equity","Adaptive Portfolio Option",0.8402,0,1
"resilience","Efficiency-First Option",0.5236,0.3338,6
"resilience","Balanced Option",0.755,0.1024,3
"resilience","Equity-Priority Option",0.7178,0.1396,4
"resilience","Resilience-Priority Option",0.7866,0.0707999999999999,2
"resilience","Low-Cost Minimum Option",0.5284,0.329,5
"resilience","Adaptive Portfolio Option",0.8574,0,1
"long_horizon","Efficiency-First Option",0.5384,0.3206,6
"long_horizon","Balanced Option",0.7582,0.1008,3
"long_horizon","Equity-Priority Option",0.7332,0.1258,4
"long_horizon","Resilience-Priority Option",0.7714,0.0876,2
"long_horizon","Low-Cost Minimum Option",0.5392,0.3198,5
"long_horizon","Adaptive Portfolio Option",0.859,0,1
