"simulation_id","alternative","score","rank"
1,"Efficiency-First Option",0.592564724191158,6
1,"Balanced Option",0.751293593961775,2
1,"Equity-Priority Option",0.700571385081231,4
1,"Resilience-Priority Option",0.733156476646306,3
1,"Low-Cost Minimum Option",0.608988121648395,5
1,"Adaptive Portfolio Option",0.822817790341673,1
2,"Efficiency-First Option",0.608592063487852,6
2,"Balanced Option",0.749135128290397,2
2,"Equity-Priority Option",0.704203284691903,3
2,"Resilience-Priority Option",0.703755623719556,4
2,"Low-Cost Minimum Option",0.63207019113811,5
2,"Adaptive Portfolio Option",0.820202492420057,1
3,"Efficiency-First Option",0.578481636908529,6
3,"Balanced Option",0.747515466202009,2
3,"Equity-Priority Option",0.704734210927826,4
3,"Resilience-Priority Option",0.724569939845846,3
3,"Low-Cost Minimum Option",0.604573199643434,5
3,"Adaptive Portfolio Option",0.837210316845042,1
4,"Efficiency-First Option",0.591282269785897,6
4,"Balanced Option",0.749477864711738,2
4,"Equity-Priority Option",0.698117904843935,4
4,"Resilience-Priority Option",0.736045855097322,3
4,"Low-Cost Minimum Option",0.611452549895189,5
4,"Adaptive Portfolio Option",0.821731506851818,1
5,"Efficiency-First Option",0.554275798652491,6
5,"Balanced Option",0.750633800605703,2
5,"Equity-Priority Option",0.719617371557241,4
5,"Resilience-Priority Option",0.749798163258698,3
5,"Low-Cost Minimum Option",0.568935337583981,5
5,"Adaptive Portfolio Option",0.833385863700872,1
6,"Efficiency-First Option",0.56754680566175,6
6,"Balanced Option",0.754038550020048,2
6,"Equity-Priority Option",0.717113105155455,4
6,"Resilience-Priority Option",0.749805239357987,3
6,"Low-Cost Minimum Option",0.575850261616395,5
6,"Adaptive Portfolio Option",0.830698506328456,1
7,"Efficiency-First Option",0.567013888027417,6
7,"Balanced Option",0.75535030391716,3
7,"Equity-Priority Option",0.712893084121701,4
7,"Resilience-Priority Option",0.756187271926742,2
7,"Low-Cost Minimum Option",0.573276652308895,5
7,"Adaptive Portfolio Option",0.836185101858315,1
8,"Efficiency-First Option",0.580381253001948,6
8,"Balanced Option",0.751847639623227,2
8,"Equity-Priority Option",0.715002517450273,4
8,"Resilience-Priority Option",0.732280182636033,3
8,"Low-Cost Minimum Option",0.595360789371175,5
8,"Adaptive Portfolio Option",0.828902967496225,1
9,"Efficiency-First Option",0.582884119570238,6
9,"Balanced Option",0.753941243053377,2
9,"Equity-Priority Option",0.702532125519751,4
9,"Resilience-Priority Option",0.748980781877164,3
9,"Low-Cost Minimum Option",0.594968806529944,5
9,"Adaptive Portfolio Option",0.837252375659899,1
10,"Efficiency-First Option",0.600212368020289,6
10,"Balanced Option",0.748795801047265,2
10,"Equity-Priority Option",0.709003423983982,3
10,"Resilience-Priority Option",0.706759522683999,4
10,"Low-Cost Minimum Option",0.624098720695595,5
10,"Adaptive Portfolio Option",0.823890151603769,1
11,"Efficiency-First Option",0.598389325238184,6
11,"Balanced Option",0.752668219850793,2
11,"Equity-Priority Option",0.687905041731821,4
