"case_id","domain","option_name","expected_utility","prospect_score","rank_divergence","review_flag"
574,"Healthcare","Cautious Alternative",11.4490593956394,-30.7813135142188,-90,"review"
244,"Organizational Strategy","Status Quo",-1.25151341484449,101.24858441714,89,"review"
344,"Organizational Strategy","Status Quo",-3.2784158148587,79.5374593575636,86,"review"
243,"Healthcare","Status Quo",3.72584455599318,121.166839291326,84,"review"
361,"Healthcare","Balanced Alternative",8.8155109663583,-53.0526839186978,-80,"review"
605,"Infrastructure","Status Quo",-2.98414596208877,69.5291012868818,78,"review"
31,"Healthcare","Status Quo",12.9810913057501,3.53845134128318,-77,"review"
296,"Organizational Strategy","High-Upside Alternative",-1.64486958727949,65.6250904162841,76,"review"
634,"Healthcare","Balanced Alternative",2.67634050191918,75.0886291735573,76,"review"
680,"Healthcare","Loss-Avoidance Alternative",2.48737091327873,69.75781645384,76,"review"
90,"Public Policy","Balanced Alternative",10.7081582103916,-40.7431977225737,-74,"review"
262,"Healthcare","High-Upside Alternative",10.4318977899599,-24.5012005607384,-74,"review"
327,"Public Policy","Balanced Alternative",2.48345196392644,71.1433864563508,74,"review"
278,"Infrastructure","High-Upside Alternative",14.2928837415898,6.14140977542155,-71,"review"
143,"Organizational Strategy","Balanced Alternative",4.04923396114263,113.409183785333,70,"review"
94,"Financial Risk","Balanced Alternative",8.94717125600592,-54.637378196191,-69,"review"
340,"AI Governance","Cautious Alternative",2.04254031924426,87.1459141608163,69,"review"
482,"Public Policy","Status Quo",-1.15985852067939,52.9828500044236,69,"review"
30,"Public Policy","Loss-Avoidance Alternative",4.83579690808366,82.5629947972595,68,"review"
282,"Healthcare","High-Upside Alternative",13.8162135473915,22.2285880537764,-68,"review"
267,"AI Governance","Cautious Alternative",-6.24807037155575,42.4840276715322,66,"review"
412,"Public Policy","Balanced Alternative",12.668198714306,3.47656348279934,-66,"review"
20,"Financial Risk","Balanced Alternative",12.5779029219397,-2.950401327411,-65,"review"
29,"Healthcare","Cautious Alternative",6.11210860088392,-114.441712857546,-64,"review"
126,"Public Policy","Balanced Alternative",14.2646971173029,18.5310194465243,-64,"review"
254,"Public Policy","Loss-Avoidance Alternative",3.62221006721216,67.1529136263634,64,"review"
306,"Infrastructure","Status Quo",13.398239871658,12.3546590920281,-64,"review"
168,"Public Policy","Status Quo",7.88351645635228,-65.6731526451571,-63,"review"
190,"Public Policy","Loss-Avoidance Alternative",-3.8611731580687,35.2609135250356,63,"review"
396,"Financial Risk","High-Upside Alternative",10.1327111933201,-24.9951079973275,-63,"review"
223,"Healthcare","High-Upside Alternative",8.09616166476595,-36.6477720289437,-62,"review"
364,"Organizational Strategy","Loss-Avoidance Alternative",11.8913291082405,-5.67074539463637,-62,"review"
374,"Organizational Strategy","Balanced Alternative",11.849527434513,-6.34572216831311,-62,"review"
367,"AI Governance","High-Upside Alternative",-4.10864981312319,42.6129042233007,61,"review"
476,"AI Governance","Cautious Alternative",8.27354216890247,-54.2734211945849,-61,"review"
414,"Healthcare","Cautious Alternative",9.17328464629464,-20.3531705893101,-60,"review"
422,"Financial Risk","Cautious Alternative",16.2407363116329,15.2122362197416,-60,"review"
424,"AI Governance","Cautious Alternative",-1.01528948985389,52.2143198542159,60,"review"
512,"AI Governance","Cautious Alternative",1.92627577345332,66.0517158399908,60,"review"
545,"AI Governance","Status Quo",4.20937182993518,89.0728256362764,60,"review"
23,"AI Governance","Balanced Alternative",4.11984833312989,77.1403173394067,59,"review"
200,"Public Policy","Cautious Alternative",5.47666601879235,80.7376848614403,59,"review"
368,"Infrastructure","Balanced Alternative",6.87847884736376,128.787010277714,59,"review"
459,"Organizational Strategy","Balanced Alternative",2.7566587443692,62.0580705846233,59,"review"
219,"Financial Risk","Status Quo",3.26560355487453,93.1754814828383,58,"review"
391,"Organizational Strategy","Cautious Alternative",10.5881798086352,-9.62920665582508,-58,"review"
505,"Financial Risk","High-Upside Alternative",-3.88336510098899,42.5296488958672,58,"review"
524,"Healthcare","Status Quo",6.90192580456541,-55.6698678737312,-58,"review"
543,"Financial Risk","Balanced Alternative",11.5151593522107,-0.222542342061317,-58,"review"
601,"Organizational Strategy","Loss-Avoidance Alternative",13.6664982508607,18.6214232800783,-58,"review"
66,"AI Governance","Cautious Alternative",14.4294743296128,22.7347238745244,-57,"review"
498,"Financial Risk","High-Upside Alternative",7.49234700709568,-57.0557125062219,-57,"review"
662,"Financial Risk","Balanced Alternative",4.15103128535722,102.189339914747,57,"review"
701,"Financial Risk","Status Quo",7.5526283701992,-56.531861698246,-57,"review"
76,"AI Governance","Status Quo",6.15971912025884,119.676869524236,56,"review"
160,"AI Governance","Balanced Alternative",9.54084590712248,-17.7165798113188,-56,"review"
186,"AI Governance","Status Quo",10.1452267889657,-15.2279323963686,-56,"review"
400,"Organizational Strategy","Balanced Alternative",8.6206229907087,-46.2005199270024,-56,"review"
707,"Healthcare","Status Quo",2.82951282574451,52.3439903464654,56,"review"
15,"Healthcare","Status Quo",9.95248495928988,-4.57371228474742,-55,"review"
48,"AI Governance","Loss-Avoidance Alternative",8.55169020771258,-31.9066530718199,-55,"review"
99,"Organizational Strategy","Balanced Alternative",9.00593106605763,-39.5161663786653,-55,"review"
73,"Financial Risk","Balanced Alternative",2.52786844938907,65.9524719449528,54,"review"
341,"Healthcare","Status Quo",-3.38120299797784,22.0306835855878,54,"review"
668,"Public Policy","Cautious Alternative",8.9873164509214,-14.0784900658137,-54,"review"
22,"AI Governance","Status Quo",10.9293884273348,-0.333081895120689,-53,"review"
159,"Financial Risk","Cautious Alternative",11.7701184192058,15.1346330427077,-53,"review"
237,"Public Policy","Cautious Alternative",0.0290768140094082,41.6023600043984,53,"review"
272,"Organizational Strategy","Cautious Alternative",10.7056882829829,8.70598717938663,-53,"review"
356,"Financial Risk","Status Quo",9.55639525803581,-14.9779486248013,-53,"review"
514,"Financial Risk","High-Upside Alternative",11.5030070241791,10.0848403112251,-53,"review"
547,"AI Governance","Loss-Avoidance Alternative",5.19759686200823,89.7918209992285,53,"review"
580,"Healthcare","Balanced Alternative",7.53140913925253,125.355320764494,53,"review"
11,"Public Policy","High-Upside Alternative",1.97867046208877,45.6494436053312,52,"review"
215,"AI Governance","High-Upside Alternative",9.96048841231319,-2.03547476054844,-52,"review"
318,"Financial Risk","Status Quo",10.6603184241333,0.247868802628354,-52,"review"
704,"Financial Risk","Status Quo",10.1664603569935,-2.83072640742622,-52,"review"
65,"Infrastructure","Status Quo",-6.80515556134251,30.8523632363751,51,"review"
131,"Organizational Strategy","Cautious Alternative",10.1641785934628,1.24659759696716,-51,"review"
343,"Healthcare","Cautious Alternative",7.38502469882825,107.357337816506,51,"review"
373,"Financial Risk","Cautious Alternative",6.93696795048844,143.563614303963,51,"review"
397,"Organizational Strategy","Cautious Alternative",9.52091266097091,-11.7959197150243,-51,"review"
398,"Infrastructure","Status Quo",11.3642062214254,21.5274624555004,-51,"review"
399,"Public Policy","Cautious Alternative",6.13014167546837,72.9367932143172,51,"review"
712,"Financial Risk","Loss-Avoidance Alternative",11.326163957161,12.5263911707672,-51,"review"
61,"Healthcare","Status Quo",9.17074391017304,-6.2613944437142,-50,"review"
71,"Infrastructure","High-Upside Alternative",-1.44718513157015,36.4262449577137,50,"review"
105,"Public Policy","Status Quo",-6.06293938757094,23.0075670608487,50,"review"
118,"Healthcare","Cautious Alternative",4.9702000548021,-76.6340059514145,-50,"review"
179,"Infrastructure","Status Quo",8.50369621504341,-35.0962962729484,-50,"review"
316,"Financial Risk","Loss-Avoidance Alternative",-1.99614166890703,41.5501975363782,50,"review"
604,"Public Policy","Status Quo",6.63885319360343,81.0077862569021,50,"review"
691,"Healthcare","Balanced Alternative",-0.409129414550641,27.3424744202098,50,"review"
9,"Public Policy","Status Quo",7.89056269861353,-34.7573908774097,-49,"review"
139,"Healthcare","Cautious Alternative",4.04581793575952,57.8333903250618,49,"review"
438,"Financial Risk","Cautious Alternative",-6.43446377533746,20.2216559092373,49,"review"
469,"Financial Risk","Status Quo",6.59142798412517,102.195518697504,49,"review"
