time,strategy,strategy_value_index,shock,adaptive_buffer,growth_rate
1,Aggressive Expansion,101.385194,-0.662816,0.248009,1.385194
2,Aggressive Expansion,102.638387,-0.795357,0.231427,1.236071
3,Aggressive Expansion,104.340738,-0.586906,0.445497,1.658591
4,Aggressive Expansion,99.228036,-6.887826,0.18782,-4.900005
5,Aggressive Expansion,100.252024,-0.99801,0.229964,1.031954
6,Aggressive Expansion,102.913499,0.53307,0.321714,2.654784
7,Aggressive Expansion,108.253156,3.020528,0.367963,5.188491
8,Aggressive Expansion,111.113978,0.508333,0.334381,2.642714
9,Aggressive Expansion,114.838732,1.133174,0.419018,3.352192
10,Aggressive Expansion,124.017851,6.030972,0.16208,7.993051
11,Aggressive Expansion,129.617319,2.446171,0.26888,4.515051
12,Aggressive Expansion,123.555694,-6.686308,0.209753,-4.676555
13,Aggressive Expansion,130.978104,4.01766,0.189679,6.007339
14,Aggressive Expansion,132.136019,-1.106896,0.190949,0.884053
15,Aggressive Expansion,139.822351,3.598703,0.418281,5.816984
16,Aggressive Expansion,135.72932,-5.120822,0.393514,-2.927308
17,Aggressive Expansion,122.196268,-12.051749,0.281131,-9.970618
18,Aggressive Expansion,121.395828,-2.791697,0.336653,-0.655044
19,Aggressive Expansion,127.81933,3.055623,0.435746,5.291369
20,Aggressive Expansion,123.392958,-5.607744,0.344753,-3.462991
21,Aggressive Expansion,125.41192,-0.396722,0.232927,1.636206
22,Aggressive Expansion,126.290638,-1.351939,0.252604,0.700665
23,Aggressive Expansion,132.515534,2.936703,0.19232,4.929024
24,Aggressive Expansion,137.363513,1.609471,0.248952,3.658423
25,Aggressive Expansion,136.256809,-2.884133,0.278458,-0.805675
26,Aggressive Expansion,134.522444,-3.299907,0.227042,-1.272865
27,Aggressive Expansion,135.890321,-1.150532,0.367371,1.01684
28,Aggressive Expansion,153.419346,10.744469,0.354922,12.899391
29,Aggressive Expansion,161.929926,3.534978,0.212289,5.547267
30,Aggressive Expansion,175.891421,6.54051,0.281426,8.621936
31,Aggressive Expansion,191.192938,6.561187,0.338224,8.699411
32,Aggressive Expansion,194.532218,-0.432526,0.379077,1.74655
33,Aggressive Expansion,207.014604,4.38332,0.233295,6.416616
34,Aggressive Expansion,197.345679,-6.640921,0.170272,-4.670649
35,Aggressive Expansion,198.481977,-1.451724,0.227515,0.575791
36,Aggressive Expansion,209.577989,3.328707,0.461731,5.590438
37,Aggressive Expansion,220.102141,2.851852,0.36974,5.021592
