case_id,domain,reference_point,sure_outcome,risky_high_outcome,risky_high_probability,loss_aversion,alpha,beta
1,Healthcare,0,120,240,0.60,2.10,0.88,0.88
2,Public Policy,100,160,300,0.55,2.30,0.86,0.90
3,Financial Risk,-100,80,180,0.70,1.70,0.92,0.84
4,Infrastructure,0,200,360,0.52,2.60,0.82,0.86
5,AI Governance,100,120,240,0.65,2.20,0.88,0.88
6,Organizational Strategy,0,160,300,0.58,1.90,0.90,0.87
7,Healthcare,-100,80,180,0.72,1.60,0.94,0.80
8,Public Policy,0,200,360,0.50,2.50,0.84,0.89
9,Financial Risk,100,120,240,0.62,2.00,0.89,0.86
10,Infrastructure,0,160,300,0.57,2.40,0.85,0.91
