"alternative","stakeholder","burden"
"Efficiency First","Residents",0.62
"Efficiency First","Service Users",0.44
"Efficiency First","Workers",0.58
"Efficiency First","Regulators",0.38
"Efficiency First","Future Stakeholders",0.55
"Balanced Public Value","Residents",0.32
"Balanced Public Value","Service Users",0.28
"Balanced Public Value","Workers",0.34
"Balanced Public Value","Regulators",0.24
"Balanced Public Value","Future Stakeholders",0.3
"Equity Protective","Residents",0.22
"Equity Protective","Service Users",0.24
"Equity Protective","Workers",0.3
"Equity Protective","Regulators",0.26
"Equity Protective","Future Stakeholders",0.24
"Participatory Adaptive","Residents",0.18
"Participatory Adaptive","Service Users",0.2
"Participatory Adaptive","Workers",0.26
"Participatory Adaptive","Regulators",0.18
"Participatory Adaptive","Future Stakeholders",0.22
"Precautionary Safeguard","Residents",0.24
"Precautionary Safeguard","Service Users",0.28
"Precautionary Safeguard","Workers",0.22
"Precautionary Safeguard","Regulators",0.2
"Precautionary Safeguard","Future Stakeholders",0.16
