"case_id","domain","gain_frame_choice","loss_frame_choice","frame_reversal","frame_sensitivity_index"
757,"Public Policy","risky option","sure option",TRUE,427.852748516515
448,"Organizational Strategy","risky option","sure option",TRUE,409.0000116691
146,"Infrastructure","risky option","sure option",TRUE,394.614245793408
285,"Financial Risk","risky option","sure option",TRUE,365.597992791055
213,"Financial Risk","risky option","sure option",TRUE,364.042709319784
113,"Healthcare","risky option","sure option",TRUE,353.316371407967
66,"AI Governance","risky option","sure option",TRUE,346.254246190345
19,"Healthcare","risky option","sure option",TRUE,340.66732866296
722,"Financial Risk","risky option","sure option",TRUE,338.033428453604
550,"Organizational Strategy","risky option","sure option",TRUE,329.413727175018
201,"Organizational Strategy","risky option","sure option",TRUE,315.995693471429
597,"AI Governance","risky option","sure option",TRUE,293.872313648439
191,"Financial Risk","risky option","sure option",TRUE,293.82904165984
375,"Healthcare","risky option","sure option",TRUE,289.42979829016
615,"Financial Risk","risky option","sure option",TRUE,286.245702731205
400,"Organizational Strategy","risky option","sure option",TRUE,286.243073137619
510,"Public Policy","risky option","sure option",TRUE,285.435151713364
254,"Healthcare","risky option","sure option",TRUE,283.935777137871
603,"Public Policy","risky option","sure option",TRUE,278.342779060053
18,"Healthcare","risky option","sure option",TRUE,273.003321876303
682,"AI Governance","risky option","sure option",TRUE,264.402178766875
739,"Organizational Strategy","risky option","sure option",TRUE,263.921541228354
81,"Organizational Strategy","risky option","sure option",TRUE,261.654534911526
584,"Public Policy","risky option","sure option",TRUE,261.404926094448
323,"AI Governance","risky option","sure option",TRUE,261.162494517153
654,"Healthcare","risky option","sure option",TRUE,260.867973392692
491,"Financial Risk","risky option","sure option",TRUE,260.679092436876
44,"Public Policy","risky option","sure option",TRUE,260.650137965412
608,"Organizational Strategy","risky option","sure option",TRUE,259.553861028658
315,"Public Policy","risky option","sure option",TRUE,258.464872256789
751,"Healthcare","risky option","sure option",TRUE,257.571271863927
511,"Infrastructure","risky option","sure option",TRUE,241.562250685869
716,"Organizational Strategy","risky option","sure option",TRUE,240.675032262802
152,"Public Policy","risky option","sure option",TRUE,238.920285552477
647,"Financial Risk","sure option","risky option",TRUE,238.728222192899
283,"Financial Risk","risky option","sure option",TRUE,237.486012083625
187,"Financial Risk","risky option","sure option",TRUE,236.936993804495
278,"Infrastructure","risky option","sure option",TRUE,236.869421028722
539,"Organizational Strategy","risky option","sure option",TRUE,236.463872848623
284,"Healthcare","risky option","sure option",TRUE,234.298399516556
317,"Organizational Strategy","risky option","sure option",TRUE,233.909456970784
490,"Infrastructure","risky option","sure option",TRUE,232.75250070799
753,"Financial Risk","risky option","sure option",TRUE,232.39833308376
731,"Healthcare","risky option","sure option",TRUE,228.022263628104
130,"Organizational Strategy","risky option","sure option",TRUE,226.100138924689
699,"AI Governance","risky option","sure option",TRUE,223.52409036587
84,"Healthcare","risky option","sure option",TRUE,220.879395915952
789,"Organizational Strategy","risky option","sure option",TRUE,216.337092977647
466,"Healthcare","risky option","sure option",TRUE,213.781384678852
207,"Infrastructure","risky option","sure option",TRUE,213.763316035644
522,"Organizational Strategy","sure option","risky option",TRUE,212.3741499218
747,"Financial Risk","sure option","risky option",TRUE,209.64799310725
677,"Public Policy","risky option","sure option",TRUE,208.791675034113
266,"Infrastructure","risky option","sure option",TRUE,208.487661154733
218,"Organizational Strategy","risky option","sure option",TRUE,207.31289297152
614,"Organizational Strategy","risky option","sure option",TRUE,206.383845484072
248,"Public Policy","risky option","sure option",TRUE,205.960944617686
449,"AI Governance","risky option","sure option",TRUE,204.586422426011
622,"Healthcare","risky option","sure option",TRUE,203.59953288695
619,"Infrastructure","risky option","sure option",TRUE,201.47935116027
480,"Financial Risk","risky option","sure option",TRUE,198.292172258083
470,"Public Policy","risky option","sure option",TRUE,197.885601679962
436,"Infrastructure","risky option","sure option",TRUE,196.079043887283
50,"Public Policy","risky option","sure option",TRUE,195.864477921203
345,"Organizational Strategy","risky option","sure option",TRUE,195.847500506114
579,"Healthcare","sure option","risky option",TRUE,195.764982226378
273,"Infrastructure","sure option","risky option",TRUE,194.983796004579
525,"Healthcare","risky option","sure option",TRUE,194.968941164918
537,"Organizational Strategy","risky option","sure option",TRUE,193.767815581594
607,"Financial Risk","risky option","sure option",TRUE,193.574303523514
374,"Organizational Strategy","risky option","sure option",TRUE,191.249471519261
36,"Infrastructure","risky option","sure option",TRUE,190.277774098833
114,"AI Governance","risky option","sure option",TRUE,190.252124467922
526,"Infrastructure","risky option","sure option",TRUE,187.540703336613
421,"Infrastructure","sure option","risky option",TRUE,184.666996690963
475,"Financial Risk","risky option","sure option",TRUE,184.366070868471
656,"Infrastructure","risky option","sure option",TRUE,182.32034257276
163,"Public Policy","risky option","sure option",TRUE,181.117876566282
733,"Financial Risk","risky option","sure option",TRUE,178.469453508657
456,"Public Policy","risky option","sure option",TRUE,178.256240529583
250,"AI Governance","risky option","sure option",TRUE,177.549130975717
359,"Healthcare","risky option","sure option",TRUE,177.39754188725
270,"Organizational Strategy","sure option","risky option",TRUE,176.240395294792
540,"Financial Risk","risky option","sure option",TRUE,175.971314730392
413,"Healthcare","risky option","sure option",TRUE,175.770648130888
797,"Healthcare","risky option","sure option",TRUE,175.717448411521
303,"Public Policy","risky option","sure option",TRUE,174.739592177558
721,"Organizational Strategy","risky option","sure option",TRUE,174.048274887686
