"changed_dimension","delta","alternative","revised_score","top_alternative_after_change"
"framing_quality",-0.05,"Adaptive Learning Strategy",0.86821052631579,"Evidence-First Pilot"
"framing_quality",-0.05,"Evidence-First Pilot",0.877157894736842,"Evidence-First Pilot"
"framing_quality",-0.05,"Resilient Strategy",0.823789473684211,"Evidence-First Pilot"
"framing_quality",-0.05,"Balanced Adaptation",0.760105263157895,"Evidence-First Pilot"
"framing_quality",-0.05,"Fast Expansion",0.419263157894737,"Evidence-First Pilot"
"framing_quality",0.05,"Adaptive Learning Strategy",0.869333333333333,"Evidence-First Pilot"
"framing_quality",0.05,"Evidence-First Pilot",0.881238095238095,"Evidence-First Pilot"
"framing_quality",0.05,"Resilient Strategy",0.817714285714286,"Evidence-First Pilot"
"framing_quality",0.05,"Balanced Adaptation",0.764857142857143,"Evidence-First Pilot"
"framing_quality",0.05,"Fast Expansion",0.431714285714286,"Evidence-First Pilot"
"uncertainty_handling",-0.05,"Adaptive Learning Strategy",0.868736842105263,"Evidence-First Pilot"
"uncertainty_handling",-0.05,"Evidence-First Pilot",0.87821052631579,"Evidence-First Pilot"
"uncertainty_handling",-0.05,"Resilient Strategy",0.820105263157895,"Evidence-First Pilot"
"uncertainty_handling",-0.05,"Balanced Adaptation",0.761684210526316,"Evidence-First Pilot"
"uncertainty_handling",-0.05,"Fast Expansion",0.426105263157895,"Evidence-First Pilot"
"uncertainty_handling",0.05,"Adaptive Learning Strategy",0.868857142857143,"Evidence-First Pilot"
"uncertainty_handling",0.05,"Evidence-First Pilot",0.880285714285714,"Evidence-First Pilot"
"uncertainty_handling",0.05,"Resilient Strategy",0.821047619047619,"Evidence-First Pilot"
"uncertainty_handling",0.05,"Balanced Adaptation",0.763428571428571,"Evidence-First Pilot"
"uncertainty_handling",0.05,"Fast Expansion",0.42552380952381,"Evidence-First Pilot"
"tradeoff_transparency",-0.05,"Adaptive Learning Strategy",0.86978947368421,"Evidence-First Pilot"
"tradeoff_transparency",-0.05,"Evidence-First Pilot",0.877684210526316,"Evidence-First Pilot"
"tradeoff_transparency",-0.05,"Resilient Strategy",0.820631578947369,"Evidence-First Pilot"
"tradeoff_transparency",-0.05,"Balanced Adaptation",0.761157894736842,"Evidence-First Pilot"
"tradeoff_transparency",-0.05,"Fast Expansion",0.427157894736842,"Evidence-First Pilot"
"tradeoff_transparency",0.05,"Adaptive Learning Strategy",0.867904761904762,"Evidence-First Pilot"
"tradeoff_transparency",0.05,"Evidence-First Pilot",0.880761904761905,"Evidence-First Pilot"
"tradeoff_transparency",0.05,"Resilient Strategy",0.820571428571429,"Evidence-First Pilot"
"tradeoff_transparency",0.05,"Balanced Adaptation",0.763904761904762,"Evidence-First Pilot"
"tradeoff_transparency",0.05,"Fast Expansion",0.424571428571429,"Evidence-First Pilot"
"behavioral_safeguards",-0.05,"Adaptive Learning Strategy",0.870315789473684,"Evidence-First Pilot"
"behavioral_safeguards",-0.05,"Evidence-First Pilot",0.879263157894737,"Evidence-First Pilot"
"behavioral_safeguards",-0.05,"Resilient Strategy",0.823789473684211,"Evidence-First Pilot"
"behavioral_safeguards",-0.05,"Balanced Adaptation",0.765368421052632,"Evidence-First Pilot"
"behavioral_safeguards",-0.05,"Fast Expansion",0.429263157894737,"Evidence-First Pilot"
"behavioral_safeguards",0.05,"Adaptive Learning Strategy",0.867428571428571,"Evidence-First Pilot"
"behavioral_safeguards",0.05,"Evidence-First Pilot",0.879333333333333,"Evidence-First Pilot"
"behavioral_safeguards",0.05,"Resilient Strategy",0.817714285714286,"Evidence-First Pilot"
"behavioral_safeguards",0.05,"Balanced Adaptation",0.760095238095238,"Evidence-First Pilot"
"behavioral_safeguards",0.05,"Fast Expansion",0.422666666666667,"Evidence-First Pilot"
"systems_awareness",-0.05,"Adaptive Learning Strategy",0.869263157894737,"Evidence-First Pilot"
"systems_awareness",-0.05,"Evidence-First Pilot",0.883473684210526,"Evidence-First Pilot"
"systems_awareness",-0.05,"Resilient Strategy",0.817473684210526,"Evidence-First Pilot"
"systems_awareness",-0.05,"Balanced Adaptation",0.76378947368421,"Evidence-First Pilot"
"systems_awareness",-0.05,"Fast Expansion",0.425052631578947,"Evidence-First Pilot"
"systems_awareness",0.05,"Adaptive Learning Strategy",0.868380952380952,"Evidence-First Pilot"
"systems_awareness",0.05,"Evidence-First Pilot",0.87552380952381,"Evidence-First Pilot"
