cycle,strategy,environment,value,growth_rate,belief_quality,trigger_review
1,Fast Expansion,Moderate volatility,101.7544,1.7544,0.5567,True
2,Fast Expansion,Stable baseline,103.3088,1.5276,0.5617,True
3,Fast Expansion,System stress,100.1037,-3.1024,0.5702,True
4,Fast Expansion,Stable baseline,99.182,-0.9207,0.5752,True
5,Fast Expansion,Moderate volatility,100.8197,1.6512,0.5819,True
6,Fast Expansion,Moderate volatility,101.9133,1.0847,0.5886,True
7,Fast Expansion,Stable baseline,103.6605,1.7145,0.5936,True
8,Fast Expansion,Moderate volatility,106.0905,2.3441,0.6003,False
9,Fast Expansion,Stable baseline,105.6012,-0.4612,0.6053,False
10,Fast Expansion,Stable baseline,105.9118,0.2942,0.6102,False
11,Fast Expansion,System stress,104.6094,-1.2297,0.6187,False
12,Fast Expansion,Stable baseline,105.0612,0.4319,0.6237,False
13,Fast Expansion,Adverse shock,102.0748,-2.8425,0.6326,True
14,Fast Expansion,Stable baseline,103.7788,1.6693,0.6375,False
15,Fast Expansion,Rapid change,99.5944,-4.032,0.6475,False
16,Fast Expansion,System stress,96.0358,-3.5731,0.656,False
17,Fast Expansion,Moderate volatility,97.8853,1.9259,0.6628,False
18,Fast Expansion,Moderate volatility,98.363,0.488,0.6695,False
19,Fast Expansion,Rapid change,94.3287,-4.1014,0.6795,False
20,Fast Expansion,Moderate volatility,92.1401,-2.3202,0.6862,False
21,Fast Expansion,System stress,92.8861,0.8097,0.6948,False
22,Fast Expansion,Stable baseline,94.3461,1.5719,0.6997,False
23,Fast Expansion,Stable baseline,95.7472,1.485,0.7047,False
24,Fast Expansion,Stable baseline,97.3892,1.715,0.7096,False
25,Fast Expansion,Moderate volatility,96.7763,-0.6294,0.7163,False
26,Fast Expansion,Stable baseline,98.5793,1.8631,0.7213,False
27,Fast Expansion,Stable baseline,100.7543,2.2063,0.7262,False
28,Fast Expansion,Moderate volatility,100.2994,-0.4515,0.733,False
29,Fast Expansion,Stable baseline,101.7167,1.413,0.7379,False
30,Fast Expansion,Stable baseline,102.5202,0.79,0.7428,False
31,Fast Expansion,Adverse shock,97.0777,-5.3087,0.7517,True
32,Fast Expansion,System stress,93.9391,-3.2332,0.7603,False
33,Fast Expansion,Rapid change,94.9185,1.0427,0.7703,False
34,Fast Expansion,Stable baseline,95.519,0.6326,0.7752,False
35,Fast Expansion,Stable baseline,96.8695,1.4139,0.7801,False
36,Fast Expansion,Adverse shock,97.1193,0.2579,0.789,True
37,Fast Expansion,Rapid change,96.0823,-1.0678,0.799,False
38,Fast Expansion,Moderate volatility,98.3018,2.31,0.8058,False
39,Fast Expansion,Rapid change,96.6414,-1.6891,0.8157,False
40,Fast Expansion,Stable baseline,98.1585,1.5698,0.8207,False
41,Fast Expansion,Moderate volatility,98.7724,0.6255,0.8274,False
42,Fast Expansion,Rapid change,101.5415,2.8035,0.8374,False
43,Fast Expansion,Moderate volatility,103.1911,1.6246,0.8441,False
44,Fast Expansion,Moderate volatility,107.7281,4.3967,0.8509,False
45,Fast Expansion,Stable baseline,109.5771,1.7163,0.8558,False
46,Fast Expansion,Moderate volatility,110.7766,1.0947,0.8626,False
47,Fast Expansion,System stress,109.3249,-1.3105,0.8711,False
48,Fast Expansion,Moderate volatility,110.5544,1.1247,0.8778,False
49,Fast Expansion,Adverse shock,96.2759,-12.9154,0.8867,True
50,Fast Expansion,Rapid change,95.5539,-0.7499,0.8967,False
51,Fast Expansion,Stable baseline,96.7058,1.2056,0.9017,False
52,Fast Expansion,Moderate volatility,94.1421,-2.651,0.9084,False
53,Fast Expansion,Stable baseline,95.2387,1.1648,0.9133,False
54,Fast Expansion,Moderate volatility,95.2231,-0.0163,0.9201,False
55,Fast Expansion,Moderate volatility,98.0171,2.9341,0.9268,False
56,Fast Expansion,Stable baseline,98.8014,0.8002,0.9318,False
57,Fast Expansion,Moderate volatility,100.6997,1.9213,0.9385,False
58,Fast Expansion,Rapid change,104.5074,3.7812,0.9485,False
59,Fast Expansion,Stable baseline,104.9361,0.4102,0.9534,False
60,Fast Expansion,Stable baseline,105.132,0.1867,0.9584,False
1,Balanced Adaptation,Stable baseline,101.5541,1.5541,0.7904,False
2,Balanced Adaptation,Moderate volatility,102.184,0.6202,0.8047,False
3,Balanced Adaptation,System stress,104.0877,1.8631,0.8227,False
4,Balanced Adaptation,Moderate volatility,103.6578,-0.4131,0.837,False
5,Balanced Adaptation,Stable baseline,104.4933,0.806,0.8474,False
6,Balanced Adaptation,Rapid change,107.6313,3.0031,0.8685,False
7,Balanced Adaptation,Moderate volatility,109.4707,1.709,0.8827,False
8,Balanced Adaptation,Stable baseline,110.1326,0.6046,0.8932,False
9,Balanced Adaptation,Rapid change,113.4743,3.0343,0.9142,False
10,Balanced Adaptation,Stable baseline,114.3907,0.8076,0.9247,False
11,Balanced Adaptation,Moderate volatility,112.4529,-1.694,0.9389,False
12,Balanced Adaptation,Moderate volatility,114.3918,1.7242,0.9532,False
13,Balanced Adaptation,Moderate volatility,114.3467,-0.0394,0.9674,False
14,Balanced Adaptation,Stable baseline,115.8064,1.2766,0.9778,False
15,Balanced Adaptation,Stable baseline,119.2478,2.9717,0.9883,False
16,Balanced Adaptation,Stable baseline,120.462,1.0182,0.9987,False
17,Balanced Adaptation,Rapid change,121.6555,0.9907,1.0,False
18,Balanced Adaptation,Rapid change,124.2125,2.1019,1.0,False
19,Balanced Adaptation,Moderate volatility,128.4875,3.4417,1.0,False
20,Balanced Adaptation,Stable baseline,129.8847,1.0875,1.0,False
21,Balanced Adaptation,Moderate volatility,132.8817,2.3074,1.0,False
22,Balanced Adaptation,Stable baseline,132.2293,-0.491,1.0,False
23,Balanced Adaptation,Moderate volatility,133.9299,1.2861,1.0,False
24,Balanced Adaptation,Rapid change,134.8287,0.6711,1.0,False
25,Balanced Adaptation,System stress,139.4117,3.3991,1.0,False
26,Balanced Adaptation,Stable baseline,142.1914,1.9939,1.0,False
27,Balanced Adaptation,Stable baseline,141.4841,-0.4974,1.0,False
28,Balanced Adaptation,Moderate volatility,139.3884,-1.4813,1.0,False
29,Balanced Adaptation,Stable baseline,139.2244,-0.1176,1.0,False
30,Balanced Adaptation,Adverse shock,139.8855,0.4748,1.0,True
31,Balanced Adaptation,System stress,147.377,5.3555,1.0,False
32,Balanced Adaptation,Moderate volatility,151.114,2.5356,1.0,False
33,Balanced Adaptation,Stable baseline,153.9999,1.9097,1.0,False
34,Balanced Adaptation,System stress,156.8965,1.8809,1.0,False
35,Balanced Adaptation,Stable baseline,159.7513,1.8195,1.0,False
36,Balanced Adaptation,Moderate volatility,160.9795,0.7688,1.0,False
37,Balanced Adaptation,Moderate volatility,163.8206,1.7649,1.0,False
38,Balanced Adaptation,Rapid change,167.5832,2.2968,1.0,False
39,Balanced Adaptation,Adverse shock,173.2136,3.3598,1.0,True
40,Balanced Adaptation,Adverse shock,178.9943,3.3373,1.0,True
41,Balanced Adaptation,Rapid change,185.3095,3.5281,1.0,False
42,Balanced Adaptation,System stress,184.972,-0.1821,1.0,False
43,Balanced Adaptation,Moderate volatility,191.4889,3.5232,1.0,False
44,Balanced Adaptation,Rapid change,192.6571,0.6101,1.0,False
45,Balanced Adaptation,Rapid change,190.6478,-1.0429,1.0,False
46,Balanced Adaptation,Stable baseline,195.2992,2.4397,1.0,False
47,Balanced Adaptation,Stable baseline,199.9235,2.3678,1.0,False
48,Balanced Adaptation,System stress,200.5298,0.3033,1.0,False
49,Balanced Adaptation,Moderate volatility,203.4836,1.473,1.0,False
50,Balanced Adaptation,Rapid change,213.0952,4.7235,1.0,False
51,Balanced Adaptation,Stable baseline,215.9888,1.3579,1.0,False
52,Balanced Adaptation,Stable baseline,220.4671,2.0734,1.0,False
53,Balanced Adaptation,Rapid change,221.1594,0.314,1.0,False
54,Balanced Adaptation,System stress,210.843,-4.6647,1.0,False
55,Balanced Adaptation,Adverse shock,212.2639,0.6739,1.0,True
56,Balanced Adaptation,Stable baseline,216.8303,2.1513,1.0,False
57,Balanced Adaptation,Moderate volatility,222.447,2.5904,1.0,False
58,Balanced Adaptation,Moderate volatility,225.8938,1.5495,1.0,False
59,Balanced Adaptation,Stable baseline,231.7247,2.5813,1.0,False
60,Balanced Adaptation,Moderate volatility,236.2447,1.9506,1.0,False
1,Resilient Strategy,Moderate volatility,98.3544,-1.6456,0.8352,False
2,Resilient Strategy,Stable baseline,99.5115,1.1765,0.8464,False
3,Resilient Strategy,Stable baseline,101.5396,2.0381,0.8576,False
4,Resilient Strategy,Stable baseline,103.2945,1.7283,0.8688,False
5,Resilient Strategy,Stable baseline,101.9649,-1.2871,0.88,False
6,Resilient Strategy,System stress,103.1387,1.1511,0.8992,False
7,Resilient Strategy,Stable baseline,103.5867,0.4344,0.9104,False
8,Resilient Strategy,Stable baseline,105.9966,2.3265,0.9216,False
9,Resilient Strategy,Stable baseline,108.3741,2.2429,0.9328,False
10,Resilient Strategy,Stable baseline,108.9579,0.5388,0.944,False
11,Resilient Strategy,Stable baseline,112.5343,3.2823,0.9552,False
