decision_system,time,ai_support,governance,uncertainty_capability,stakeholder_legitimacy,reproducibility,systems_awareness,ethical_accountability,adaptive_capacity,failure_risk,future_decision_maturity,disruption_event,disruption_severity,review_required
Traditional Analytic Decision Support,1,0.203249,0.511806,0.617416,0.323185,0.5004,0.433017,0.479105,0.443518,0.559436,0.358722,False,0.001251,True
Traditional Analytic Decision Support,2,0.220327,0.544736,0.643041,0.331805,0.540697,0.456464,0.520803,0.486854,0.472238,0.401765,True,0.123744,True
Traditional Analytic Decision Support,3,0.235315,0.585504,0.686661,0.320102,0.582421,0.475218,0.55051,0.540258,0.345214,0.450649,False,0.007774,True
Traditional Analytic Decision Support,4,0.232301,0.637103,0.711048,0.331284,0.631446,0.472467,0.592726,0.583233,0.25383,0.492541,False,0.027602,True
Traditional Analytic Decision Support,5,0.243125,0.650317,0.711487,0.370521,0.630947,0.475042,0.606297,0.590526,0.159074,0.542294,True,0.131214,False
Traditional Analytic Decision Support,6,0.231654,0.662325,0.728403,0.39355,0.655153,0.480919,0.595924,0.593043,0.062497,0.563761,True,0.240408,False
Traditional Analytic Decision Support,7,0.232448,0.680437,0.744681,0.400755,0.692597,0.498327,0.598545,0.598676,0.0,0.586023,False,0.001605,False
Traditional Analytic Decision Support,8,0.230098,0.681259,0.750464,0.433172,0.679986,0.495212,0.601602,0.615937,0.0,0.591513,False,0.012331,False
Traditional Analytic Decision Support,9,0.24663,0.700314,0.762256,0.450121,0.676672,0.515062,0.615559,0.641933,0.0,0.607427,True,0.090366,False
Traditional Analytic Decision Support,10,0.244061,0.700359,0.75586,0.437062,0.682197,0.539334,0.633097,0.659347,0.0,0.613131,True,0.238559,False
Traditional Analytic Decision Support,11,0.240974,0.70976,0.786102,0.451637,0.679182,0.544279,0.659875,0.666537,0.0,0.625047,False,0.013169,False
Traditional Analytic Decision Support,12,0.230361,0.729606,0.795581,0.469694,0.716216,0.557625,0.686854,0.663331,0.0,0.63942,False,0.026518,False
Traditional Analytic Decision Support,13,0.24628,0.745857,0.823296,0.491622,0.734286,0.568141,0.691242,0.660717,0.0,0.653795,False,0.047347,False
Traditional Analytic Decision Support,14,0.274996,0.736806,0.828293,0.498611,0.747255,0.588391,0.719793,0.673105,0.0,0.66723,False,0.01059,False
Traditional Analytic Decision Support,15,0.269639,0.758598,0.838024,0.543705,0.76443,0.612675,0.737126,0.687875,0.0,0.685881,True,0.129433,False
Traditional Analytic Decision Support,16,0.270286,0.769661,0.854038,0.567279,0.788582,0.616764,0.728052,0.704273,0.0,0.696993,False,0.033449,False
Traditional Analytic Decision Support,17,0.260849,0.783684,0.860077,0.592556,0.77926,0.630782,0.737787,0.706202,0.0,0.703898,True,0.174831,False
Traditional Analytic Decision Support,18,0.258249,0.785013,0.874648,0.610009,0.789299,0.668472,0.727761,0.727669,0.0,0.715236,False,0.022431,False
Traditional Analytic Decision Support,19,0.289239,0.789378,0.888887,0.633501,0.793247,0.670536,0.740783,0.737244,0.0,0.728263,False,0.041801,False
Traditional Analytic Decision Support,20,0.317398,0.787023,0.902469,0.660574,0.841076,0.670563,0.735307,0.743796,0.0,0.742357,False,0.039204,False
Traditional Analytic Decision Support,21,0.302423,0.791964,0.927525,0.707937,0.856646,0.657818,0.747743,0.774029,0.0,0.756756,False,0.028959,False
Traditional Analytic Decision Support,22,0.31033,0.802714,0.943613,0.716069,0.873607,0.662856,0.747205,0.778212,0.0,0.765588,False,0.033761,False
Traditional Analytic Decision Support,23,0.319768,0.831086,0.954418,0.756736,0.895662,0.668754,0.751751,0.78354,0.0,0.781822,False,0.046735,False
Traditional Analytic Decision Support,24,0.329619,0.848727,0.968064,0.774791,0.903113,0.707278,0.783774,0.780234,0.0,0.799088,False,0.049805,False
Traditional Analytic Decision Support,25,0.30673,0.836296,0.977542,0.773568,0.912061,0.722384,0.788677,0.779311,0.0,0.799225,False,0.035177,False
Traditional Analytic Decision Support,26,0.31335,0.842176,1.0,0.768475,0.918981,0.723553,0.79462,0.783909,0.0,0.805822,True,0.201709,False
Traditional Analytic Decision Support,27,0.309328,0.857607,1.0,0.777272,0.930059,0.728927,0.802191,0.797448,0.0,0.813485,False,0.004615,False
Traditional Analytic Decision Support,28,0.311371,0.877276,0.999515,0.788753,0.946139,0.72348,0.817634,0.813069,0.0,0.823418,True,0.274283,False
Traditional Analytic Decision Support,29,0.322089,0.882981,1.0,0.822027,0.962116,0.73917,0.807787,0.813006,0.0,0.831977,False,0.043035,False
Traditional Analytic Decision Support,30,0.348941,0.902824,0.987391,0.854126,0.991928,0.753068,0.809112,0.850781,0.0,0.850783,False,0.04881,False
Traditional Analytic Decision Support,31,0.354717,0.908527,1.0,0.881904,0.985686,0.768237,0.846641,0.855111,0.0,0.864304,False,0.01334,False
Traditional Analytic Decision Support,32,0.34957,0.906921,1.0,0.920566,1.0,0.776282,0.853655,0.858423,0.0,0.87223,True,0.122489,False
Traditional Analytic Decision Support,33,0.361498,0.916968,1.0,0.93612,1.0,0.797688,0.878189,0.871383,0.0,0.884752,False,0.005767,False
Traditional Analytic Decision Support,34,0.356863,0.927526,1.0,0.960847,1.0,0.809153,0.876031,0.880842,0.0,0.891039,False,0.028829,False
Traditional Analytic Decision Support,35,0.355908,0.929776,1.0,0.998379,1.0,0.818715,0.883014,0.890759,0.0,0.899257,False,0.003499,False
Traditional Analytic Decision Support,36,0.36422,0.955677,1.0,1.0,1.0,0.818651,0.893729,0.917137,0.0,0.909261,True,0.172498,False
Traditional Analytic Decision Support,37,0.360908,0.955704,1.0,1.0,1.0,0.80437,0.915268,0.933258,0.0,0.912426,False,0.028999,False
Traditional Analytic Decision Support,38,0.372644,0.975331,0.992906,1.0,1.0,0.808074,0.933658,0.94994,0.0,0.920943,False,0.016759,False
Traditional Analytic Decision Support,39,0.36267,0.995463,1.0,1.0,1.0,0.810581,0.951886,0.963624,0.0,0.928326,False,0.003641,False
Traditional Analytic Decision Support,40,0.344613,1.0,1.0,1.0,1.0,0.819585,0.967921,0.998941,0.0,0.935065,True,0.173532,False
Traditional Analytic Decision Support,41,0.324371,0.994247,1.0,1.0,1.0,0.827783,0.971309,1.0,0.0,0.933436,False,0.049395,False
Traditional Analytic Decision Support,42,0.316898,1.0,1.0,1.0,1.0,0.824653,0.982429,1.0,0.0,0.934526,False,0.01296,False
Traditional Analytic Decision Support,43,0.314964,1.0,1.0,1.0,1.0,0.834799,0.996028,1.0,0.0,0.937415,False,0.015985,False
Traditional Analytic Decision Support,44,0.323145,0.994903,1.0,1.0,1.0,0.829762,1.0,1.0,0.0,0.937635,False,0.045242,False
Traditional Analytic Decision Support,45,0.309785,1.0,0.995306,1.0,1.0,0.842237,1.0,1.0,0.0,0.937585,False,0.047672,False
Traditional Analytic Decision Support,46,0.329795,1.0,1.0,1.0,1.0,0.851708,1.0,1.0,0.0,0.94178,False,0.008252,False
Traditional Analytic Decision Support,47,0.343352,1.0,1.0,1.0,1.0,0.861875,1.0,1.0,0.0,0.944627,True,0.181574,False
Traditional Analytic Decision Support,48,0.350528,1.0,1.0,1.0,0.997252,0.854075,1.0,0.995265,0.0,0.94356,True,0.198672,False
AI-Enhanced Decision Support,1,0.796966,0.596813,0.652601,0.418102,0.655904,0.562939,0.523,0.594614,0.464001,0.532339,True,0.113524,True
AI-Enhanced Decision Support,2,0.796269,0.644163,0.695335,0.424834,0.689186,0.590011,0.578507,0.639248,0.345387,0.583543,False,0.048236,True
AI-Enhanced Decision Support,3,0.818252,0.667155,0.71626,0.425612,0.686703,0.625863,0.611962,0.654915,0.235523,0.644839,False,0.031362,False
AI-Enhanced Decision Support,4,0.82887,0.69106,0.709883,0.436489,0.721708,0.655678,0.607228,0.651512,0.119544,0.672749,False,0.017062,False
AI-Enhanced Decision Support,5,0.831346,0.723309,0.708055,0.476268,0.729248,0.648432,0.625033,0.661917,0.020638,0.69991,False,0.048274,False
AI-Enhanced Decision Support,6,0.832534,0.718402,0.723567,0.500279,0.738298,0.661582,0.640386,0.669531,0.0,0.713187,False,0.012193,False
AI-Enhanced Decision Support,7,0.834892,0.719976,0.764343,0.520929,0.750998,0.689045,0.660871,0.662982,0.0,0.728648,False,0.044016,False
AI-Enhanced Decision Support,8,0.824115,0.73797,0.780889,0.528025,0.75832,0.690633,0.6601,0.670132,0.0,0.735004,False,0.039647,False
AI-Enhanced Decision Support,9,0.826932,0.740124,0.792933,0.543627,0.77564,0.704289,0.677193,0.66454,0.0,0.744529,False,0.01654,False
AI-Enhanced Decision Support,10,0.839991,0.765708,0.802773,0.564849,0.785695,0.721037,0.69173,0.68667,0.0,0.761952,False,0.036229,False
AI-Enhanced Decision Support,11,0.860664,0.77474,0.81306,0.574426,0.791268,0.742157,0.693575,0.712029,0.0,0.775298,False,0.013716,False
AI-Enhanced Decision Support,12,0.868904,0.799162,0.820657,0.602499,0.808313,0.743092,0.721241,0.734268,0.0,0.793283,False,0.002569,False
AI-Enhanced Decision Support,13,0.880543,0.810529,0.834569,0.622222,0.803667,0.75705,0.725681,0.735852,0.0,0.802546,False,0.015192,False
AI-Enhanced Decision Support,14,0.894543,0.810172,0.835734,0.640282,0.813522,0.739756,0.740743,0.758417,0.0,0.810882,False,0.015269,False
AI-Enhanced Decision Support,15,0.912315,0.820883,0.83905,0.648777,0.818907,0.752776,0.77159,0.768055,0.0,0.823874,True,0.096514,False
AI-Enhanced Decision Support,16,0.892583,0.817516,0.827662,0.672878,0.817043,0.771148,0.768844,0.761363,0.0,0.822992,False,0.031253,False
AI-Enhanced Decision Support,17,0.896509,0.811738,0.837447,0.688246,0.8334,0.774365,0.763323,0.787346,0.0,0.831082,True,0.147675,False
AI-Enhanced Decision Support,18,0.9004,0.817249,0.856648,0.753776,0.869277,0.801017,0.782976,0.786401,0.0,0.852995,True,0.175046,False
AI-Enhanced Decision Support,19,0.925561,0.834279,0.852314,0.768238,0.884319,0.819492,0.793365,0.786509,0.0,0.865019,False,0.013476,False
AI-Enhanced Decision Support,20,0.931434,0.834912,0.844407,0.797358,0.88725,0.847506,0.800782,0.829241,0.0,0.878934,False,0.016665,False
AI-Enhanced Decision Support,21,0.922914,0.875471,0.845564,0.818019,0.907476,0.876872,0.814417,0.831955,0.0,0.894471,False,0.015726,False
AI-Enhanced Decision Support,22,0.938848,0.887946,0.850553,0.86506,0.893253,0.880189,0.812276,0.853484,0.0,0.905878,False,0.03127,False
AI-Enhanced Decision Support,23,0.952769,0.912833,0.858809,0.890959,0.903858,0.918642,0.826891,0.862483,0.0,0.92449,False,0.011965,False
AI-Enhanced Decision Support,24,0.946004,0.921521,0.89471,0.928144,0.924994,0.929554,0.831732,0.873667,0.0,0.940472,False,0.025444,False
AI-Enhanced Decision Support,25,0.947805,0.954339,0.883881,0.963058,0.951509,0.919082,0.847101,0.886183,0.0,0.953785,False,0.043201,False
AI-Enhanced Decision Support,26,0.930502,0.956185,0.894791,0.995633,0.949897,0.926507,0.854117,0.904286,0.0,0.961618,False,0.00743,False
AI-Enhanced Decision Support,27,0.936735,0.965142,0.907729,1.0,0.943785,0.943234,0.860611,0.90802,0.0,0.968661,False,0.011678,False
AI-Enhanced Decision Support,28,0.938562,0.954658,0.906599,1.0,0.963663,0.944159,0.862787,0.918574,0.0,0.971533,True,0.190504,False
AI-Enhanced Decision Support,29,0.913189,0.973324,0.91057,1.0,0.992039,0.942689,0.861473,0.948122,0.0,0.978838,False,0.007718,False
AI-Enhanced Decision Support,30,0.925702,0.987961,0.921635,1.0,1.0,0.961786,0.915325,0.943332,0.0,0.994054,False,0.03797,False
AI-Enhanced Decision Support,31,0.937917,0.988521,0.92439,1.0,0.986341,0.992174,0.936676,0.952645,0.0,1.002284,True,0.219425,False
AI-Enhanced Decision Support,32,0.954945,1.0,0.942332,1.0,1.0,0.992209,0.955727,0.994213,0.0,1.018576,False,0.039626,False
AI-Enhanced Decision Support,33,0.982239,1.0,0.970965,1.0,1.0,1.0,0.984424,1.0,0.0,1.031623,False,0.012766,False
AI-Enhanced Decision Support,34,0.977869,1.0,0.995892,1.0,1.0,1.0,0.987799,1.0,0.0,1.035061,False,0.042265,False
AI-Enhanced Decision Support,35,0.980899,1.0,1.0,1.0,0.994394,1.0,1.0,0.989677,0.0,1.03559,False,0.032911,False
AI-Enhanced Decision Support,36,1.0,1.0,1.0,1.0,0.998772,0.995518,1.0,0.986271,0.0,1.037393,False,0.017616,False
AI-Enhanced Decision Support,37,0.990897,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.038908,False,0.015447,False
AI-Enhanced Decision Support,38,0.988304,1.0,1.0,1.0,1.0,1.0,1.0,0.996837,0.0,1.038154,False,0.045674,False
AI-Enhanced Decision Support,39,1.0,1.0,1.0,1.0,0.979776,1.0,1.0,0.998747,0.0,1.037398,False,0.007038,False
AI-Enhanced Decision Support,40,1.0,1.0,0.999734,1.0,1.0,0.986964,1.0,1.0,0.0,1.038398,False,0.033641,False
AI-Enhanced Decision Support,41,1.0,1.0,1.0,1.0,0.988986,0.995415,1.0,1.0,0.0,1.038128,False,0.045763,False
AI-Enhanced Decision Support,42,1.0,1.0,1.0,1.0,0.989716,0.987706,1.0,1.0,0.0,1.037291,True,0.275197,False
AI-Enhanced Decision Support,43,0.993478,1.0,1.0,1.0,1.0,0.991683,1.0,1.0,0.0,1.038219,False,0.004951,False
AI-Enhanced Decision Support,44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.048892,False
AI-Enhanced Decision Support,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04,False,0.001068,False
AI-Enhanced Decision Support,46,0.994641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039357,True,0.278117,False
AI-Enhanced Decision Support,47,0.998199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.039784,True,0.253797,False
AI-Enhanced Decision Support,48,0.987532,1.0,1.0,1.0,1.0,0.98709,1.0,1.0,0.0,1.036955,True,0.190845,False
Adaptive Robust Decision System,1,0.662915,0.781656,0.920833,0.679822,0.752289,0.869962,0.780842,0.927942,0.166386,0.810083,False,0.020081,False
Adaptive Robust Decision System,2,0.65969,0.78284,0.935078,0.685946,0.762484,0.881922,0.786504,0.924346,0.027208,0.835023,False,0.049731,False
Adaptive Robust Decision System,3,0.659915,0.800175,0.945308,0.715525,0.788683,0.893151,0.802566,0.927894,0.0,0.853505,False,0.010751,False
Adaptive Robust Decision System,4,0.67338,0.817789,0.95805,0.725247,0.82003,0.920391,0.822217,0.93339,0.0,0.871088,False,0.003357,False
Adaptive Robust Decision System,5,0.671148,0.847069,0.975594,0.741586,0.811218,0.930787,0.805395,0.944128,0.0,0.878675,False,0.006112,False
Adaptive Robust Decision System,6,0.675711,0.880129,1.0,0.783042,0.813004,0.962019,0.800538,0.954236,0.0,0.896939,False,0.011212,False
