"simulation_id","alternative","score","rank"
1,"Efficiency-First Option",0.320576236076596,6
1,"Balanced Option",0.645872423427622,2
1,"Equity-Priority Option",0.59645494121447,3
1,"Resilience-Priority Option",0.578674825188377,4
1,"Low-Cost Minimum Option",0.346308282614249,5
1,"Adaptive Portfolio Option",0.713489291504889,1
2,"Efficiency-First Option",0.265356159334768,5
2,"Balanced Option",0.664493984431001,3
2,"Equity-Priority Option",0.596766459120778,4
2,"Resilience-Priority Option",0.708893514640443,2
2,"Low-Cost Minimum Option",0.249179780895564,6
2,"Adaptive Portfolio Option",0.773174919830787,1
3,"Efficiency-First Option",0.273837224591228,5
3,"Balanced Option",0.651872212040667,3
3,"Equity-Priority Option",0.590052090159023,4
3,"Resilience-Priority Option",0.681029552130816,2
3,"Low-Cost Minimum Option",0.272676533802048,6
3,"Adaptive Portfolio Option",0.754108570113034,1
4,"Efficiency-First Option",0.253933958731542,5
4,"Balanced Option",0.66309223324595,3
4,"Equity-Priority Option",0.608819807503388,4
4,"Resilience-Priority Option",0.712875358188483,2
4,"Low-Cost Minimum Option",0.240024671616841,6
4,"Adaptive Portfolio Option",0.77688011803581,1
5,"Efficiency-First Option",0.26467667037879,6
5,"Balanced Option",0.655390871120719,3
5,"Equity-Priority Option",0.624476937244394,4
5,"Resilience-Priority Option",0.655766758031645,2
5,"Low-Cost Minimum Option",0.271699977885011,5
5,"Adaptive Portfolio Option",0.752954159093498,1
6,"Efficiency-First Option",0.291609520020056,6
6,"Balanced Option",0.657523849664703,3
6,"Equity-Priority Option",0.563451613456892,4
6,"Resilience-Priority Option",0.677321819753735,2
6,"Low-Cost Minimum Option",0.291716414394579,5
6,"Adaptive Portfolio Option",0.754240582080158,1
7,"Efficiency-First Option",0.329660608114091,6
7,"Balanced Option",0.641555930857024,2
7,"Equity-Priority Option",0.559178121070249,4
7,"Resilience-Priority Option",0.595872539583653,3
7,"Low-Cost Minimum Option",0.355409009841406,5
7,"Adaptive Portfolio Option",0.712882156940185,1
8,"Efficiency-First Option",0.284293648787234,6
8,"Balanced Option",0.656184045721082,2
8,"Equity-Priority Option",0.605863406257906,4
8,"Resilience-Priority Option",0.639790364968405,3
8,"Low-Cost Minimum Option",0.296681336430445,5
8,"Adaptive Portfolio Option",0.746982693465712,1
9,"Efficiency-First Option",0.231714269976151,5
9,"Balanced Option",0.664478753561431,3
9,"Equity-Priority Option",0.653491749997615,4
9,"Resilience-Priority Option",0.705371155546583,2
9,"Low-Cost Minimum Option",0.218506705271519,6
9,"Adaptive Portfolio Option",0.77822186844722,1
10,"Efficiency-First Option",0.292183568357742,6
10,"Balanced Option",0.637693387099944,2
10,"Equity-Priority Option",0.58092136231738,4
10,"Resilience-Priority Option",0.615417165087773,3
10,"Low-Cost Minimum Option",0.322588656678319,5
10,"Adaptive Portfolio Option",0.723615326370513,1
11,"Efficiency-First Option",0.243954434462118,5
11,"Balanced Option",0.659977415015997,3
11,"Equity-Priority Option",0.629143627883881,4
11,"Resilience-Priority Option",0.68182201972503,2
11,"Low-Cost Minimum Option",0.243948740969637,6
11,"Adaptive Portfolio Option",0.767033123828593,1
12,"Efficiency-First Option",0.26659703970675,5
12,"Balanced Option",0.663430195732173,3
12,"Equity-Priority Option",0.587457433187122,4
12,"Resilience-Priority Option",0.720806707234821,2
12,"Low-Cost Minimum Option",0.248806532774612,6
12,"Adaptive Portfolio Option",0.776367095048823,1
13,"Efficiency-First Option",0.289788060610111,6
13,"Balanced Option",0.659811149156101,2
13,"Equity-Priority Option",0.592500436299813,4
13,"Resilience-Priority Option",0.649632298841698,3
13,"Low-Cost Minimum Option",0.292415076804128,5
13,"Adaptive Portfolio Option",0.747893279816162,1
14,"Efficiency-First Option",0.349643847230516,6
14,"Balanced Option",0.624307354989914,2
14,"Equity-Priority Option",0.539771981262525,4
14,"Resilience-Priority Option",0.545629002294892,3
14,"Low-Cost Minimum Option",0.403027951158982,5
14,"Adaptive Portfolio Option",0.684981999044311,1
15,"Efficiency-First Option",0.29498014478091,6
15,"Balanced Option",0.646581909890526,3
15,"Equity-Priority Option",0.559073125859263,4
15,"Resilience-Priority Option",0.65805797032689,2
15,"Low-Cost Minimum Option",0.304165417436085,5
15,"Adaptive Portfolio Option",0.738119623516749,1
16,"Efficiency-First Option",0.398332864685932,6
16,"Balanced Option",0.624538223931209,2
16,"Equity-Priority Option",0.478662380107987,4
16,"Resilience-Priority Option",0.533863186594877,3
16,"Low-Cost Minimum Option",0.450459799527831,5
16,"Adaptive Portfolio Option",0.670226377599744,1
17,"Efficiency-First Option",0.367266530834556,6
17,"Balanced Option",0.639511650847762,2
17,"Equity-Priority Option",0.533283162150153,4
17,"Resilience-Priority Option",0.548316710718833,3
17,"Low-Cost Minimum Option",0.406374528214429,5
17,"Adaptive Portfolio Option",0.691423940685916,1
18,"Efficiency-First Option",0.253798470843186,5
18,"Balanced Option",0.665392425822031,3
18,"Equity-Priority Option",0.601255091261094,4
18,"Resilience-Priority Option",0.712616164301556,2
18,"Low-Cost Minimum Option",0.242035948845761,6
18,"Adaptive Portfolio Option",0.778756811675456,1
19,"Efficiency-First Option",0.266571279468691,6
19,"Balanced Option",0.652016151114599,3
19,"Equity-Priority Option",0.595505773174274,4
19,"Resilience-Priority Option",0.669891960763054,2
19,"Low-Cost Minimum Option",0.274210238467066,5
19,"Adaptive Portfolio Option",0.753598906050836,1
20,"Efficiency-First Option",0.326314802347387,6
20,"Balanced Option",0.645193879191026,2
20,"Equity-Priority Option",0.552146854890889,4
20,"Resilience-Priority Option",0.596903787083246,3
20,"Low-Cost Minimum Option",0.356670555741149,5
20,"Adaptive Portfolio Option",0.717184837623308,1
21,"Efficiency-First Option",0.330901408539143,6
21,"Balanced Option",0.645578778643932,2
21,"Equity-Priority Option",0.533124123173314,4
21,"Resilience-Priority Option",0.612193718081373,3
21,"Low-Cost Minimum Option",0.354855523631469,5
21,"Adaptive Portfolio Option",0.719407409096347,1
22,"Efficiency-First Option",0.322453719200881,6
22,"Balanced Option",0.645082912452288,2
22,"Equity-Priority Option",0.55432603143494,4
22,"Resilience-Priority Option",0.600968676159494,3
22,"Low-Cost Minimum Option",0.349625087517364,5
22,"Adaptive Portfolio Option",0.716877780122486,1
23,"Efficiency-First Option",0.361219339433163,6
23,"Balanced Option",0.64131506271595,2
23,"Equity-Priority Option",0.518099260379149,4
23,"Resilience-Priority Option",0.580581929513589,3
