"ambiguity_lambda","strategy","ambiguity_adjusted_score","top_strategy_at_lambda"
0,"Expand",-0.780081152642283,"AdaptivePathway"
0,"Hedge",0.528207136237482,"AdaptivePathway"
0,"PreserveOption",0.59528419322689,"AdaptivePathway"
0,"AdaptivePathway",0.629884531029357,"AdaptivePathway"
0.25,"Expand",-0.885081152642283,"AdaptivePathway"
0.25,"Hedge",0.473207136237482,"AdaptivePathway"
0.25,"PreserveOption",0.57528419322689,"AdaptivePathway"
0.25,"AdaptivePathway",0.592384531029357,"AdaptivePathway"
0.5,"Expand",-0.990081152642283,"PreserveOption"
0.5,"Hedge",0.418207136237482,"PreserveOption"
0.5,"PreserveOption",0.55528419322689,"PreserveOption"
0.5,"AdaptivePathway",0.554884531029357,"PreserveOption"
0.75,"Expand",-1.09508115264228,"PreserveOption"
0.75,"Hedge",0.363207136237482,"PreserveOption"
0.75,"PreserveOption",0.53528419322689,"PreserveOption"
0.75,"AdaptivePathway",0.517384531029357,"PreserveOption"
1,"Expand",-1.20008115264228,"PreserveOption"
1,"Hedge",0.308207136237482,"PreserveOption"
1,"PreserveOption",0.51528419322689,"PreserveOption"
1,"AdaptivePathway",0.479884531029357,"PreserveOption"
1.25,"Expand",-1.30508115264228,"PreserveOption"
1.25,"Hedge",0.253207136237482,"PreserveOption"
1.25,"PreserveOption",0.49528419322689,"PreserveOption"
1.25,"AdaptivePathway",0.442384531029357,"PreserveOption"
1.5,"Expand",-1.41008115264228,"PreserveOption"
1.5,"Hedge",0.198207136237482,"PreserveOption"
1.5,"PreserveOption",0.47528419322689,"PreserveOption"
1.5,"AdaptivePathway",0.404884531029357,"PreserveOption"
1.75,"Expand",-1.51508115264228,"PreserveOption"
1.75,"Hedge",0.143207136237482,"PreserveOption"
1.75,"PreserveOption",0.45528419322689,"PreserveOption"
1.75,"AdaptivePathway",0.367384531029357,"PreserveOption"
2,"Expand",-1.62008115264228,"PreserveOption"
2,"Hedge",0.0882071362374816,"PreserveOption"
2,"PreserveOption",0.43528419322689,"PreserveOption"
2,"AdaptivePathway",0.329884531029357,"PreserveOption"
2.25,"Expand",-1.72508115264228,"PreserveOption"
2.25,"Hedge",0.0332071362374816,"PreserveOption"
2.25,"PreserveOption",0.41528419322689,"PreserveOption"
2.25,"AdaptivePathway",0.292384531029357,"PreserveOption"
2.5,"Expand",-1.83008115264228,"PreserveOption"
2.5,"Hedge",-0.0217928637625184,"PreserveOption"
2.5,"PreserveOption",0.39528419322689,"PreserveOption"
2.5,"AdaptivePathway",0.254884531029357,"PreserveOption"
2.75,"Expand",-1.93508115264228,"PreserveOption"
2.75,"Hedge",-0.0767928637625184,"PreserveOption"
2.75,"PreserveOption",0.37528419322689,"PreserveOption"
2.75,"AdaptivePathway",0.217384531029357,"PreserveOption"
3,"Expand",-2.04008115264228,"PreserveOption"
3,"Hedge",-0.131792863762518,"PreserveOption"
3,"PreserveOption",0.35528419322689,"PreserveOption"
3,"AdaptivePathway",0.179884531029357,"PreserveOption"
