trial,scenario,expected_value_strategy,expected_value_payoff,ambiguity_averse_strategy,ambiguity_averse_payoff,minimax_regret_strategy,minimax_regret_payoff,adaptive_strategy,adaptive_payoff,recent_loss_count,monitoring_trigger_active
1,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
2,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
3,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
4,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
5,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
6,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
7,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
8,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
9,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
10,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
11,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
12,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
13,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
14,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
15,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
16,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
17,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
18,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
19,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
20,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
21,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
22,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
23,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
24,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
25,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
26,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
27,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
28,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
29,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
30,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Preserve Option,31.7832,0,False
31,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
32,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
33,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
34,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
35,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
36,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
37,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
38,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Preserve Option,31.7832,0,False
39,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
40,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Preserve Option,31.7832,0,False
41,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
42,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
43,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
44,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
45,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
46,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
47,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
48,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
49,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
50,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
51,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
52,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
53,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
54,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
55,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
56,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
57,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
58,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
59,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
60,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
61,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
62,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
63,Adverse,Adaptive Pathway,35.7876,Preserve Option,31.7832,Adaptive Pathway,35.7876,Adaptive Pathway,35.7876,0,False
64,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
65,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
66,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
67,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
68,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
69,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
70,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
71,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
72,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
73,Novel shock,Adaptive Pathway,-11.0644,Preserve Option,2.684,Adaptive Pathway,-11.0644,Preserve Option,2.684,0,True
74,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Preserve Option,46.588,0,False
75,Severe,Adaptive Pathway,0.8792,Preserve Option,8.5984,Adaptive Pathway,0.8792,Preserve Option,8.5984,0,False
76,Baseline,Adaptive Pathway,58.196,Preserve Option,46.588,Adaptive Pathway,58.196,Expand,64.004,0,False
77,Delayed feedback,Adaptive Pathway,38.5476,Preserve Option,39.1416,Adaptive Pathway,38.5476,Preserve Option,39.1416,0,False
