policy,scenario,performance
Targeted Transfer Reform,baseline,0.72
Targeted Transfer Reform,fiscal_constraint,0.64
Targeted Transfer Reform,public_trust_decline,0.68
Targeted Transfer Reform,demand_surge,0.70
Targeted Transfer Reform,implementation_stress,0.58
Universal Service Expansion,baseline,0.78
Universal Service Expansion,fiscal_constraint,0.52
Universal Service Expansion,public_trust_decline,0.74
Universal Service Expansion,demand_surge,0.76
Universal Service Expansion,implementation_stress,0.50
Market Incentive Package,baseline,0.74
Market Incentive Package,fiscal_constraint,0.76
Market Incentive Package,public_trust_decline,0.52
Market Incentive Package,demand_surge,0.58
Market Incentive Package,implementation_stress,0.60
Adaptive Mixed Strategy,baseline,0.76
Adaptive Mixed Strategy,fiscal_constraint,0.68
Adaptive Mixed Strategy,public_trust_decline,0.74
Adaptive Mixed Strategy,demand_surge,0.78
Adaptive Mixed Strategy,implementation_stress,0.72
Resilience Investment Package,baseline,0.74
Resilience Investment Package,fiscal_constraint,0.62
Resilience Investment Package,public_trust_decline,0.72
Resilience Investment Package,demand_surge,0.82
Resilience Investment Package,implementation_stress,0.66
Administrative Simplification Reform,baseline,0.76
Administrative Simplification Reform,fiscal_constraint,0.72
Administrative Simplification Reform,public_trust_decline,0.80
Administrative Simplification Reform,demand_surge,0.74
Administrative Simplification Reform,implementation_stress,0.82
