decision_context,time,ethical_risk,stakeholder_trust,accountability_strength,contestability,distributional_burden,controversy_event,controversy_severity,review_required
Public Policy Allocation,1,0.437809,0.626017,0.696803,0.626555,0.415071,False,0.001251,False
Public Policy Allocation,2,0.428681,0.651482,0.707025,0.651306,0.407349,False,0.00149,False
Public Policy Allocation,3,0.428657,0.662822,0.731835,0.660235,0.410418,False,0.027247,False
Public Policy Allocation,4,0.41679,0.684531,0.750908,0.665753,0.38172,False,0.007774,False
Public Policy Allocation,5,0.386659,0.686909,0.7361,0.637424,0.39076,False,0.030186,False
Public Policy Allocation,6,0.368602,0.698592,0.754345,0.63195,0.405384,False,0.030926,False
Public Policy Allocation,7,0.342539,0.721291,0.765954,0.650009,0.414743,False,0.014469,False
Public Policy Allocation,8,0.305795,0.721719,0.769243,0.691773,0.399459,False,0.010475,False
Public Policy Allocation,9,0.26524,0.734854,0.787215,0.720605,0.407749,False,0.036456,False
Public Policy Allocation,10,0.261516,0.744419,0.793909,0.733057,0.3975,False,0.0388,False
Public Policy Allocation,11,0.263915,0.744151,0.791434,0.733934,0.408488,False,0.047145,False
Public Policy Allocation,12,0.226765,0.727188,0.788059,0.739083,0.396025,False,0.012331,False
Public Policy Allocation,13,0.229279,0.746357,0.794581,0.752101,0.415166,False,0.010966,False
Public Policy Allocation,14,0.211211,0.784497,0.813806,0.766864,0.429512,False,0.021108,False
Public Policy Allocation,15,0.196542,0.779075,0.821557,0.768806,0.45777,False,0.043039,False
Public Policy Allocation,16,0.186953,0.798682,0.791956,0.785592,0.490407,True,0.166953,False
Public Policy Allocation,17,0.166904,0.837658,0.784006,0.788868,0.518991,False,0.008933,False
Public Policy Allocation,18,0.153033,0.867645,0.793546,0.781024,0.511052,False,0.026969,False
Public Policy Allocation,19,0.193299,0.878153,0.776984,0.784385,0.548584,True,0.26582,False
Public Policy Allocation,20,0.182159,0.88802,0.801909,0.801146,0.525959,True,0.177198,False
Public Policy Allocation,21,0.13796,0.908692,0.836643,0.802192,0.521158,False,0.02749,False
Public Policy Allocation,22,0.128509,0.904705,0.863605,0.811687,0.511975,False,0.015586,False
Public Policy Allocation,23,0.13948,0.930264,0.883974,0.821527,0.503866,True,0.124939,False
Public Policy Allocation,24,0.147692,0.94807,0.89348,0.82738,0.514549,False,0.045271,False
Public Policy Allocation,25,0.13077,0.970029,0.893168,0.813821,0.533469,False,0.006616,False
Public Policy Allocation,26,0.094705,0.977591,0.882914,0.829011,0.529498,True,0.16621,False
Public Policy Allocation,27,0.07713,0.984755,0.897136,0.846532,0.513378,False,0.004921,False
Public Policy Allocation,28,0.068788,0.968871,0.903896,0.88888,0.529485,False,0.013927,False
Public Policy Allocation,29,0.05628,0.979036,0.910726,0.931141,0.560865,False,0.002529,False
Public Policy Allocation,30,0.074384,0.959448,0.913556,0.944768,0.549671,False,0.010687,False
Public Policy Allocation,31,0.029319,0.962426,0.923868,0.999536,0.530895,False,0.039204,False
Public Policy Allocation,32,0.011869,0.949211,0.946146,1.0,0.526419,True,0.139342,False
Public Policy Allocation,33,0.009726,1.0,0.948718,1.0,0.500004,True,0.196836,False
Public Policy Allocation,34,0.0,1.0,0.9557,1.0,0.504597,False,0.033761,False
Public Policy Allocation,35,0.0,1.0,0.971088,0.978786,0.482629,False,0.030969,False
Public Policy Allocation,36,0.002061,1.0,0.972107,0.979713,0.508213,False,0.019789,False
AI-Supported Eligibility,1,0.596458,0.568194,0.627314,0.512926,0.671884,True,0.171657,True
AI-Supported Eligibility,2,0.598253,0.610042,0.672037,0.565744,0.717853,False,0.043964,True
AI-Supported Eligibility,3,0.598983,0.625292,0.720805,0.617897,0.721175,False,0.049362,True
