scenario,objective,weight
efficiency,cost_efficiency,0.36
efficiency,equity,0.10
efficiency,resilience,0.14
efficiency,long_term_value,0.16
efficiency,legitimacy,0.12
efficiency,reversibility,0.12
equity,cost_efficiency,0.10
equity,equity,0.36
equity,resilience,0.14
equity,long_term_value,0.14
equity,legitimacy,0.16
equity,reversibility,0.10
resilience,cost_efficiency,0.10
resilience,equity,0.14
resilience,resilience,0.36
resilience,long_term_value,0.18
resilience,legitimacy,0.10
resilience,reversibility,0.12
long_horizon,cost_efficiency,0.10
long_horizon,equity,0.16
long_horizon,resilience,0.20
long_horizon,long_term_value,0.30
long_horizon,legitimacy,0.12
long_horizon,reversibility,0.12
