trial,alternative,decision_quality_score,architecture_score,minimum_component_score,outcome,favorable_outcome,review_trigger,case_classification
1,Fast Commitment,0.3998,0.3639,0.28,82.7488,True,True,weak process with favorable outcome; possible luck
2,Fast Commitment,0.3998,0.3639,0.28,115.1972,True,True,weak process with favorable outcome; possible luck
3,Fast Commitment,0.3998,0.3639,0.28,93.5011,True,True,weak process with favorable outcome; possible luck
4,Fast Commitment,0.3998,0.3639,0.28,79.3181,True,True,weak process with favorable outcome; possible luck
5,Fast Commitment,0.3998,0.3639,0.28,108.7265,True,True,weak process with favorable outcome; possible luck
6,Fast Commitment,0.3998,0.3639,0.28,53.1245,False,True,weak process and weak outcome
7,Fast Commitment,0.3998,0.3639,0.28,81.117,True,True,weak process with favorable outcome; possible luck
8,Fast Commitment,0.3998,0.3639,0.28,46.9775,False,True,weak process and weak outcome
9,Fast Commitment,0.3998,0.3639,0.28,99.8493,True,True,weak process with favorable outcome; possible luck
10,Fast Commitment,0.3998,0.3639,0.28,108.7598,True,True,weak process with favorable outcome; possible luck
11,Fast Commitment,0.3998,0.3639,0.28,101.1854,True,True,weak process with favorable outcome; possible luck
12,Fast Commitment,0.3998,0.3639,0.28,57.0271,False,True,weak process and weak outcome
13,Fast Commitment,0.3998,0.3639,0.28,82.8449,True,True,weak process with favorable outcome; possible luck
14,Fast Commitment,0.3998,0.3639,0.28,66.3383,False,True,weak process and weak outcome
15,Fast Commitment,0.3998,0.3639,0.28,89.0809,True,True,weak process with favorable outcome; possible luck
16,Fast Commitment,0.3998,0.3639,0.28,94.4661,True,True,weak process with favorable outcome; possible luck
17,Fast Commitment,0.3998,0.3639,0.28,71.2554,False,True,weak process and weak outcome
18,Fast Commitment,0.3998,0.3639,0.28,72.5007,False,True,weak process and weak outcome
19,Fast Commitment,0.3998,0.3639,0.28,51.935,False,True,weak process and weak outcome
20,Fast Commitment,0.3998,0.3639,0.28,113.4221,True,True,weak process with favorable outcome; possible luck
21,Fast Commitment,0.3998,0.3639,0.28,130.6785,True,True,weak process with favorable outcome; possible luck
22,Fast Commitment,0.3998,0.3639,0.28,96.17,True,True,weak process with favorable outcome; possible luck
23,Fast Commitment,0.3998,0.3639,0.28,92.0511,True,True,weak process with favorable outcome; possible luck
24,Fast Commitment,0.3998,0.3639,0.28,84.2221,True,True,weak process with favorable outcome; possible luck
25,Fast Commitment,0.3998,0.3639,0.28,100.4447,True,True,weak process with favorable outcome; possible luck
26,Fast Commitment,0.3998,0.3639,0.28,81.053,True,True,weak process with favorable outcome; possible luck
27,Fast Commitment,0.3998,0.3639,0.28,97.7007,True,True,weak process with favorable outcome; possible luck
28,Fast Commitment,0.3998,0.3639,0.28,75.5509,True,True,weak process with favorable outcome; possible luck
29,Fast Commitment,0.3998,0.3639,0.28,65.4551,False,True,weak process and weak outcome
30,Fast Commitment,0.3998,0.3639,0.28,86.272,True,True,weak process with favorable outcome; possible luck
31,Fast Commitment,0.3998,0.3639,0.28,114.5708,True,True,weak process with favorable outcome; possible luck
32,Fast Commitment,0.3998,0.3639,0.28,67.5025,False,True,weak process and weak outcome
33,Fast Commitment,0.3998,0.3639,0.28,93.9893,True,True,weak process with favorable outcome; possible luck
34,Fast Commitment,0.3998,0.3639,0.28,89.9502,True,True,weak process with favorable outcome; possible luck
35,Fast Commitment,0.3998,0.3639,0.28,67.3025,False,True,weak process and weak outcome
36,Fast Commitment,0.3998,0.3639,0.28,117.3681,True,True,weak process with favorable outcome; possible luck
37,Fast Commitment,0.3998,0.3639,0.28,34.2356,False,True,weak process and weak outcome
38,Fast Commitment,0.3998,0.3639,0.28,69.125,False,True,weak process and weak outcome
39,Fast Commitment,0.3998,0.3639,0.28,119.8847,True,True,weak process with favorable outcome; possible luck
40,Fast Commitment,0.3998,0.3639,0.28,116.1506,True,True,weak process with favorable outcome; possible luck
41,Fast Commitment,0.3998,0.3639,0.28,76.3029,True,True,weak process with favorable outcome; possible luck
42,Fast Commitment,0.3998,0.3639,0.28,66.6591,False,True,weak process and weak outcome
43,Fast Commitment,0.3998,0.3639,0.28,125.4277,True,True,weak process with favorable outcome; possible luck
44,Fast Commitment,0.3998,0.3639,0.28,53.4301,False,True,weak process and weak outcome
45,Fast Commitment,0.3998,0.3639,0.28,101.5497,True,True,weak process with favorable outcome; possible luck
46,Fast Commitment,0.3998,0.3639,0.28,104.5738,True,True,weak process with favorable outcome; possible luck
47,Fast Commitment,0.3998,0.3639,0.28,95.3247,True,True,weak process with favorable outcome; possible luck
48,Fast Commitment,0.3998,0.3639,0.28,69.3487,False,True,weak process and weak outcome
49,Fast Commitment,0.3998,0.3639,0.28,89.9206,True,True,weak process with favorable outcome; possible luck
50,Fast Commitment,0.3998,0.3639,0.28,71.6001,False,True,weak process and weak outcome
51,Fast Commitment,0.3998,0.3639,0.28,128.5847,True,True,weak process with favorable outcome; possible luck
52,Fast Commitment,0.3998,0.3639,0.28,95.6497,True,True,weak process with favorable outcome; possible luck
53,Fast Commitment,0.3998,0.3639,0.28,79.0264,True,True,weak process with favorable outcome; possible luck
54,Fast Commitment,0.3998,0.3639,0.28,105.8866,True,True,weak process with favorable outcome; possible luck
55,Fast Commitment,0.3998,0.3639,0.28,107.3769,True,True,weak process with favorable outcome; possible luck
56,Fast Commitment,0.3998,0.3639,0.28,66.192,False,True,weak process and weak outcome
57,Fast Commitment,0.3998,0.3639,0.28,81.3642,True,True,weak process with favorable outcome; possible luck
58,Fast Commitment,0.3998,0.3639,0.28,58.2142,False,True,weak process and weak outcome
59,Fast Commitment,0.3998,0.3639,0.28,77.9431,True,True,weak process with favorable outcome; possible luck
60,Fast Commitment,0.3998,0.3639,0.28,86.5895,True,True,weak process with favorable outcome; possible luck
61,Fast Commitment,0.3998,0.3639,0.28,65.6388,False,True,weak process and weak outcome
62,Fast Commitment,0.3998,0.3639,0.28,74.18,False,True,weak process and weak outcome
63,Fast Commitment,0.3998,0.3639,0.28,88.4463,True,True,weak process with favorable outcome; possible luck
64,Fast Commitment,0.3998,0.3639,0.28,99.1478,True,True,weak process with favorable outcome; possible luck
65,Fast Commitment,0.3998,0.3639,0.28,118.9887,True,True,weak process with favorable outcome; possible luck
66,Fast Commitment,0.3998,0.3639,0.28,100.0402,True,True,weak process with favorable outcome; possible luck
67,Fast Commitment,0.3998,0.3639,0.28,106.2044,True,True,weak process with favorable outcome; possible luck
68,Fast Commitment,0.3998,0.3639,0.28,84.0679,True,True,weak process with favorable outcome; possible luck
69,Fast Commitment,0.3998,0.3639,0.28,74.2713,False,True,weak process and weak outcome
70,Fast Commitment,0.3998,0.3639,0.28,54.3706,False,True,weak process and weak outcome
71,Fast Commitment,0.3998,0.3639,0.28,106.2784,True,True,weak process with favorable outcome; possible luck
72,Fast Commitment,0.3998,0.3639,0.28,126.4291,True,True,weak process with favorable outcome; possible luck
73,Fast Commitment,0.3998,0.3639,0.28,44.3587,False,True,weak process and weak outcome
74,Fast Commitment,0.3998,0.3639,0.28,114.2946,True,True,weak process with favorable outcome; possible luck
75,Fast Commitment,0.3998,0.3639,0.28,35.4353,False,True,weak process and weak outcome
76,Fast Commitment,0.3998,0.3639,0.28,81.1498,True,True,weak process with favorable outcome; possible luck
77,Fast Commitment,0.3998,0.3639,0.28,128.5325,True,True,weak process with favorable outcome; possible luck
78,Fast Commitment,0.3998,0.3639,0.28,91.2993,True,True,weak process with favorable outcome; possible luck
79,Fast Commitment,0.3998,0.3639,0.28,85.6383,True,True,weak process with favorable outcome; possible luck
80,Fast Commitment,0.3998,0.3639,0.28,74.0439,False,True,weak process and weak outcome
81,Fast Commitment,0.3998,0.3639,0.28,80.4938,True,True,weak process with favorable outcome; possible luck
82,Fast Commitment,0.3998,0.3639,0.28,67.6929,False,True,weak process and weak outcome
83,Fast Commitment,0.3998,0.3639,0.28,99.6772,True,True,weak process with favorable outcome; possible luck
84,Fast Commitment,0.3998,0.3639,0.28,49.6023,False,True,weak process and weak outcome
85,Fast Commitment,0.3998,0.3639,0.28,79.6218,True,True,weak process with favorable outcome; possible luck
86,Fast Commitment,0.3998,0.3639,0.28,87.4815,True,True,weak process with favorable outcome; possible luck
87,Fast Commitment,0.3998,0.3639,0.28,85.2237,True,True,weak process with favorable outcome; possible luck
88,Fast Commitment,0.3998,0.3639,0.28,48.0692,False,True,weak process and weak outcome
89,Fast Commitment,0.3998,0.3639,0.28,107.2425,True,True,weak process with favorable outcome; possible luck
90,Fast Commitment,0.3998,0.3639,0.28,44.7142,False,True,weak process and weak outcome
91,Fast Commitment,0.3998,0.3639,0.28,99.557,True,True,weak process with favorable outcome; possible luck
92,Fast Commitment,0.3998,0.3639,0.28,40.7496,False,True,weak process and weak outcome
93,Fast Commitment,0.3998,0.3639,0.28,116.246,True,True,weak process with favorable outcome; possible luck
94,Fast Commitment,0.3998,0.3639,0.28,121.2361,True,True,weak process with favorable outcome; possible luck
95,Fast Commitment,0.3998,0.3639,0.28,84.6688,True,True,weak process with favorable outcome; possible luck
96,Fast Commitment,0.3998,0.3639,0.28,95.1795,True,True,weak process with favorable outcome; possible luck
97,Fast Commitment,0.3998,0.3639,0.28,56.8019,False,True,weak process and weak outcome
98,Fast Commitment,0.3998,0.3639,0.28,88.7494,True,True,weak process with favorable outcome; possible luck
99,Fast Commitment,0.3998,0.3639,0.28,75.7848,True,True,weak process with favorable outcome; possible luck
100,Fast Commitment,0.3998,0.3639,0.28,93.1529,True,True,weak process with favorable outcome; possible luck
101,Fast Commitment,0.3998,0.3639,0.28,96.7534,True,True,weak process with favorable outcome; possible luck
102,Fast Commitment,0.3998,0.3639,0.28,59.5791,False,True,weak process and weak outcome
103,Fast Commitment,0.3998,0.3639,0.28,79.8392,True,True,weak process with favorable outcome; possible luck
104,Fast Commitment,0.3998,0.3639,0.28,52.7429,False,True,weak process and weak outcome
105,Fast Commitment,0.3998,0.3639,0.28,86.1804,True,True,weak process with favorable outcome; possible luck
106,Fast Commitment,0.3998,0.3639,0.28,24.5822,False,True,weak process and weak outcome
107,Fast Commitment,0.3998,0.3639,0.28,112.5449,True,True,weak process with favorable outcome; possible luck
108,Fast Commitment,0.3998,0.3639,0.28,61.7341,False,True,weak process and weak outcome
109,Fast Commitment,0.3998,0.3639,0.28,134.8382,True,True,weak process with favorable outcome; possible luck
110,Fast Commitment,0.3998,0.3639,0.28,150.1696,True,True,weak process with favorable outcome; possible luck
111,Fast Commitment,0.3998,0.3639,0.28,85.7454,True,True,weak process with favorable outcome; possible luck
112,Fast Commitment,0.3998,0.3639,0.28,100.808,True,True,weak process with favorable outcome; possible luck
113,Fast Commitment,0.3998,0.3639,0.28,115.7545,True,True,weak process with favorable outcome; possible luck
114,Fast Commitment,0.3998,0.3639,0.28,99.1742,True,True,weak process with favorable outcome; possible luck
115,Fast Commitment,0.3998,0.3639,0.28,110.4235,True,True,weak process with favorable outcome; possible luck
116,Fast Commitment,0.3998,0.3639,0.28,132.9416,True,True,weak process with favorable outcome; possible luck
117,Fast Commitment,0.3998,0.3639,0.28,53.9735,False,True,weak process and weak outcome
