"changed_component","delta","alternative","revised_decision_quality_score","top_alternative_after_change"
"framing_quality",-0.05,"Fast Commitment",0.391894736842105,"Staged Learning Decision"
"framing_quality",-0.05,"Evidence-Guided Choice",0.789684210526316,"Staged Learning Decision"
"framing_quality",-0.05,"Robust Adaptive Pathway",0.870210526315789,"Staged Learning Decision"
"framing_quality",-0.05,"Consensus Shortcut",0.398947368421053,"Staged Learning Decision"
"framing_quality",-0.05,"Staged Learning Decision",0.902105263157895,"Staged Learning Decision"
"framing_quality",0.05,"Fast Commitment",0.406952380952381,"Staged Learning Decision"
"framing_quality",0.05,"Evidence-Guided Choice",0.79447619047619,"Staged Learning Decision"
"framing_quality",0.05,"Robust Adaptive Pathway",0.871142857142857,"Staged Learning Decision"
"framing_quality",0.05,"Consensus Shortcut",0.404761904761905,"Staged Learning Decision"
"framing_quality",0.05,"Staged Learning Decision",0.903809523809524,"Staged Learning Decision"
"alternative_quality",-0.05,"Fast Commitment",0.394526315789474,"Staged Learning Decision"
"alternative_quality",-0.05,"Evidence-Guided Choice",0.79178947368421,"Staged Learning Decision"
"alternative_quality",-0.05,"Robust Adaptive Pathway",0.871263157894737,"Staged Learning Decision"
"alternative_quality",-0.05,"Consensus Shortcut",0.4,"Staged Learning Decision"
"alternative_quality",-0.05,"Staged Learning Decision",0.903157894736842,"Staged Learning Decision"
"alternative_quality",0.05,"Fast Commitment",0.404571428571429,"Staged Learning Decision"
"alternative_quality",0.05,"Evidence-Guided Choice",0.792571428571429,"Staged Learning Decision"
"alternative_quality",0.05,"Robust Adaptive Pathway",0.870190476190476,"Staged Learning Decision"
"alternative_quality",0.05,"Consensus Shortcut",0.403809523809524,"Staged Learning Decision"
"alternative_quality",0.05,"Staged Learning Decision",0.902857142857143,"Staged Learning Decision"
"evidence_quality",-0.05,"Fast Commitment",0.395578947368421,"Staged Learning Decision"
"evidence_quality",-0.05,"Evidence-Guided Choice",0.787578947368421,"Staged Learning Decision"
