"group_id","domain","shared_information","unique_information","hidden_profile_risk","evidence_diversity","review_flag"
69,"AI Governance",4,10,0.714285714285714,0.598269588585257,"review"
72,"Public Policy",4,10,0.714285714285714,0.598269588585257,"review"
170,"Organizational Strategy",4,10,0.714285714285714,0.598269588585257,"review"
225,"Public Policy",4,10,0.714285714285714,0.598269588585257,"review"
227,"Financial Risk",4,10,0.714285714285714,0.598269588585257,"review"
1,"Public Policy",4,9,0.692307692307692,0.617241769730342,"review"
31,"Healthcare",4,9,0.692307692307692,0.617241769730342,"review"
155,"Healthcare",4,9,0.692307692307692,0.617241769730342,"review"
104,"Public Policy",5,10,0.666666666666667,0.636514168294813,"review"
220,"Infrastructure",5,10,0.666666666666667,0.636514168294813,"review"
4,"Public Policy",4,7,0.636363636363636,0.655481773901393,"review"
110,"Healthcare",4,7,0.636363636363636,0.655481773901393,"review"
156,"Healthcare",4,7,0.636363636363636,0.655481773901393,"review"
200,"Public Policy",4,7,0.636363636363636,0.655481773901393,"review"
68,"Public Policy",6,10,0.625,0.661563238157982,"review"
97,"Organizational Strategy",6,10,0.625,0.661563238157982,"review"
206,"AI Governance",6,10,0.625,0.661563238157982,"review"
81,"Organizational Strategy",5,8,0.615384615384615,0.666278442414676,"review"
106,"AI Governance",5,8,0.615384615384615,0.666278442414676,"review"
119,"Financial Risk",5,8,0.615384615384615,0.666278442414676,"review"
147,"Healthcare",5,8,0.615384615384615,0.666278442414676,"review"
148,"Healthcare",5,8,0.615384615384615,0.666278442414676,"review"
16,"Healthcare",6,9,0.6,0.673011667009257,"review"
57,"AI Governance",6,9,0.6,0.673011667009257,"review"
134,"AI Governance",6,9,0.6,0.673011667009257,"review"
164,"Infrastructure",6,9,0.6,0.673011667009257,"review"
177,"Organizational Strategy",4,6,0.6,0.673011667009257,"review"
214,"AI Governance",6,9,0.6,0.673011667009257,"review"
236,"Organizational Strategy",4,6,0.6,0.673011667009257,"review"
22,"AI Governance",7,10,0.588235294117647,0.677494404448707,"review"
26,"Healthcare",6,8,0.571428571428571,0.682908104700472,"review"
33,"Financial Risk",6,8,0.571428571428571,0.682908104700472,"review"
65,"Infrastructure",6,8,0.571428571428571,0.682908104700472,"review"
32,"Organizational Strategy",7,9,0.5625,0.685314207276458,"review"
64,"Public Policy",7,9,0.5625,0.685314207276458,"review"
111,"AI Governance",7,9,0.5625,0.685314207276458,"review"
40,"AI Governance",4,5,0.555555555555556,0.686961576597323,"review"
49,"Healthcare",8,10,0.555555555555556,0.686961576597323,"review"
56,"Organizational Strategy",8,10,0.555555555555556,0.686961576597323,"review"
133,"Organizational Strategy",8,10,0.555555555555556,0.686961576597323,"review"
138,"Healthcare",8,10,0.555555555555556,0.686961576597323,"review"
144,"Organizational Strategy",4,5,0.555555555555556,0.686961576597323,"review"
195,"Infrastructure",8,10,0.555555555555556,0.686961576597323,"review"
207,"Infrastructure",4,5,0.555555555555556,0.686961576597323,"review"
216,"Infrastructure",4,5,0.555555555555556,0.686961576597323,"review"
42,"AI Governance",5,6,0.545454545454545,0.689009238476659,"review"
114,"AI Governance",5,6,0.545454545454545,0.689009238476659,"review"
80,"Infrastructure",6,7,0.538461538461538,0.690185676018804,"review"
163,"Healthcare",6,7,0.538461538461538,0.690185676018804,"review"
15,"Healthcare",7,8,0.533333333333333,0.690923309313818,"review"
63,"Public Policy",7,8,0.533333333333333,0.690923309313818,"review"
152,"Healthcare",7,8,0.533333333333333,0.690923309313818,"review"
176,"Financial Risk",7,8,0.533333333333333,0.690923309313818,"review"
75,"AI Governance",8,9,0.529411764705882,0.691416077617118,"review"
122,"Public Policy",8,9,0.529411764705882,0.691416077617118,"review"
21,"Infrastructure",9,10,0.526315789473684,0.691761498852418,"review"
52,"Organizational Strategy",9,10,0.526315789473684,0.691761498852418,"review"
92,"Healthcare",9,10,0.526315789473684,0.691761498852418,"review"
95,"AI Governance",9,10,0.526315789473684,0.691761498852418,"review"
150,"Organizational Strategy",9,10,0.526315789473684,0.691761498852418,"review"
201,"Organizational Strategy",9,10,0.526315789473684,0.691761498852418,"review"
219,"Financial Risk",9,10,0.526315789473684,0.691761498852418,"review"
11,"Public Policy",10,10,0.5,0.693147180559945,"review"
41,"Infrastructure",7,7,0.5,0.693147180559945,"review"
62,"AI Governance",9,9,0.5,0.693147180559945,"review"
67,"Healthcare",8,8,0.5,0.693147180559945,"review"
76,"AI Governance",10,10,0.5,0.693147180559945,"review"
86,"AI Governance",5,5,0.5,0.693147180559945,"review"
89,"Infrastructure",6,6,0.5,0.693147180559945,"review"
91,"Infrastructure",4,4,0.5,0.693147180559945,"review"
100,"Infrastructure",10,10,0.5,0.693147180559945,"review"
103,"Infrastructure",6,6,0.5,0.693147180559945,"review"
124,"Public Policy",9,9,0.5,0.693147180559945,"review"
140,"Organizational Strategy",9,9,0.5,0.693147180559945,"review"
151,"Infrastructure",8,8,0.5,0.693147180559945,"review"
153,"Public Policy",8,8,0.5,0.693147180559945,"review"
167,"Healthcare",5,5,0.5,0.693147180559945,"review"
171,"AI Governance",9,9,0.5,0.693147180559945,"review"
185,"Healthcare",10,10,0.5,0.693147180559945,"review"
211,"Infrastructure",8,8,0.5,0.693147180559945,"review"
222,"Organizational Strategy",7,7,0.5,0.693147180559945,"review"
226,"Public Policy",4,4,0.5,0.693147180559945,"review"
234,"Infrastructure",4,4,0.5,0.693147180559945,"review"
237,"Public Policy",10,10,0.5,0.693147180559945,"review"
13,"Organizational Strategy",11,10,0.476190476190476,0.692012964831874,"review"
157,"Public Policy",11,10,0.476190476190476,0.692012964831874,"review"
182,"AI Governance",11,10,0.476190476190476,0.692012964831874,"review"
238,"AI Governance",11,10,0.476190476190476,0.692012964831874,"review"
30,"Public Policy",10,9,0.473684210526316,0.691761498852418,"review"
82,"Healthcare",10,9,0.473684210526316,0.691761498852418,"review"
