public_decision_system,time,public_trust,legitimacy,participation,evidence_transparency,contestability,equity_review,uncertainty_communication,public_harm_signal,controversy_event,controversy_severity,review_required
Internal Expert Decision,1,0.566268,0.524873,0.269013,0.478469,0.403518,0.49427,0.529959,0.440895,False,0.001251,True
Internal Expert Decision,2,0.590863,0.577783,0.309457,0.527449,0.438737,0.515696,0.539014,0.428322,False,0.025268,True
Internal Expert Decision,3,0.60341,0.647725,0.355103,0.562768,0.496809,0.548764,0.550201,0.398523,False,0.034907,True
Internal Expert Decision,4,0.624065,0.725273,0.385369,0.565764,0.529846,0.598013,0.565432,0.343897,False,0.036487,True
Internal Expert Decision,5,0.654714,0.790835,0.436002,0.607383,0.585621,0.641259,0.581372,0.312398,False,0.002291,True
Internal Expert Decision,6,0.689006,0.848029,0.472777,0.608817,0.58131,0.635127,0.599311,0.308532,False,0.010475,False
Internal Expert Decision,7,0.723781,0.894013,0.469144,0.593615,0.601326,0.624034,0.60652,0.288023,False,0.032,False
Internal Expert Decision,8,0.762607,0.945048,0.464246,0.606864,0.600083,0.621269,0.626568,0.255687,False,0.047145,False
Internal Expert Decision,9,0.797026,1.0,0.453134,0.585994,0.598982,0.636255,0.650151,0.228955,False,0.013137,False
Internal Expert Decision,10,0.818405,1.0,0.440715,0.592811,0.615867,0.648458,0.671976,0.217062,True,0.205489,False
Internal Expert Decision,11,0.856557,1.0,0.426427,0.588382,0.617675,0.6749,0.687777,0.217368,True,0.224144,False
Internal Expert Decision,12,0.884242,1.0,0.430437,0.584507,0.648653,0.669465,0.688643,0.211727,False,0.013169,False
Internal Expert Decision,13,0.898619,1.0,0.417378,0.592356,0.667776,0.678701,0.727396,0.189617,False,0.026969,False
Internal Expert Decision,14,0.927893,1.0,0.398011,0.621807,0.689066,0.696438,0.756293,0.171953,False,0.002896,False
Internal Expert Decision,15,0.980106,1.0,0.430165,0.623889,0.687614,0.710396,0.741483,0.138113,False,0.02749,False
Internal Expert Decision,16,1.0,1.0,0.440385,0.612962,0.701752,0.726908,0.738645,0.12864,False,0.032494,False
Internal Expert Decision,17,1.0,1.0,0.472249,0.619951,0.709716,0.73069,0.745177,0.138541,True,0.206221,False
Internal Expert Decision,18,1.0,1.0,0.480298,0.600534,0.719739,0.732396,0.764236,0.120174,False,0.028552,False
Internal Expert Decision,19,1.0,1.0,0.483461,0.611578,0.716173,0.749877,0.778004,0.082731,False,0.033668,False
Internal Expert Decision,20,1.0,1.0,0.519218,0.616518,0.697304,0.770214,0.780948,0.050735,False,0.013927,False
Internal Expert Decision,21,1.0,1.0,0.515991,0.626002,0.694498,0.781249,0.783948,0.025843,False,0.046318,False
Internal Expert Decision,22,1.0,1.0,0.523816,0.61655,0.745657,0.779806,0.769942,0.0,False,0.039204,False
Internal Expert Decision,23,1.0,1.0,0.521578,0.598869,0.769801,0.797352,0.749384,0.0,False,0.028959,False
Internal Expert Decision,24,1.0,1.0,0.512566,0.585375,0.775842,0.814323,0.763125,0.0,True,0.117165,False
Internal Expert Decision,25,1.0,1.0,0.51175,0.557751,0.788424,0.846706,0.770466,0.0,False,0.029184,False
Internal Expert Decision,26,1.0,1.0,0.522323,0.576334,0.841438,0.857757,0.785616,0.0,False,0.037593,False
Internal Expert Decision,27,1.0,1.0,0.531992,0.575336,0.858691,0.85054,0.760415,0.0,False,0.043964,False
Internal Expert Decision,28,1.0,1.0,0.50769,0.563087,0.869847,0.867577,0.780894,0.0,False,0.014969,False
Internal Expert Decision,29,1.0,1.0,0.50358,0.560738,0.846113,0.881448,0.790999,0.0,False,0.01018,False
Internal Expert Decision,30,1.0,1.0,0.496689,0.556328,0.848533,0.872686,0.793111,0.0,True,0.234224,False
Internal Expert Decision,31,1.0,1.0,0.48461,0.570475,0.859365,0.889942,0.788899,0.0,False,0.02728,False
Internal Expert Decision,32,1.0,1.0,0.495205,0.575429,0.87159,0.873193,0.779462,0.0,False,0.010504,False
Internal Expert Decision,33,1.0,1.0,0.471991,0.590753,0.900586,0.888079,0.769989,0.001021,False,0.04881,False
Internal Expert Decision,34,1.0,1.0,0.469518,0.597218,0.926795,0.880102,0.781439,0.0,False,0.01334,False
Internal Expert Decision,35,1.0,1.0,0.474941,0.611215,0.920758,0.916749,0.79972,0.0,False,0.01138,False
Internal Expert Decision,36,1.0,1.0,0.476237,0.622419,0.936481,0.927058,0.817561,0.0,False,0.026811,False
Internal Expert Decision,37,1.0,1.0,0.469878,0.61414,0.929848,0.951128,0.82409,0.0,False,0.015684,False
Internal Expert Decision,38,1.0,1.0,0.452808,0.617766,0.933251,0.966708,0.824639,0.0,False,0.035971,False
Internal Expert Decision,39,1.0,1.0,0.470189,0.617435,0.930864,0.985423,0.842059,0.0,False,0.015016,False
Internal Expert Decision,40,1.0,1.0,0.490765,0.616616,0.949346,0.997585,0.832409,0.0,False,0.030776,False
Public Comment Process,1,0.580669,0.640888,0.590722,0.657159,0.650171,0.562797,0.602275,0.402154,False,0.010685,False
Public Comment Process,2,0.588459,0.693727,0.587237,0.659086,0.658533,0.576443,0.610248,0.394423,False,0.037557,False
Public Comment Process,3,0.577702,0.746838,0.612971,0.673126,0.655705,0.58781,0.617126,0.366306,False,0.031488,False
Public Comment Process,4,0.597983,0.772692,0.648284,0.694262,0.65726,0.597065,0.623614,0.381071,True,0.165029,False
Public Comment Process,5,0.601414,0.837017,0.634147,0.672436,0.679604,0.596093,0.627906,0.336924,False,0.049395,False
Public Comment Process,6,0.618663,0.889382,0.641219,0.668317,0.687449,0.627504,0.637165,0.290148,False,0.037183,False
Public Comment Process,7,0.637958,0.945755,0.657548,0.672234,0.686197,0.636016,0.646117,0.29489,True,0.137146,False
Public Comment Process,8,0.6492,1.0,0.667834,0.670696,0.667243,0.662312,0.635193,0.253154,False,0.027131,False
Public Comment Process,9,0.677459,1.0,0.692431,0.663673,0.696186,0.647199,0.622867,0.235093,False,0.000295,False
Public Comment Process,10,0.715125,1.0,0.699433,0.667398,0.693167,0.6777,0.62381,0.209475,False,0.010971,False
Public Comment Process,11,0.757828,1.0,0.716366,0.660151,0.720866,0.694019,0.641968,0.190572,False,0.001348,False
Public Comment Process,12,0.79945,1.0,0.708335,0.667911,0.728986,0.6803,0.649704,0.166484,False,0.016342,False
Public Comment Process,13,0.842401,1.0,0.694166,0.660368,0.72309,0.673691,0.666291,0.132751,False,0.017498,False
Public Comment Process,14,0.870288,1.0,0.693559,0.656154,0.720509,0.661125,0.681051,0.13745,True,0.213892,False
Public Comment Process,15,0.907431,1.0,0.700786,0.665116,0.719823,0.692795,0.702044,0.104746,False,0.048236,False
Public Comment Process,16,0.937245,1.0,0.720602,0.691082,0.738852,0.690215,0.739092,0.106631,False,0.031362,False
Public Comment Process,17,0.96022,1.0,0.7257,0.685075,0.762054,0.68225,0.775171,0.101113,False,0.018529,False
Public Comment Process,18,1.0,1.0,0.695103,0.688125,0.766805,0.720314,0.767535,0.065277,False,0.021774,False
Public Comment Process,19,1.0,1.0,0.695181,0.697555,0.782283,0.725926,0.756644,0.040137,False,0.042586,False
Public Comment Process,20,1.0,1.0,0.7252,0.710326,0.775171,0.763594,0.76166,0.0,False,0.009092,False
Public Comment Process,21,1.0,1.0,0.730003,0.691517,0.772978,0.755605,0.742466,0.0,True,0.224015,False
Public Comment Process,22,1.0,1.0,0.727847,0.684508,0.766515,0.765986,0.750176,0.0,False,0.01531,False
Public Comment Process,23,1.0,1.0,0.740185,0.693902,0.751629,0.774027,0.762305,0.0,False,0.006033,False
Public Comment Process,24,1.0,1.0,0.751976,0.699273,0.763113,0.796782,0.771395,0.0,False,0.026232,False
Public Comment Process,25,1.0,1.0,0.750563,0.703596,0.78219,0.798247,0.792253,0.0,False,0.027668,False
Public Comment Process,26,1.0,1.0,0.750557,0.725406,0.79706,0.799361,0.818556,0.0,False,0.002569,False
Public Comment Process,27,1.0,1.0,0.755907,0.739239,0.807451,0.79416,0.829779,0.0,False,0.015192,False
Public Comment Process,28,1.0,1.0,0.760442,0.757697,0.802028,0.794429,0.83624,0.0,False,0.043008,False
Public Comment Process,29,1.0,1.0,0.771057,0.767126,0.826442,0.808915,0.835695,0.0,False,0.007853,False
Public Comment Process,30,1.0,1.0,0.747236,0.761678,0.839881,0.803775,0.827293,0.0,False,0.022702,False
Public Comment Process,31,1.0,1.0,0.747715,0.770679,0.854544,0.827911,0.835877,0.0,False,0.045421,False
Public Comment Process,32,1.0,1.0,0.747281,0.792726,0.857838,0.842051,0.859397,0.0,False,0.034987,False
Public Comment Process,33,1.0,1.0,0.734101,0.806382,0.91623,0.836672,0.8606,0.0,True,0.272382,False
Public Comment Process,34,1.0,1.0,0.735051,0.820673,0.908539,0.840749,0.863941,0.0,False,0.032575,False
Public Comment Process,35,1.0,1.0,0.759221,0.816853,0.909717,0.887876,0.880109,0.0,False,0.042887,False
Public Comment Process,36,1.0,1.0,0.773972,0.809455,0.939193,0.901018,0.875299,0.0,False,0.048509,False
Public Comment Process,37,1.0,1.0,0.76997,0.816695,0.91799,0.905921,0.864669,0.0,False,0.03127,False
Public Comment Process,38,1.0,1.0,0.790484,0.833178,0.921959,0.919061,0.905421,0.0,False,0.011965,False
Public Comment Process,39,1.0,1.0,0.779656,0.836411,0.927751,0.960257,0.925543,0.0,False,0.024919,False
Public Comment Process,40,1.0,1.0,0.76592,0.863423,0.933696,0.99948,0.907489,0.0,False,0.025412,False
Deliberative Citizens Panel,1,0.704214,0.83923,0.800572,0.784807,0.781284,0.774593,0.776734,0.299223,False,0.014928,False
Deliberative Citizens Panel,2,0.715299,0.918474,0.828039,0.801906,0.781492,0.784481,0.786832,0.257057,False,0.016089,False
Deliberative Citizens Panel,3,0.738407,0.977052,0.813174,0.797436,0.807045,0.796869,0.812262,0.223852,False,0.019304,False
Deliberative Citizens Panel,4,0.790724,1.0,0.817999,0.791071,0.813752,0.797128,0.816925,0.178843,False,0.022015,False
