"case_id","domain","forecast_probability","confidence","evidence_quality","estimated_duration","estimated_cost","interval_width_factor","outcome","brier_score","accuracy_proxy","confidence_error","actual_duration","actual_cost","duration_planning_error","cost_planning_error","duration_lower","duration_upper","cost_lower","cost_upper","duration_interval_hit","cost_interval_hit","probability_bin","confidence_flag","review_flag"
1,"Public Policy",0.543157296197023,0.800678820037283,"high",80.0404372706544,1490154.09760177,0.207791941426694,1,0.208705256018014,0.791294743981986,0.00938407605529734,181.157815373278,1891934.32417133,1.26332865674757,0.26962327400648,63.4086794175435,96.6721951237652,1180512.08463616,1799796.11056739,FALSE,FALSE,"[0.5,0.6)","approximately calibrated","review"
2,"AI Governance",0.468531734356657,0.573855076509062,"low",333.286686583888,1018866.51820969,0.0594480833504349,1,0.282458517385943,0.717541482614057,-0.143686406104994,227.679355645751,978943.704037164,-0.316866335168042,-0.0391835568830699,313.473431860259,353.099941307517,958296.856512191,1079436.17990719,FALSE,TRUE,"[0.4,0.5)","approximately calibrated","review"
3,"Public Policy",0.382045371795539,0.762727583728265,"medium",87.3896137217525,3937862.7306316,0.164977688994259,0,0.145958666110391,0.854041333889608,-0.0913137501613435,101.097027296673,4949157.69717539,0.156854035521483,0.256813158741464,72.9722772078369,101.806950235668,3288203.23775538,4587522.22350783,TRUE,FALSE,"[0.3,0.4)","approximately calibrated","review"
4,"Public Policy",0.480820188275538,0.780022469633259,"medium",240.829777163453,2381247.46559188,0.0720720033976249,1,0.269547676902247,0.730452323097753,0.0495701465355062,530.417957160902,4321967.45664722,1.20246002553456,0.815001388599048,223.47269264548,258.186861681427,2209626.19016115,2552868.7410226,FALSE,FALSE,"[0.4,0.5)","approximately calibrated","review"
5,"Healthcare",0.134992256225087,0.795753946211189,"medium",183.60447256011,3277818.15461349,0.0911617533536628,0,0.0182229092407395,0.98177709075926,-0.186023144548072,158.98048950829,4876853.10916251,-0.134114287677596,0.487835163246748,166.866766917956,200.342178202264,2979006.50446445,3576629.80476252,FALSE,FALSE,"[0.1,0.2)","underconfident","review"
6,"Infrastructure",0.306859443138819,0.912264845203608,"high",140.747904634336,274960.904498585,0.210098618187476,1,0.480443831565828,0.519556168434172,0.392708676769436,130.92544677847,255563.215597178,-0.0697875956404794,-0.0705470799086127,111.176964357879,170.318844910793,217191.998407853,332729.810589316,TRUE,TRUE,"[0.3,0.4)","overconfident","review"
7,"Healthcare",0.187694207509048,0.758542857742868,"medium",169.807857450796,1443745.30573841,0.0913057062542066,0,0.0352291155324497,0.96477088446755,-0.206228026724682,109.939117150356,1278645.01364296,-0.352567550166448,-0.114355552492004,154.303431098738,185.312283802855,1311923.12094677,1575567.49053005,FALSE,FALSE,"[0.1,0.2)","underconfident","review"
8,"Healthcare",0.408661305636633,0.620349847427569,"medium",254.244609170128,3024898.20297342,0.0879152383538894,0,0.167004062724638,0.832995937275362,-0.212646089847793,193.403153499941,4306347.46583562,-0.239302834655089,0.42363384711676,231.892633754744,276.596584585511,2758963.55646276,3290832.84948408,FALSE,FALSE,"[0.4,0.5)","underconfident","review"
9,"Public Policy",0.659080727666151,0.64627787644742,"medium",42.3377630044706,4758897.44267333,0.0724987216643058,0,0.434387405580943,0.565612594419057,0.0806652820283633,37.1345141719581,3981781.03150664,-0.1228985299002,-0.163297574811813,39.2683293085202,45.4071967004211,4413883.46154798,5103911.42379868,FALSE,FALSE,"[0.6,0.7)","approximately calibrated","review"
10,"Infrastructure",0.461283708584961,0.914612470876891,"medium",141.865870623151,662035.809480585,0.0818433558568358,1,0.290215242635974,0.709784757364026,0.204827713512865,105.777620690219,1262921.57692217,-0.254382888388962,0.90763333166679,130.2550916898,153.476649556501,607852.577135297,716219.041825873,FALSE,FALSE,"[0.4,0.5)","overconfident","review"
11,"Public Policy",0.161363706039265,0.719619588197675,"low",265.972443443025,672675.46642106,0.215150111133698,0,0.0260382456267263,0.973961754373274,-0.254342166175599,357.302648930571,781215.453382787,0.343382210221756,0.161355649759622,208.748442677756,323.196444208293,527949.265063657,817401.667778464,FALSE,TRUE,"[0.1,0.2)","underconfident","review"
12,"AI Governance",0.684070012730081,0.841724073158111,"low",162.37548009376,3198091.41587466,0.198434787523001,1,0.0998117568563714,0.900188243143629,-0.0584641699855172,303.079402022403,4037166.80083417,0.866534293523853,0.262367542339321,130.15453620241,194.596423985111,2563478.82528644,3832704.00646288,FALSE,FALSE,"[0.6,0.7)","approximately calibrated","review"
13,"Organizational Strategy",0.82486812385032,0.964226446396206,"medium",38.5780683753546,4615668.57285798,0.202005025709514,0,0.680407421744346,0.319592578255654,0.644633868140552,35.8241525645547,2537531.0149361,-0.0713855287933309,-0.45023543721102,30.7851046813677,46.3710320693415,3683280.32413121,5548056.82158475,TRUE,FALSE,"[0.8,0.9)","overconfident","review"
14,"Infrastructure",0.837134919920936,0.780811765475664,"low",354.028778231004,4929171.95262853,0.167827884852886,1,0.0265250343091598,0.97347496569084,-0.192663200215176,302.885185263986,9193706.79058707,-0.14446168252923,0.865162522010301,294.612877203443,413.444679258565,4101919.44974271,5756424.45551435,TRUE,FALSE,"[0.8,0.9)","underconfident","review"
15,"Healthcare",0.175719580531586,0.74150201566983,"medium",143.5600201739,3981912.37300634,0.0696715969941579,0,0.0308773709821965,0.969122629017803,-0.227620613347973,244.653033950583,4132243.72789378,0.704186399905941,0.0377535567850611,133.557964303871,153.562076043929,3704486.1788882,4259338.56712449,FALSE,TRUE,"[0.1,0.2)","underconfident","review"
16,"Healthcare",0.111082396260463,0.743656469550915,"medium",323.738497386221,4954279.72441539,0.189574530767277,0,0.0123392987589665,0.987660701241034,-0.244004231690119,249.915497067014,7808409.64599349,-0.228032813258956,0.576093817939374,262.365923652925,385.111071119517,4015074.47036951,5893484.97846127,FALSE,FALSE,"[0.1,0.2)","underconfident","review"
17,"Financial Risk",0.459767659602221,0.545898267985322,"low",204.86410976504,188060.482614674,0.0615727881784551,1,0.291850981611662,0.708149018388338,-0.162250750403017,272.954107359892,108263.95719442,0.332366648667474,-0.424313094972499,192.250055329109,217.47816420097,176481.074353902,199639.890875445,FALSE,FALSE,"[0.4,0.5)","underconfident","review"
18,"Public Policy",0.927269683033228,0.969761987514794,"low",223.604371323017,2936053.75660118,0.101215549639892,1,0.00528969900608714,0.994710300993913,-0.0249483134791191,338.259419228713,4187822.55987543,0.512758526263628,0.426343966100716,200.972131977676,246.236610668359,2638879.46185452,3233228.05134783,FALSE,FALSE,"[0.9,1]","approximately calibrated","review"
19,"Public Policy",0.52420787451556,0.597597331225406,"medium",110.848790785531,3165334.21010245,0.168015640997328,0,0.274793895704121,0.72520610429588,-0.127608773070473,246.29160223775,4241085.45608778,1.22186999508432,0.339853922076214,92.224460147921,129.47312142314,2633508.55382131,3697159.86638358,FALSE,FALSE,"[0.5,0.6)","approximately calibrated","review"
