system,time,risk,drift,equity_performance,oversight_strength,incident,incident_severity,review_required
Internal Document Assistant,1,0.15884,0.014042,0.786035,0.785469,False,0.0,False
Internal Document Assistant,2,0.05684,0.021187,0.78807,0.787013,False,0.0,False
Internal Document Assistant,3,0.0,0.01987,0.792713,0.793955,False,0.0,False
Internal Document Assistant,4,0.0,0.025725,0.810486,0.797568,False,0.0,False
Internal Document Assistant,5,0.0,0.023506,0.806531,0.812088,False,0.0,False
Internal Document Assistant,6,0.0,0.031315,0.81362,0.821626,False,0.0,False
Internal Document Assistant,7,0.0,0.031113,0.805933,0.832598,False,0.0,False
Internal Document Assistant,8,0.0,0.043237,0.79823,0.842657,False,0.0,False
Internal Document Assistant,9,0.0,0.055741,0.804634,0.845138,False,0.0,False
Internal Document Assistant,10,0.0,0.067651,0.813663,0.843402,False,0.0,False
Internal Document Assistant,11,0.0,0.072786,0.825483,0.857339,False,0.0,False
Internal Document Assistant,12,0.0,0.086473,0.843756,0.864665,False,0.0,False
Internal Document Assistant,13,0.0,0.076433,0.83808,0.861798,False,0.0,False
Internal Document Assistant,14,0.0,0.079096,0.844742,0.862554,False,0.0,False
Internal Document Assistant,15,0.0,0.109975,0.841384,0.861217,False,0.0,False
Internal Document Assistant,16,0.0,0.126419,0.839371,0.863935,False,0.0,False
Internal Document Assistant,17,0.0,0.126989,0.856234,0.873685,False,0.0,False
Internal Document Assistant,18,0.0,0.147051,0.859499,0.879056,False,0.0,False
Internal Document Assistant,19,0.0,0.130704,0.850388,0.879777,False,0.0,False
Internal Document Assistant,20,0.0,0.151268,0.853497,0.898682,False,0.0,False
Internal Document Assistant,21,0.0,0.145684,0.839711,0.897891,True,0.238559,False
Internal Document Assistant,22,0.0,0.132715,0.847686,0.916829,False,0.0,False
Internal Document Assistant,23,0.0,0.125464,0.851329,0.933908,False,0.0,False
Internal Document Assistant,24,0.0,0.114417,0.844603,0.944965,False,0.0,False
Internal Document Assistant,25,0.0,0.119877,0.836228,0.955326,False,0.0,False
Internal Document Assistant,26,0.0,0.142522,0.81958,0.954217,True,0.284402,False
Internal Document Assistant,27,0.0,0.15068,0.821609,0.954478,False,0.0,False
Internal Document Assistant,28,0.0,0.153622,0.819776,0.947773,False,0.0,False
Internal Document Assistant,29,0.0,0.166726,0.815493,0.953421,False,0.0,False
Internal Document Assistant,30,0.0,0.172804,0.826925,0.968285,False,0.0,False
Internal Document Assistant,31,0.0,0.167392,0.829611,0.972716,False,0.0,False
Internal Document Assistant,32,0.0,0.17087,0.839821,0.986189,False,0.0,False
Internal Document Assistant,33,0.0,0.197659,0.831669,0.994792,False,0.0,False
Internal Document Assistant,34,0.0,0.2016,0.839766,1.0,False,0.0,False
Internal Document Assistant,35,0.0,0.209636,0.824865,1.0,False,0.0,False
Internal Document Assistant,36,0.0,0.196871,0.832998,1.0,False,0.0,False
Internal Document Assistant,37,0.0,0.211438,0.841689,0.994813,False,0.0,False
Internal Document Assistant,38,0.0,0.219603,0.854563,0.992391,False,0.0,False
Internal Document Assistant,39,0.0,0.236144,0.852105,1.0,False,0.0,False
Internal Document Assistant,40,0.0,0.266828,0.854271,1.0,False,0.0,False
Customer Support Generator,1,0.281164,0.018042,0.714113,0.664709,False,0.0,False
