"period","growth","resilience","equity","learning","legitimacy","alignment","strategic_drift"
1,0.272055876750403,0.185160034885451,0.17247142412865,0.222218626662205,0.148094037573291,0.977245758640293,0.0227542413597069
2,0.204735474331442,0.274533546869802,0.134724558667673,0.274881536408208,0.111124883722875,0.984051109320992,0.0159488906790084
3,0.32163299023206,0.333382954378813,0.0688875714131429,0.165938870475971,0.110157613500012,0.923015402959643,0.0769845970403568
4,0.42275935891861,0.256219260848133,0.0125018653778836,0.0569734812539959,0.251546033601378,0.794919460201781,0.205080539798219
5,0.29594750704095,0.104364353583526,0.13000475791092,0.248919329677549,0.220764051787055,0.911258919273839,0.0887410807261608
6,0.393339858851006,0.233650861378598,0.0390828546510559,0.249475616303817,0.0844508088155228,0.88144081510937,0.11855918489063
7,0.364266549962248,0.220274788469605,0.174838208920414,0.121743975786551,0.118876476861182,0.916551818100867,0.0834481818991325
8,0.469776106023166,0.232424674068499,0.115388692384069,0.0302884807898173,0.152122046734449,0.798299230263899,0.201700769736101
9,0.492198739306769,0.186067457124581,0.182863744250164,0.127616199024319,0.0112538602941667,0.800724849971154,0.199275150028846
10,0.454436226482832,0.125375651253122,0.187749801528321,0.118498341811618,0.113939978924106,0.82317549877659,0.17682450122341
11,0.458638730170528,0.116877914347207,0.183286112649515,0.168469018280367,0.0727282245523831,0.824681104335909,0.175318895664091
12,0.562839713064026,0.225266748885878,0.110466650665906,0.010895224368363,0.090531663015827,0.724514003953504,0.275485996046496
