"decision","cycle","performance_value","growth_rate"
"Adaptive Learning Portfolio",1,101.860633978357,1.86063397835664
"Adaptive Learning Portfolio",2,103.931688284421,2.03322345952046
"Adaptive Learning Portfolio",3,108.927203618368,4.80653727117008
"Adaptive Learning Portfolio",4,111.743088312519,2.58510693436752
"Adaptive Learning Portfolio",5,112.67119121874,0.830568512323365
"Adaptive Learning Portfolio",6,116.799631391627,3.66414886381396
"Adaptive Learning Portfolio",7,120.723762530736,3.35971192062331
"Adaptive Learning Portfolio",8,124.497180220665,3.12566276168523
"Adaptive Learning Portfolio",9,130.211049420576,4.5895571207182
"Adaptive Learning Portfolio",10,130.670776201077,0.353062802694067
"Adaptive Learning Portfolio",11,134.791361019944,3.15340961358151
"Adaptive Learning Portfolio",12,135.917077018747,0.835154412186229
"Adaptive Learning Portfolio",13,141.870927549381,4.38050218650036
"Adaptive Learning Portfolio",14,146.388633003069,3.18437718828283
"Adaptive Learning Portfolio",15,146.830260170551,0.301681324856045
"Adaptive Learning Portfolio",16,146.41350864799,-0.283832176063081
"Adaptive Learning Portfolio",17,152.524654863534,4.17389506745336
"Adaptive Learning Portfolio",18,155.239038427192,1.77963593235887
"Adaptive Learning Portfolio",19,158.48706717741,2.09227574656858
"Adaptive Learning Portfolio",20,164.789841294219,3.97683812885119
"Adaptive Learning Portfolio",21,168.748276833053,2.4021113848674
"Adaptive Learning Portfolio",22,174.169744337734,3.21275429084554
"Adaptive Learning Portfolio",23,176.824413168949,1.52418483549393
"Adaptive Learning Portfolio",24,183.569146309157,3.8143676087102
"Adaptive Learning Portfolio",25,182.694921642791,-0.476237256610437
"Adaptive Learning Portfolio",26,186.740846133832,2.21457961428799
"Adaptive Learning Portfolio",27,189.084024256032,1.25477535885256
"Adaptive Learning Portfolio",28,196.10718945704,3.71430914306023
"Adaptive Learning Portfolio",29,202.598893619581,3.31028361607458
"Adaptive Learning Portfolio",30,204.123866347832,0.752705358359405
"Adaptive Learning Portfolio",31,205.078350235969,0.467600337586655
"Adaptive Learning Portfolio",32,208.08580709815,1.46649164025386
"Adaptive Learning Portfolio",33,212.54230979206,2.14166586181808
"Adaptive Learning Portfolio",34,212.955531332716,0.194418485928676
"Adaptive Learning Portfolio",35,221.072864490162,3.81175032489011
"Adaptive Learning Portfolio",36,220.548552426769,-0.237167082718121
"Adaptive Learning Portfolio",37,225.084470416619,2.0566528049899
"Adaptive Learning Portfolio",38,234.700743379058,4.27229517195926
"Adaptive Learning Portfolio",39,234.536900056224,-0.0698094605392807
"Adaptive Learning Portfolio",40,246.6069389363,5.14632830790495
"Mission-Aligned Capability Build",1,101.734960438659,1.73496043865942
"Mission-Aligned Capability Build",2,106.930674744391,5.10710800233169
"Mission-Aligned Capability Build",3,111.673952188846,4.43584355545607
"Mission-Aligned Capability Build",4,114.105613371617,2.17746496395034
"Mission-Aligned Capability Build",5,116.099959026327,1.74780678687113
"Mission-Aligned Capability Build",6,115.869490756589,-0.198508484990785
"Mission-Aligned Capability Build",7,117.915094001603,1.76543733096382
"Mission-Aligned Capability Build",8,120.718572448977,2.37753993338282
"Mission-Aligned Capability Build",9,124.030426976754,2.74345070571224
"Mission-Aligned Capability Build",10,127.31444539374,2.64775224679415
"Mission-Aligned Capability Build",11,127.504014286625,0.148898180641784
"Mission-Aligned Capability Build",12,133.800611887872,4.93835244049062
"Mission-Aligned Capability Build",13,137.102550254297,2.46780513170774
"Mission-Aligned Capability Build",14,141.995591997252,3.56889185057355
"Mission-Aligned Capability Build",15,147.744957863441,4.04897489092506
"Mission-Aligned Capability Build",16,151.071491551248,2.25153787710436
"Mission-Aligned Capability Build",17,149.981364345478,-0.721596903940113
"Mission-Aligned Capability Build",18,149.832384157888,-0.0993324658971295
"Mission-Aligned Capability Build",19,150.215429204491,0.255649036592631
"Mission-Aligned Capability Build",20,150.985255740763,0.512481667394967
"Mission-Aligned Capability Build",21,152.151821289393,0.772635409270008
"Mission-Aligned Capability Build",22,152.113953233739,-0.0248883354356015
"Mission-Aligned Capability Build",23,155.605066590554,2.29506451091361
"Mission-Aligned Capability Build",24,153.278632097483,-1.49508916646821
"Mission-Aligned Capability Build",25,157.756433253749,2.92134728434817
"Mission-Aligned Capability Build",26,161.16214168084,2.15883964720058
"Mission-Aligned Capability Build",27,164.597673261567,2.13172370688046
"Mission-Aligned Capability Build",28,167.781978261559,1.93459903587568
"Mission-Aligned Capability Build",29,170.425360361721,1.57548631119452
"Mission-Aligned Capability Build",30,175.231156768059,2.81988337659252
"Mission-Aligned Capability Build",31,178.888589551034,2.08720461043111
"Mission-Aligned Capability Build",32,182.978112722997,2.28607267921729
"Mission-Aligned Capability Build",33,185.294753872132,1.26607555114624
"Mission-Aligned Capability Build",34,188.08481898237,1.50574425445615
"Mission-Aligned Capability Build",35,198.74796798246,5.66932996388667
"Mission-Aligned Capability Build",36,199.394791666192,0.325449205996062
"Mission-Aligned Capability Build",37,200.412304705211,0.51030071072377
"Mission-Aligned Capability Build",38,208.819946311249,4.19517235651048
"Mission-Aligned Capability Build",39,209.644701083123,0.394959766268942
"Mission-Aligned Capability Build",40,212.657341966168,1.43702219396924
"Balanced Strategic Investment",1,103.617045315,3.6170453150002
"Balanced Strategic Investment",2,106.778781642386,3.05136700025949
"Balanced Strategic Investment",3,111.11055589536,4.05677437628185
"Balanced Strategic Investment",4,111.08222363893,-0.0254991582047394
"Balanced Strategic Investment",5,114.384555024238,2.97287115537169
"Balanced Strategic Investment",6,117.832413004469,3.01426882283228
"Balanced Strategic Investment",7,122.540909098902,3.9959260566569
"Balanced Strategic Investment",8,122.877693875035,0.274834566357744
"Balanced Strategic Investment",9,126.508281551418,2.95463526527072
"Balanced Strategic Investment",10,128.494130633423,1.56973840578058
"Balanced Strategic Investment",11,131.812388151306,2.58241952494259
"Balanced Strategic Investment",12,135.226219708533,2.58991708223048
"Balanced Strategic Investment",13,136.706705726946,1.09482171549588
"Balanced Strategic Investment",14,139.999897935759,2.40894708953812
"Balanced Strategic Investment",15,142.481254867133,1.77239910025748
"Balanced Strategic Investment",16,145.055752875586,1.80690295776334
"Balanced Strategic Investment",17,148.26319636338,2.21117978722666
"Balanced Strategic Investment",18,151.100409418335,1.91363273188897
"Balanced Strategic Investment",19,154.512888769647,2.25841833549545
"Balanced Strategic Investment",20,161.033183595078,4.21990351571975
"Balanced Strategic Investment",21,164.072125592393,1.88715265355276
"Balanced Strategic Investment",22,169.107849060713,3.0692132805245
"Balanced Strategic Investment",23,171.274258344113,1.28108144916542
"Balanced Strategic Investment",24,177.028598004294,3.35972242169611
"Balanced Strategic Investment",25,179.882336500743,1.61202118110918
"Balanced Strategic Investment",26,185.906934340741,3.34918811774104
"Balanced Strategic Investment",27,188.021856024896,1.13762388243044
"Balanced Strategic Investment",28,191.427977403463,1.811556087456
"Balanced Strategic Investment",29,197.793053057837,3.32504983895804
"Balanced Strategic Investment",30,204.46329522714,3.37233389453406
"Balanced Strategic Investment",31,207.781159417678,1.62271873142422
