"strategy","scenario","performance"
"Fast Control Path","baseline",0.76
"Fast Control Path","delayed_feedback",0.52
"Fast Control Path","resource_constraint",0.58
"Fast Control Path","shock_event",0.49
"Fast Control Path","adaptive_resistance",0.46
"Balanced Adaptive Path","baseline",0.8
"Balanced Adaptive Path","delayed_feedback",0.74
"Balanced Adaptive Path","resource_constraint",0.72
"Balanced Adaptive Path","shock_event",0.76
"Balanced Adaptive Path","adaptive_resistance",0.7
"High Resilience Path","baseline",0.78
"High Resilience Path","delayed_feedback",0.82
"High Resilience Path","resource_constraint",0.76
"High Resilience Path","shock_event",0.88
"High Resilience Path","adaptive_resistance",0.8
"Aggressive Adjustment Path","baseline",0.82
"Aggressive Adjustment Path","delayed_feedback",0.4
"Aggressive Adjustment Path","resource_constraint",0.44
"Aggressive Adjustment Path","shock_event",0.36
"Aggressive Adjustment Path","adaptive_resistance",0.34
"Staged Learning Path","baseline",0.78
"Staged Learning Path","delayed_feedback",0.8
"Staged Learning Path","resource_constraint",0.74
"Staged Learning Path","shock_event",0.82
"Staged Learning Path","adaptive_resistance",0.84
"Robust Modular Path","baseline",0.79
"Robust Modular Path","delayed_feedback",0.82
"Robust Modular Path","resource_constraint",0.81
"Robust Modular Path","shock_event",0.85
"Robust Modular Path","adaptive_resistance",0.83
