case_id,domain,option_name,reference_point,outcome_high,probability_high,outcome_low,loss_aversion,alpha,beta,gamma
1,Public Policy,Status Quo,0,120,0.60,-40,2.10,0.88,0.88,0.72
2,Healthcare,Cautious Alternative,0,80,0.85,-20,2.30,0.86,0.90,0.78
3,Financial Risk,High-Upside Alternative,100,320,0.20,-80,1.80,0.90,0.84,0.68
4,Infrastructure,Loss-Avoidance Alternative,-100,180,0.55,-160,2.60,0.82,0.86,0.74
5,AI Governance,Balanced Alternative,0,160,0.62,-40,2.20,0.88,0.88,0.70
6,Organizational Strategy,Status Quo,100,120,0.70,0,1.90,0.90,0.87,0.76
7,Public Policy,High-Upside Alternative,-100,240,0.35,-80,2.40,0.84,0.88,0.65
8,Healthcare,Loss-Avoidance Alternative,0,100,0.72,-120,2.70,0.80,0.84,0.72
9,Financial Risk,Cautious Alternative,0,80,0.90,-20,1.60,0.92,0.82,0.80
10,Infrastructure,Balanced Alternative,100,200,0.50,-60,2.50,0.85,0.90,0.69
