"strategy","success_probability","expected_value"
"Staged Learning",0.3,35.5
"Staged Learning",0.31,37.15
"Staged Learning",0.32,38.8
"Staged Learning",0.33,40.45
"Staged Learning",0.34,42.1
"Staged Learning",0.35,43.75
"Staged Learning",0.36,45.4
"Staged Learning",0.37,47.05
"Staged Learning",0.38,48.7
"Staged Learning",0.39,50.35
"Staged Learning",0.4,52
"Staged Learning",0.41,53.65
"Staged Learning",0.42,55.3
"Staged Learning",0.43,56.95
"Staged Learning",0.44,58.6
"Staged Learning",0.45,60.25
"Staged Learning",0.46,61.9
"Staged Learning",0.47,63.55
"Staged Learning",0.48,65.2
"Staged Learning",0.49,66.85
"Staged Learning",0.5,68.5
"Staged Learning",0.51,70.15
"Staged Learning",0.52,71.8
"Staged Learning",0.53,73.45
"Staged Learning",0.54,75.1
"Staged Learning",0.55,76.75
"Staged Learning",0.56,78.4
"Staged Learning",0.57,80.05
"Staged Learning",0.58,81.7
"Staged Learning",0.59,83.35
"Staged Learning",0.6,85
"Staged Learning",0.61,86.65
"Staged Learning",0.62,88.3
"Staged Learning",0.63,89.95
"Staged Learning",0.64,91.6
"Staged Learning",0.65,93.25
"Staged Learning",0.66,94.9
"Staged Learning",0.67,96.55
"Staged Learning",0.68,98.2
"Staged Learning",0.69,99.85
"Staged Learning",0.7,101.5
"Staged Learning",0.71,103.15
"Staged Learning",0.72,104.8
"Staged Learning",0.73,106.45
"Staged Learning",0.74,108.1
"Staged Learning",0.75,109.75
"Staged Learning",0.76,111.4
"Staged Learning",0.77,113.05
"Staged Learning",0.78,114.7
"Staged Learning",0.79,116.35
"Staged Learning",0.8,118
"Staged Learning",0.81,119.65
"Staged Learning",0.82,121.3
"Staged Learning",0.83,122.95
"Staged Learning",0.84,124.6
"Staged Learning",0.85,126.25
"Conservative Baseline",0.3,62.5
"Conservative Baseline",0.31,62.65
"Conservative Baseline",0.32,62.8
"Conservative Baseline",0.33,62.95
"Conservative Baseline",0.34,63.1
"Conservative Baseline",0.35,63.25
"Conservative Baseline",0.36,63.4
"Conservative Baseline",0.37,63.55
"Conservative Baseline",0.38,63.7
"Conservative Baseline",0.39,63.85
"Conservative Baseline",0.4,64
"Conservative Baseline",0.41,64.15
"Conservative Baseline",0.42,64.3
"Conservative Baseline",0.43,64.45
"Conservative Baseline",0.44,64.6
"Conservative Baseline",0.45,64.75
"Conservative Baseline",0.46,64.9
"Conservative Baseline",0.47,65.05
"Conservative Baseline",0.48,65.2
"Conservative Baseline",0.49,65.35
"Conservative Baseline",0.5,65.5
"Conservative Baseline",0.51,65.65
"Conservative Baseline",0.52,65.8
"Conservative Baseline",0.53,65.95
"Conservative Baseline",0.54,66.1
"Conservative Baseline",0.55,66.25
"Conservative Baseline",0.56,66.4
"Conservative Baseline",0.57,66.55
"Conservative Baseline",0.58,66.7
"Conservative Baseline",0.59,66.85
"Conservative Baseline",0.6,67
"Conservative Baseline",0.61,67.15
"Conservative Baseline",0.62,67.3
"Conservative Baseline",0.63,67.45
"Conservative Baseline",0.64,67.6
"Conservative Baseline",0.65,67.75
"Conservative Baseline",0.66,67.9
"Conservative Baseline",0.67,68.05
"Conservative Baseline",0.68,68.2
"Conservative Baseline",0.69,68.35
"Conservative Baseline",0.7,68.5
"Conservative Baseline",0.71,68.65
"Conservative Baseline",0.72,68.8
"Conservative Baseline",0.73,68.95
"Conservative Baseline",0.74,69.1
"Conservative Baseline",0.75,69.25
"Conservative Baseline",0.76,69.4
"Conservative Baseline",0.77,69.55
"Conservative Baseline",0.78,69.7
"Conservative Baseline",0.79,69.85
"Conservative Baseline",0.8,70
"Conservative Baseline",0.81,70.15
"Conservative Baseline",0.82,70.3
"Conservative Baseline",0.83,70.45
"Conservative Baseline",0.84,70.6
"Conservative Baseline",0.85,70.75
"Delay Without Learning",0.3,42.5
"Delay Without Learning",0.31,43.25
"Delay Without Learning",0.32,44
"Delay Without Learning",0.33,44.75
"Delay Without Learning",0.34,45.5
"Delay Without Learning",0.35,46.25
"Delay Without Learning",0.36,47
"Delay Without Learning",0.37,47.75
"Delay Without Learning",0.38,48.5
"Delay Without Learning",0.39,49.25
"Delay Without Learning",0.4,50
"Delay Without Learning",0.41,50.75
"Delay Without Learning",0.42,51.5
"Delay Without Learning",0.43,52.25
"Delay Without Learning",0.44,53
"Delay Without Learning",0.45,53.75
"Delay Without Learning",0.46,54.5
"Delay Without Learning",0.47,55.25
"Delay Without Learning",0.48,56
"Delay Without Learning",0.49,56.75
"Delay Without Learning",0.5,57.5
"Delay Without Learning",0.51,58.25
"Delay Without Learning",0.52,59
"Delay Without Learning",0.53,59.75
"Delay Without Learning",0.54,60.5
"Delay Without Learning",0.55,61.25
"Delay Without Learning",0.56,62
"Delay Without Learning",0.57,62.75
"Delay Without Learning",0.58,63.5
"Delay Without Learning",0.59,64.25
"Delay Without Learning",0.6,65
"Delay Without Learning",0.61,65.75
"Delay Without Learning",0.62,66.5
"Delay Without Learning",0.63,67.25
"Delay Without Learning",0.64,68
"Delay Without Learning",0.65,68.75
"Delay Without Learning",0.66,69.5
"Delay Without Learning",0.67,70.25
"Delay Without Learning",0.68,71
"Delay Without Learning",0.69,71.75
"Delay Without Learning",0.7,72.5
"Delay Without Learning",0.71,73.25
"Delay Without Learning",0.72,74
"Delay Without Learning",0.73,74.75
"Delay Without Learning",0.74,75.5
"Delay Without Learning",0.75,76.25
"Delay Without Learning",0.76,77
"Delay Without Learning",0.77,77.75
"Delay Without Learning",0.78,78.5
"Delay Without Learning",0.79,79.25
"Delay Without Learning",0.8,80
"Delay Without Learning",0.81,80.75
"Delay Without Learning",0.82,81.5
"Delay Without Learning",0.83,82.25
"Delay Without Learning",0.84,83
"Delay Without Learning",0.85,83.75
"Immediate Action",0.3,13
"Immediate Action",0.31,14.6
"Immediate Action",0.32,16.2
"Immediate Action",0.33,17.8
"Immediate Action",0.34,19.4
"Immediate Action",0.35,21
"Immediate Action",0.36,22.6
"Immediate Action",0.37,24.2
"Immediate Action",0.38,25.8
"Immediate Action",0.39,27.4
"Immediate Action",0.4,29
"Immediate Action",0.41,30.6
"Immediate Action",0.42,32.2
"Immediate Action",0.43,33.8
"Immediate Action",0.44,35.4
"Immediate Action",0.45,37
"Immediate Action",0.46,38.6
"Immediate Action",0.47,40.2
"Immediate Action",0.48,41.8
"Immediate Action",0.49,43.4
"Immediate Action",0.5,45
"Immediate Action",0.51,46.6
"Immediate Action",0.52,48.2
"Immediate Action",0.53,49.8
"Immediate Action",0.54,51.4
"Immediate Action",0.55,53
"Immediate Action",0.56,54.6
"Immediate Action",0.57,56.2
"Immediate Action",0.58,57.8
"Immediate Action",0.59,59.4
"Immediate Action",0.6,61
"Immediate Action",0.61,62.6
"Immediate Action",0.62,64.2
"Immediate Action",0.63,65.8
"Immediate Action",0.64,67.4
"Immediate Action",0.65,69
"Immediate Action",0.66,70.6
"Immediate Action",0.67,72.2
"Immediate Action",0.68,73.8
"Immediate Action",0.69,75.4
"Immediate Action",0.7,77
"Immediate Action",0.71,78.6
"Immediate Action",0.72,80.2
"Immediate Action",0.73,81.8
"Immediate Action",0.74,83.4
"Immediate Action",0.75,85
"Immediate Action",0.76,86.6
"Immediate Action",0.77,88.2
"Immediate Action",0.78,89.8
"Immediate Action",0.79,91.4
"Immediate Action",0.8,93
"Immediate Action",0.81,94.6
"Immediate Action",0.82,96.2
"Immediate Action",0.83,97.8
"Immediate Action",0.84,99.4
"Immediate Action",0.85,101
