"strategy","scenario","performance"
"Centralized Fast Response","stable_conditions",0.76
"Centralized Fast Response","delayed_feedback",0.48
"Centralized Fast Response","coordination_stress",0.42
"Centralized Fast Response","shock_event",0.46
"Centralized Fast Response","adaptive_resistance",0.4
"Balanced Adaptive Response","stable_conditions",0.78
"Balanced Adaptive Response","delayed_feedback",0.72
"Balanced Adaptive Response","coordination_stress",0.7
"Balanced Adaptive Response","shock_event",0.74
"Balanced Adaptive Response","adaptive_resistance",0.71
"Distributed Resilience Strategy","stable_conditions",0.74
"Distributed Resilience Strategy","delayed_feedback",0.82
"Distributed Resilience Strategy","coordination_stress",0.76
"Distributed Resilience Strategy","shock_event",0.88
"Distributed Resilience Strategy","adaptive_resistance",0.8
"Aggressive Optimization Strategy","stable_conditions",0.84
"Aggressive Optimization Strategy","delayed_feedback",0.36
"Aggressive Optimization Strategy","coordination_stress",0.44
"Aggressive Optimization Strategy","shock_event",0.32
"Aggressive Optimization Strategy","adaptive_resistance",0.3
"Staged Learning Pathway","stable_conditions",0.76
"Staged Learning Pathway","delayed_feedback",0.8
"Staged Learning Pathway","coordination_stress",0.74
"Staged Learning Pathway","shock_event",0.82
"Staged Learning Pathway","adaptive_resistance",0.84
"Robust Modular Strategy","stable_conditions",0.78
"Robust Modular Strategy","delayed_feedback",0.82
"Robust Modular Strategy","coordination_stress",0.8
"Robust Modular Strategy","shock_event",0.84
"Robust Modular Strategy","adaptive_resistance",0.81
