time,system_state,adaptive_response,spillover_pressure,institutional_capacity,shock,threshold_breach
1,50.334183,14.36,9.18,62.28,-0.345817,False
2,48.726415,14.819949,11.265909,62.5272,-0.414969,False
3,47.377446,15.376364,13.257631,62.74648,-0.267158,False
4,48.075322,16.013717,15.165213,62.942619,1.684761,False
5,46.863251,16.609198,17.088567,63.119726,-0.306212,False
6,42.450979,17.277403,18.933454,63.27623,-3.593648,False
7,42.50443,18.210344,20.537681,63.415883,0.797564,False
8,41.148165,19.140078,22.116592,63.55144,-0.64161,False
9,39.940726,20.151189,23.599798,63.683311,-0.520701,False
10,39.544382,21.234745,24.992299,63.81585,0.278123,False
11,39.425172,22.342082,26.332475,63.953047,0.557515,False
12,41.531981,23.456572,27.633471,64.09666,2.792541,False
13,42.409062,24.444653,29.006373,64.247687,1.575928,False
14,41.980417,25.380109,30.393487,64.4009,0.265217,False
15,39.525877,26.341284,31.731104,64.554433,-1.771972,False
16,36.41287,27.449732,32.91716,64.71005,-2.43519,False
17,36.304089,28.744959,33.914311,64.875198,0.591221,False
18,38.694324,30.046714,34.867167,65.059261,3.146594,False
19,37.976632,31.205055,35.900482,65.263319,0.099976,False
20,36.862456,32.406457,36.863162,65.481461,-0.255176,False
21,37.227868,33.674709,37.734091,65.716391,1.276263,False
22,32.76196,34.921037,38.585243,65.971951,-3.488509,False
23,30.968332,36.43532,39.17571,66.247877,-0.749466,False
24,30.985812,38.05722,39.631067,66.557423,1.17687,False
25,31.784449,39.678071,40.038641,66.906518,2.096171,False
26,29.765961,41.251004,40.437521,67.296087,-0.577511,False
27,29.087858,42.945046,40.688289,67.724867,0.90384,False
28,27.935135,44.679775,40.854331,68.199452,0.595712,False
29,27.88511,46.483667,40.910694,68.722759,1.877584,False
30,23.088955,48.29056,40.910439,69.299055,-2.671733,False
31,22.124573,50.385223,40.61617,69.929563,1.363802,False
32,15.903313,52.537749,40.210842,70.628796,-3.634849,False
33,6.753385,55.06355,39.429876,71.400712,-6.287869,False
34,2.088854,58.138347,38.115638,72.264021,-1.456538,False
35,0.0,61.493015,36.475931,73.245859,-2.197944,False
36,0.0,64.973015,34.63114,74.361131,2.102429,False
37,0.0,68.453015,32.68195,75.617698,1.594238,False
38,0.0,71.933015,30.628359,77.01765,-2.925779,False
39,0.0,75.413015,28.470369,78.563073,2.033667,False
40,0.0,78.893015,26.207978,80.256056,-2.405287,False
41,0.0,82.373015,23.841188,82.098687,-0.206985,False
42,0.0,85.853015,21.369997,84.093054,-0.705359,False
43,0.0,89.333015,18.794407,86.241244,0.274608,False
44,0.0,92.813015,16.114416,88.545346,1.964727,False
45,0.0,96.293015,13.330026,91.007449,1.532193,False
46,0.0,99.773015,10.441236,93.629639,0.839724,False
47,0.0,103.253015,7.448045,96.414004,1.559875,False
48,0.0,106.733015,4.350455,99.362634,1.148381,False
49,0.0,110.213015,1.148464,102.477615,-1.504765,False
50,0.0,113.693015,0.0,105.761036,-1.721691,False
51,0.0,117.173015,0.0,109.171827,-1.127924,False
52,0.0,120.653015,0.0,112.687017,1.198383,False
53,0.0,124.133015,0.0,116.306608,-0.600277,False
54,0.0,127.613015,0.0,120.030598,5.60581,False
55,0.0,131.093015,0.0,123.858989,-1.966302,False
56,0.0,134.573015,0.0,127.791779,-2.637299,False
57,0.0,138.053015,0.0,131.82897,1.844336,False
58,0.0,141.533015,0.0,135.97056,3.41244,False
59,0.0,145.013015,0.0,140.216551,1.213662,False
60,0.0,148.493015,0.0,144.566941,2.005962,False
