"case_id","domain","prior","likelihood_if_true","likelihood_if_false","anchor","anchor_weight","confidence_noise","evidence_quality","posterior","anchor_adjusted_judgment","forecast_probability","confidence","outcome","brier_score","absolute_error","confidence_gap","anchor_distortion","probability_bin","confidence_flag","review_flag"
1,"Public Policy",0.481448374202009,0.756815122487023,0.447463393886574,0.219499551691115,0.263481967151165,0.026795822723166,"low",0.610944397743657,0.507805739674548,0.405632327343337,0.432428150066503,0,0.164537584985972,0.405632327343337,0.026795822723166,0.103138658069109,"[0.4,0.5)","approximately calibrated","acceptable"
2,"AI Governance",0.413846394652501,0.525362322968431,0.48142432179302,0.82426671423018,0.225009511690587,-0.00805268545161836,"low",0.43517987004983,0.522728110864082,0.297610147272445,0.289557461820826,1,0.493351505214637,0.702389852727555,-0.00805268545161836,0.0875482408142519,"[0.2,0.3)","approximately calibrated","review"
3,"Public Policy",0.335499925038312,0.718089371151291,0.0706177013227716,0.23704982381314,0.463294916786253,-0.0780429474368398,"medium",0.836976268615058,0.559033396292681,0.52474343139127,0.446700483954431,1,0.225868806005744,0.47525656860873,-0.0780429474368398,0.277942872322377,"[0.5,0.6)","approximately calibrated","review"
4,"Public Policy",0.424978288202547,0.735737213911489,0.160693845432252,0.603474094718695,0.336224282905459,-0.0778573300496858,"medium",0.771887927997921,0.715263107672254,0.738240145861909,0.660382815812223,0,0.544998512962212,0.738240145861909,-0.0778573300496859,0.0566248203256675,"[0.7,0.8)","approximately calibrated","review"
5,"Healthcare",0.111698867403902,0.751789741031825,0.232657615561038,0.466816650889814,0.409413726907223,-0.107262922117242,"medium",0.288924036790816,0.361755714918355,0.422317058544783,0.315054136427541,0,0.178351697937918,0.422317058544783,-0.107262922117242,0.0728316781275394,"[0.4,0.5)","underconfident","acceptable"
6,"Infrastructure",0.267390319078695,0.87067841347307,0.361830643075518,0.364472608081996,0.164282522816211,0.0331281921643527,"medium",0.467593696619979,0.450652704039405,0.530432874218837,0.56356106638319,0,0.281359034052057,0.530432874218837,0.0331281921643527,0.0169409925805737,"[0.5,0.6)","approximately calibrated","review"
7,"Healthcare",0.159440635037608,0.713819242594764,0.0560121683869511,0.43386951033026,0.259693494345993,0.0219329943860065,"medium",0.707374146594807,0.636346771883437,0.605969903457616,0.627902897843623,0,0.367199523896433,0.605969903457616,0.0219329943860065,0.0710273747113699,"[0.6,0.7)","approximately calibrated","review"
8,"Healthcare",0.359610829812009,0.572805966762826,0.096916083956603,0.635509514436126,0.388767200242728,-0.11311703604154,"medium",0.76846213928073,0.716774519554972,0.819182825334447,0.706065789292907,1,0.0326948506540332,0.180817174665553,-0.11311703604154,0.0516876197257587,"[0.8,0.9)","underconfident","acceptable"
9,"Public Policy",0.586461365062278,0.599263139232062,0.304631074727513,0.129463314637542,0.530318158585578,-0.134554445855125,"medium",0.736130974710074,0.414404098346987,0.498250638114577,0.363696192259452,1,0.251752422152429,0.501749361885423,-0.134554445855125,0.321726876363087,"[0.4,0.5)","underconfident","review"
10,"Infrastructure",0.407280536012258,0.873073949874379,0.297452557086945,0.367142377607524,0.195880474243313,-0.00560688911592902,"medium",0.668530570232129,0.609494508129486,0.577134441968264,0.571527552852335,0,0.333084164106019,0.577134441968264,-0.00560688911592899,0.0590360621026426,"[0.5,0.6)","approximately calibrated","review"
11,"Public Policy",0.13558829841204,0.674101620609872,0.467599897505715,0.663516282849014,0.196749017667025,-0.0368247223430639,"medium",0.184423839698441,0.278684807260011,0.342584150231946,0.305759427888882,0,0.117363899990145,0.342584150231946,-0.0368247223430639,0.0942609675615705,"[0.3,0.4)","approximately calibrated","acceptable"
12,"AI Governance",0.609098717414308,0.798698033834808,0.527455723437015,0.416120549477637,0.402905421704054,-0.0965716562781945,"low",0.702335316129246,0.587017834873552,0.713805907833454,0.61723425155526,1,0.0819070583910334,0.286194092166546,-0.0965716562781944,0.115317481255694,"[0.7,0.8)","approximately calibrated","acceptable"
13,"Organizational Strategy",0.736645241605584,0.923700455506332,0.152041491749696,0.120484939403832,0.51862600594759,0.083235297450288,"high",0.944424788553097,0.517108155447754,0.475661527164527,0.558896824614815,1,0.274930834095436,0.524338472835473,0.083235297450288,0.427316633105343,"[0.4,0.5)","approximately calibrated","review"
14,"Infrastructure",0.747757515693083,0.73654261783231,0.46754978079116,0.873800067417324,0.544218118581921,-0.00529640097486996,"medium",0.823631716872374,0.850934242218305,0.957503759211336,0.952207358236467,1,0.00180593048116807,0.0424962407886635,-0.00529640097486994,0.0273025253459309,"[0.9,1]","approximately calibrated","acceptable"
15,"Healthcare",0.148593031775672,0.69643062823452,0.104907853796612,0.37118810787797,0.466890805959702,-0.00158862228294507,"medium",0.536735388102949,0.459442885014272,0.453981535130308,0.452392912847363,1,0.298136163978655,0.546018464869692,-0.0015886222829451,0.0772925030886772,"[0.4,0.5)","approximately calibrated","review"
16,"Healthcare",0.0900393472006544,0.698629050562158,0.171599647717085,0.801465068385005,0.546267732605338,0.0492444978702508,"medium",0.287163812939586,0.568109993627834,0.603274234938024,0.652518732808274,0,0.363939802540058,0.603274234938024,0.0492444978702508,0.280946180688248,"[0.6,0.7)","approximately calibrated","review"
17,"Financial Risk",0.4059071739926,0.496834967331961,0.54247158318758,0.517585933767259,0.157188610825688,0.0336306375935681,"high",0.384902941518768,0.405759196750503,0.40314280288186,0.436773440475428,0,0.162524119515443,0.40314280288186,0.033630637593568,0.0208562552317358,"[0.4,0.5)","approximately calibrated","acceptable"
18,"Public Policy",0.829409006983042,0.92934896685183,0.492078759102151,0.562338797189295,0.381514592375606,-0.0262363901941748,"medium",0.901791457592128,0.772285314227726,0.72391857721509,0.697682187020915,1,0.0762209520069405,0.276081422784911,-0.0262363901941748,0.129506143364402,"[0.7,0.8)","approximately calibrated","acceptable"
19,"Public Policy",0.46428242750233,0.549589113495313,0.1420507974457,0.293071739189327,0.400231364089996,-0.0907565041680162,"low",0.770276327093967,0.579284083926889,0.762454835419941,0.671698331251925,1,0.0564277052153674,0.237545164580059,-0.0907565041680162,0.190992243167079,"[0.7,0.8)","approximately calibrated","review"
