decision_system,time,accountability,decision_quality,evidence_traceability,review_strength,implementation_reliability,monitoring_strength,corrective_capacity,risk_exposure,responsibility_gap,stress_event,stress_severity,review_required
Informal Approval System,1,0.481458,0.567981,0.493042,0.423686,0.588818,0.404614,0.383172,0.593441,0.278542,False,0.001251,True
Informal Approval System,2,0.547125,0.595588,0.534867,0.459939,0.596088,0.401611,0.411752,0.531313,0.212875,False,0.025268,True
Informal Approval System,3,0.623378,0.611214,0.564891,0.500614,0.604923,0.417833,0.449465,0.440794,0.136622,False,0.034907,True
Informal Approval System,4,0.701571,0.609572,0.567195,0.528101,0.617116,0.412565,0.500554,0.345939,0.058429,False,0.036487,True
Informal Approval System,5,0.764886,0.629821,0.602927,0.573172,0.629985,0.426359,0.545876,0.240458,0.0,False,0.002291,True
Informal Approval System,6,0.803437,0.66247,0.604137,0.606335,0.644068,0.422562,0.538682,0.176308,0.0,False,0.010475,False
Informal Approval System,7,0.831534,0.680591,0.590885,0.604782,0.649108,0.439772,0.527006,0.112296,0.0,False,0.032,False
Informal Approval System,8,0.862307,0.68878,0.601876,0.602089,0.664856,0.438625,0.522432,0.050616,0.0,False,0.047145,False
Informal Approval System,9,0.897516,0.70368,0.583944,0.594195,0.684169,0.437814,0.533371,0.0,0.0,False,0.013137,False
Informal Approval System,10,0.949677,0.71587,0.588156,0.584643,0.700463,0.4525,0.541017,0.0,0.0,True,0.19294,False
Informal Approval System,11,0.989648,0.736238,0.612585,0.603445,0.711517,0.454331,0.595901,0.0,0.0,True,0.20973,True
Informal Approval System,12,1.0,0.768226,0.60922,0.608513,0.711892,0.481031,0.589189,0.0,0.0,False,0.013169,False
Informal Approval System,13,1.0,0.787026,0.615773,0.5989,0.744724,0.49749,0.594956,0.0,0.0,False,0.026969,False
Informal Approval System,14,1.0,0.811517,0.64107,0.583969,0.769255,0.515503,0.608166,0.0,0.0,False,0.002896,False
Informal Approval System,15,1.0,0.822741,0.642675,0.613107,0.756045,0.514,0.61773,0.0,0.0,False,0.02749,False
Informal Approval System,16,1.0,0.852231,0.633083,0.623426,0.753303,0.525974,0.62927,0.0,0.0,False,0.032494,False
Informal Approval System,17,1.0,0.88406,0.637436,0.651829,0.757168,0.532736,0.628781,0.0,0.0,True,0.193599,False
Informal Approval System,18,1.0,0.907563,0.620604,0.660303,0.773546,0.54131,0.627188,0.0,0.0,False,0.028552,False
Informal Approval System,19,1.0,0.916954,0.629833,0.664569,0.785187,0.538122,0.639085,0.0,0.0,False,0.033668,False
Informal Approval System,20,1.0,0.932795,0.634015,0.696846,0.787494,0.521768,0.653365,0.0,0.0,False,0.013927,False
Informal Approval System,21,1.0,0.951909,0.641788,0.695587,0.789406,0.519084,0.659534,0.0,0.0,False,0.046318,False
Informal Approval System,22,1.0,0.962115,0.633397,0.703829,0.777432,0.562752,0.65463,0.0,0.0,False,0.039204,False
Informal Approval System,23,1.0,0.978384,0.618049,0.703483,0.760371,0.583448,0.665915,0.0,0.0,False,0.028959,False
Informal Approval System,24,1.0,0.987899,0.605524,0.697056,0.772129,0.588809,0.676298,0.0,0.0,True,0.113448,False
Informal Approval System,25,1.0,1.0,0.581651,0.697928,0.779602,0.600018,0.700255,0.0,0.0,False,0.029184,False
Informal Approval System,26,1.0,1.0,0.597305,0.70853,0.794042,0.64569,0.705426,0.0,0.0,False,0.037593,False
Informal Approval System,27,1.0,0.993474,0.596116,0.718335,0.774025,0.66072,0.694701,0.0,0.0,False,0.043964,False
Informal Approval System,28,1.0,1.0,0.585555,0.699129,0.793689,0.670651,0.705062,0.0,0.0,False,0.014969,False
Informal Approval System,29,1.0,1.0,0.583525,0.697249,0.804293,0.6507,0.712935,0.0,0.0,False,0.01018,False
Informal Approval System,30,1.0,1.0,0.607895,0.722368,0.806254,0.653397,0.735417,0.0,0.0,True,0.218801,True
Informal Approval System,31,1.0,1.0,0.619843,0.713594,0.804467,0.662973,0.746165,0.0,0.0,False,0.02728,False
Informal Approval System,32,1.0,1.0,0.624071,0.724316,0.798442,0.673694,0.727688,0.0,0.0,False,0.010504,False
Informal Approval System,33,1.0,1.0,0.636826,0.705917,0.792155,0.698631,0.736107,0.0,0.0,False,0.04881,False
Informal Approval System,34,1.0,1.0,0.642321,0.705428,0.804351,0.721113,0.724974,0.0,0.0,False,0.01334,False
Informal Approval System,35,1.0,1.0,0.654291,0.711713,0.822212,0.715811,0.752096,0.0,0.0,False,0.01138,False
Informal Approval System,36,1.0,1.0,0.663722,0.714404,0.839591,0.729046,0.756435,0.0,0.0,False,0.026811,False
Informal Approval System,37,1.0,1.0,0.656558,0.710576,0.847396,0.723204,0.772734,0.0,0.0,False,0.015684,False
Informal Approval System,38,1.0,1.0,0.659406,0.697491,0.849875,0.725927,0.781762,0.0,0.0,False,0.035971,False
Informal Approval System,39,1.0,1.0,0.659061,0.714013,0.866993,0.72369,0.793464,0.0,0.0,False,0.015016,False
Informal Approval System,40,1.0,1.0,0.658149,0.733215,0.860953,0.73935,0.799156,0.0,0.0,False,0.030776,False
Committee Governance System,1,0.607316,0.683404,0.600155,0.65114,0.63883,0.550079,0.520935,0.426007,0.092684,False,0.010685,False
Committee Governance System,2,0.644387,0.712714,0.601288,0.650001,0.645224,0.558587,0.530987,0.338187,0.055613,False,0.037557,False
Committee Governance System,3,0.67961,0.727889,0.612859,0.67393,0.650578,0.557359,0.538921,0.22963,0.02039,False,0.031488,False
Committee Governance System,4,0.692274,0.766284,0.629407,0.705694,0.654282,0.559773,0.544102,0.163773,0.007726,True,0.156526,False
Committee Governance System,5,0.734977,0.768516,0.610068,0.695381,0.657526,0.580129,0.541012,0.063594,0.0,False,0.049395,False
Committee Governance System,6,0.764432,0.770425,0.606021,0.703293,0.665285,0.588099,0.565633,0.0,0.0,False,0.037183,False
Committee Governance System,7,0.797881,0.804062,0.608022,0.718848,0.671885,0.5883,0.570015,0.0,0.0,True,0.131431,False
Committee Governance System,8,0.847548,0.811596,0.606282,0.729553,0.662238,0.573275,0.59022,0.0,0.0,False,0.027131,False
Committee Governance System,9,0.869783,0.838724,0.600094,0.752624,0.652037,0.599377,0.574675,0.0,0.0,False,0.000295,False
Committee Governance System,10,0.90182,0.860216,0.603018,0.760573,0.65305,0.598045,0.598128,0.0,0.0,False,0.010971,False
Committee Governance System,11,0.952005,0.887932,0.596628,0.777071,0.669289,0.623117,0.609144,0.0,0.0,False,0.001348,False
Committee Governance System,12,1.0,0.91037,0.60296,0.772115,0.676467,0.631327,0.594342,0.0,0.0,False,0.016342,False
Committee Governance System,13,1.0,0.925123,0.596163,0.761894,0.691253,0.6276,0.585788,0.0,0.0,False,0.017498,False
Committee Governance System,14,1.0,0.954003,0.59061,0.762755,0.702868,0.62692,0.571244,0.0,0.0,True,0.200503,False
Committee Governance System,15,1.0,0.96781,0.597671,0.770759,0.721084,0.627611,0.595292,0.0,0.0,False,0.048236,False
Committee Governance System,16,1.0,1.0,0.619466,0.789616,0.753166,0.644933,0.589778,0.0,0.0,False,0.031362,False
Committee Governance System,17,1.0,1.0,0.613977,0.795906,0.784855,0.665894,0.579519,0.0,0.0,False,0.018529,False
Committee Governance System,18,1.0,1.0,0.61622,0.771587,0.779072,0.671008,0.608925,0.0,0.0,False,0.021774,False
Committee Governance System,19,1.0,1.0,0.623736,0.773485,0.770372,0.685221,0.610289,0.0,0.0,False,0.042586,False
Committee Governance System,20,1.0,1.0,0.634431,0.80117,0.775435,0.679938,0.639113,0.0,0.0,False,0.009092,False
